Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d16:0_14:0)-H,724.4675128,706.4569528,514.2692728,496.2587128,241.00236,96.96011
Sulfatide(d16:0_16:0)-H,752.4988129,734.4882529,514.2692929,496.2587329,241.00236,96.96011
Sulfatide(d16:0_18:0)-H,780.5301131,762.5195531,514.2693131,496.2587531,241.00236,96.96011
Sulfatide(d16:0_18:1)-H,778.514463,760.503903,514.269303,496.258743,241.00236,96.96011
Sulfatide(d16:0_20:0)-H,808.5614132,790.5508532,514.2693332,496.2587732,241.00236,96.96011
Sulfatide(d16:0_22:0)-H,836.5927133,818.5821533,514.2693533,496.2587933,241.00236,96.96011
Sulfatide(d16:0_24:0)-H,864.6240134,846.6134534,514.2693734,496.2588134,241.00236,96.96011
Sulfatide(d16:0_24:1)-H,862.6083634,844.5978034,514.2693634,496.2588034,241.00236,96.96011
Sulfatide(d16:0_24:4)-H,856.5614132,838.5508532,514.2693332,496.2587732,241.00236,96.96011
Sulfatide(d16:0_26:0)-H,892.6553136,874.6447536,514.2693936,496.2588336,241.00236,96.96011
Sulfatide(d16:0_26:1)-H,890.6396635,872.6291035,514.2693835,496.2588235,241.00236,96.96011
Sulfatide(d16:1_2:0)-H,554.264062,536.253502,512.253502,494.242942,241.00236,96.96011
Sulfatide(d16:1_10:0)-H,666.3892625,648.3787025,512.2535825,494.2430225,241.00236,96.96011
Sulfatide(d16:1_12:0)-H,694.4205626,676.4100026,512.2536026,494.2430426,241.00236,96.96011
Sulfatide(d16:1_14:0)-H,722.4518627,704.4413027,512.2536227,494.2430627,241.00236,96.96011
Sulfatide(d16:1_16:0)-H,750.4831629,732.4726029,512.2536429,494.2430829,241.00236,96.96011
Sulfatide(d16:1_18:0)-H,778.514463,760.503903,512.253663,494.243103,241.00236,96.96011
Sulfatide(d16:1_18:1)-H,776.4988129,758.4882529,512.2536529,494.2430929,241.00236,96.96011
Sulfatide(d16:1_20:0)-H,806.5457631,788.5352031,512.2536831,494.2431231,241.00236,96.96011
Sulfatide(d16:1_22:0)-H,834.5770633,816.5665033,512.2537033,494.2431433,241.00236,96.96011
Sulfatide(d16:1_24:0)-H,862.6083634,844.5978034,512.2537234,494.2431634,241.00236,96.96011
Sulfatide(d16:1_24:1)-H,860.5927133,842.5821533,512.2537133,494.2431533,241.00236,96.96011
Sulfatide(d16:1_24:4)-H,854.5457631,836.5352031,512.2536831,494.2431231,241.00236,96.96011
Sulfatide(d16:1_26:0)-H,890.6396635,872.6291035,512.2537435,494.2431835,241.00236,96.96011
Sulfatide(d16:1_26:1)-H,888.6240134,870.6134534,512.2537334,494.2431734,241.00236,96.96011
Sulfatide(d17:0_2:0)-H,570.2953621,552.2848021,528.2848021,510.2742421,241.00236,96.96011
Sulfatide(d17:0_10:0)-H,682.4205626,664.4100026,528.2848826,510.2743226,241.00236,96.96011
Sulfatide(d17:0_12:0)-H,710.4518627,692.4413027,528.2849027,510.2743427,241.00236,96.96011
Sulfatide(d17:0_14:0)-H,738.4831629,720.4726029,528.2849229,510.2743629,241.00236,96.96011
