DGTS,[M+H]+,C10H21NO5H,C7H14NO2
DGTS(31:5)+H,688.5147,236.1492,144.1019
DGTS(31:6)+H,686.499,236.1492,144.1019
DGTS(35:1)+H,752.6399,236.1492,144.1019
DGTS(35:2)+H,750.6242,236.1492,144.1019
DGTS(35:4)+H,746.593,236.1492,144.1019
DGTS(36:0)+H,768.6712,236.1492,144.1019
DGTS(32:3)+H,706.5616,236.1492,144.1019
DGTS(32:5)+H,702.5303,236.1492,144.1019
DGTS(32:6)+H,700.5147,236.1492,144.1019
DGTS(36:1)+H,766.6555,236.1492,144.1019
DGTS(36:2)+H,764.6399,236.1492,144.1019
DGTS(36:4)+H,760.6086,236.1492,144.1019
DGTS(37:0)+H,782.6868,236.1492,144.1019
DGTS(33:3)+H,720.5773,236.1492,144.1019
DGTS(33:5)+H,716.546,236.1492,144.1019
DGTS(33:6)+H,714.5303,236.1492,144.1019
DGTS(37:1)+H,780.6712,236.1492,144.1019
DGTS(37:2)+H,778.6555,236.1492,144.1019
DGTS(37:4)+H,774.6242,236.1492,144.1019
DGTS(38:0)+H,796.7025,236.1492,144.1019
DGTS(34:3)+H,734.593,236.1492,144.1019
DGTS(34:5)+H,730.5616,236.1492,144.1019
DGTS(34:6)+H,728.546,236.1492,144.1019
DGTS(38:1)+H,794.6868,236.1492,144.1019
DGTS(38:2)+H,792.6712,236.1492,144.1019
DGTS(38:4)+H,788.6399,236.1492,144.1019
DGTS(39:0)+H,810.7181,236.1492,144.1019
DGTS(35:3)+H,748.6086,236.1492,144.1019
DGTS(35:5)+H,744.5773,236.1492,144.1019
DGTS(35:6)+H,742.5616,236.1492,144.1019
DGTS(39:1)+H,808.7025,236.1492,144.1019
DGTS(39:2)+H,806.6868,236.1492,144.1019
DGTS(39:4)+H,802.6555,236.1492,144.1019
DGTS(40:0)+H,824.7338,236.1492,144.1019
DGTS(35:7)+H,740.546,236.1492,144.1019
DGTS(37:3)+H,776.6399,236.1492,144.1019
DGTS(37:5)+H,772.6086,236.1492,144.1019
DGTS(39:3)+H,804.6712,236.1492,144.1019
DGTS(39:5)+H,800.6399,236.1492,144.1019
DGTS(40:1)+H,822.7181,236.1492,144.1019
DGTS(36:3)+H,762.6242,236.1492,144.1019
DGTS(36:5)+H,758.593,236.1492,144.1019
DGTS(36:6)+H,756.5773,236.1492,144.1019
DGTS(40:2)+H,820.7025,236.1492,144.1019
DGTS(40:4)+H,816.6712,236.1492,144.1019
DGTS(41:0)+H,838.7495,236.1492,144.1019
DGTS(36:7)+H,754.5616,236.1492,144.1019
DGTS(38:3)+H,790.6555,236.1492,144.1019
DGTS(38:5)+H,786.6242,236.1492,144.1019
DGTS(40:3)+H,818.6868,236.1492,144.1019
DGTS(40:5)+H,814.6555,236.1492,144.1019
DGTS(41:1)+H,836.7338,236.1492,144.1019
DGTS(37:6)+H,770.593,236.1492,144.1019
DGTS(41:2)+H,834.7181,236.1492,144.1019
DGTS(41:4)+H,830.6868,236.1492,144.1019
DGTS(42:0)+H,852.7651,236.1492,144.1019
DGTS(37:7)+H,768.5773,236.1492,144.1019
DGTS(41:3)+H,832.7025,236.1492,144.1019
DGTS(41:5)+H,828.6712,236.1492,144.1019
DGTS(42:1)+H,850.7495,236.1492,144.1019
DGTS(38:6)+H,784.6086,236.1492,144.1019
DGTS(42:2)+H,848.7338,236.1492,144.1019
DGTS(42:4)+H,844.7025,236.1492,144.1019
DGTS(43:0)+H,866.7807,236.1492,144.1019
DGTS(38:7)+H,782.593,236.1492,144.1019
DGTS(42:3)+H,846.7181,236.1492,144.1019
DGTS(42:5)+H,842.6868,236.1492,144.1019
DGTS(43:1)+H,864.7651,236.1492,144.1019
DGTS(34:7)+H,726.5303,236.1492,144.1019
DGTS(38:8)+H,780.5773,236.1492,144.1019
DGTS(40:6)+H,812.6399,236.1492,144.1019
DGTS(42:6)+H,840.6712,236.1492,144.1019
DGTS(43:2)+H,862.7495,236.1492,144.1019
DGTS(32:7)+H,698.499,236.1492,144.1019
DGTS(34:8)+H,724.5147,236.1492,144.1019
DGTS(36:8)+H,752.546,236.1492,144.1019
DGTS(38:9)+H,778.5616,236.1492,144.1019
DGTS(40:7)+H,810.6242,236.1492,144.1019
DGTS(42:7)+H,838.6555,236.1492,144.1019
DGTS(43:3)+H,860.7338,236.1492,144.1019
DGTS(32:8)+H,696.4834,236.1492,144.1019
DGTS(34:9)+H,722.499,236.1492,144.1019
DGTS(36:9)+H,750.5303,236.1492,144.1019
DGTS(38:10)+H,776.546,236.1492,144.1019
DGTS(40:8)+H,808.6086,236.1492,144.1019
DGTS(42:8)+H,836.6399,236.1492,144.1019
DGTS(43:4)+H,858.7181,236.1492,144.1019
DGTS(39:6)+H,798.6242,236.1492,144.1019
DGTS(44:0)+H,880.7964,236.1492,144.1019
DGTS(39:7)+H,796.6086,236.1492,144.1019
DGTS(43:5)+H,856.7025,236.1492,144.1019
DGTS(44:1)+H,878.7807,236.1492,144.1019
DGTS(39:8)+H,794.593,236.1492,144.1019
DGTS(41:6)+H,826.6555,236.1492,144.1019
DGTS(43:6)+H,854.6868,236.1492,144.1019
DGTS(44:2)+H,876.7651,236.1492,144.1019
DGTS(44:4)+H,872.7338,236.1492,144.1019
DGTS(45:0)+H,894.812,236.1492,144.1019
DGTS(44:3)+H,874.7495,236.1492,144.1019
DGTS(44:5)+H,870.7181,236.1492,144.1019
DGTS(45:1)+H,892.7964,236.1492,144.1019
DGTS(44:6)+H,868.7025,236.1492,144.1019
DGTS(45:2)+H,890.7807,236.1492,144.1019
DGTS(40:9)+H,806.593,236.1492,144.1019
DGTS(44:7)+H,866.6868,236.1492,144.1019
DGTS(45:3)+H,888.7651,236.1492,144.1019
DGTS(40:10)+H,804.5773,236.1492,144.1019
DGTS(44:8)+H,864.6712,236.1492,144.1019
DGTS(45:4)+H,886.7495,236.1492,144.1019
DGTS(36:10)+H,748.5147,236.1492,144.1019
DGTS(40:11)+H,802.5616,236.1492,144.1019
DGTS(42:9)+H,834.6242,236.1492,144.1019
DGTS(44:9)+H,862.6555,236.1492,144.1019
DGTS(45:5)+H,884.7338,236.1492,144.1019
DGTS(46:0)+H,908.8277,236.1492,144.1019
DGTS(41:7)+H,824.6399,236.1492,144.1019
DGTS(46:1)+H,906.812,236.1492,144.1019
DGTS(41:8)+H,822.6242,236.1492,144.1019
DGTS(45:6)+H,882.7181,236.1492,144.1019
DGTS(46:2)+H,904.7964,236.1492,144.1019
DGTS(46:4)+H,900.7651,236.1492,144.1019
DGTS(47:0)+H,922.8433,236.1492,144.1019
DGTS(46:3)+H,902.7807,236.1492,144.1019
DGTS(46:5)+H,898.7495,236.1492,144.1019
DGTS(47:1)+H,920.8277,236.1492,144.1019
DGTS(46:6)+H,896.7338,236.1492,144.1019
DGTS(47:2)+H,918.812,236.1492,144.1019
DGTS(46:7)+H,894.7181,236.1492,144.1019
DGTS(47:3)+H,916.7964,236.1492,144.1019
DGTS(42:10)+H,832.6086,236.1492,144.1019
DGTS(46:8)+H,892.7025,236.1492,144.1019
DGTS(47:4)+H,914.7807,236.1492,144.1019
DGTS(42:11)+H,830.593,236.1492,144.1019
DGTS(46:9)+H,890.6868,236.1492,144.1019
DGTS(47:5)+H,912.7651,236.1492,144.1019
DGTS(48:0)+H,936.859,236.1492,144.1019
DGTS(43:7)+H,852.6712,236.1492,144.1019
DGTS(48:1)+H,934.8433,236.1492,144.1019
DGTS(43:8)+H,850.6555,236.1492,144.1019
DGTS(47:6)+H,910.7495,236.1492,144.1019
DGTS(48:2)+H,932.8277,236.1492,144.1019
DGTS(48:4)+H,928.7964,236.1492,144.1019
DGTS(49:0)+H,950.8746,236.1492,144.1019
