OxPE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,T1RCOO+58,T2RCOO+58,head
OxPE(8:0_11:2(CHO))+H,520.26704,379.24793,253.14346,201.14854,127.11177,179.10669,201.14855,253.14347,142.02639
OxPE(8:0_12:1(CHO))+H,536.29834,395.27923,269.17476,201.14854,127.11177,195.13799,201.14855,269.17477,142.02639
OxPE(8:0_12:2(CHO))+H,534.28269,393.26358,267.15911,201.14854,127.11177,193.12234,201.14855,267.15912,142.02639
OxPE(8:0_12:3(CHO))+H,532.26704,391.24793,265.14346,201.14854,127.11177,191.10669,201.14855,265.14347,142.02639
OxPE(8:0_13:1(CHO))+H,550.31399,409.29488,283.19041,201.14854,127.11177,209.15364,201.14855,283.19042,142.02639
OxPE(8:0_13:2(CHO))+H,548.29834,407.27923,281.17476,201.14854,127.11177,207.13799,201.14855,281.17477,142.02639
OxPE(8:0_13:3(CHO))+H,546.28269,405.26358,279.15911,201.14854,127.11177,205.12234,201.14855,279.15912,142.02639
OxPE(8:0_14:1(CHO))+H,564.32964,423.31053,297.20606,201.14854,127.11177,223.16929,201.14855,297.20607,142.02639
OxPE(8:0_14:2(CHO))+H,562.31399,421.29488,295.19041,201.14854,127.11177,221.15364,201.14855,295.19042,142.02639
OxPE(8:0_14:3(CHO))+H,560.29834,419.27923,293.17476,201.14854,127.11177,219.13799,201.14855,293.17477,142.02639
OxPE(8:0_15:1(CHO))+H,578.34529,437.32618,311.22171,201.14854,127.11177,237.18494,201.14855,311.22172,142.02639
OxPE(8:0_15:2(CHO))+H,576.32964,435.31053,309.20606,201.14854,127.11177,235.16929,201.14855,309.20607,142.02639
OxPE(8:0_15:3(CHO))+H,574.31399,433.29488,307.19041,201.14854,127.11177,233.15364,201.14855,307.19042,142.02639
OxPE(8:0_15:4(CHO))+H,572.29834,431.27923,305.17476,201.14854,127.11177,231.13799,201.14855,305.17477,142.02639
OxPE(8:0_16:1(CHO))+H,592.36094,451.34183,325.23736,201.14854,127.11177,251.20059,201.14855,325.23737,142.02639
OxPE(8:0_16:2(CHO))+H,590.34529,449.32618,323.22171,201.14854,127.11177,249.18494,201.14855,323.22172,142.02639
OxPE(8:0_16:3(CHO))+H,588.32964,447.31053,321.20606,201.14854,127.11177,247.16929,201.14855,321.20607,142.02639
OxPE(8:0_16:4(CHO))+H,586.31399,445.29488,319.19041,201.14854,127.11177,245.15364,201.14855,319.19042,142.02639
OxPE(8:0_17:4(CHO))+H,600.32964,459.31053,333.20606,201.14854,127.11177,259.16929,201.14855,333.20607,142.02639
OxPE(8:0_18:4(CHO))+H,614.34529,473.32618,347.22171,201.14854,127.11177,273.18494,201.14855,347.22172,142.02639
OxPE(8:0_18:5(CHO))+H,612.32964,471.31053,345.20606,201.14854,127.11177,271.16929,201.14855,345.20607,142.02639
OxPE(8:0_19:4(CHO))+H,628.36094,487.34183,361.23736,201.14854,127.11177,287.20059,201.14855,361.23737,142.02639
OxPE(8:0_19:5(CHO))+H,626.34529,485.32618,359.22171,201.14854,127.11177,285.18494,201.14855,359.22172,142.02639
OxPE(8:0_3:0(COOH))+H,428.16805,287.14894,161.04447,201.14854,127.11177,87.0077,201.14855,161.04448,142.02639
OxPE(8:0_4:0(COOH))+H,442.1837,301.16459,175.06012,201.14854,127.11177,101.02335,201.14855,175.06013,142.02639
OxPE(8:0_5:0(COOH))+H,456.19935,315.18024,189.07577,201.14854,127.11177,115.039,201.14855,189.07578,142.02639
OxPE(8:0_6:0(COOH))+H,470.215,329.19589,203.09142,201.14854,127.11177,129.05465,201.14855,203.09143,142.02639
OxPE(8:0_7:0(COOH))+H,484.23065,343.21154,217.10707,201.14854,127.11177,143.0703,201.14855,217.10708,142.02639
OxPE(8:0_8:0(COOH))+H,498.2463,357.22719,231.12272,201.14854,127.11177,157.08595,201.14855,231.12273,142.02639
OxPE(8:0_9:0(COOH))+H,512.26195,371.24284,245.13837,201.14854,127.11177,171.1016,201.14855,245.13838,142.02639
OxPE(8:0_10:0(COOH))+H,526.2776,385.25849,259.15402,201.14854,127.11177,185.11725,201.14855,259.15403,142.02639
OxPE(8:0_11:0(COOH))+H,540.29325,399.27414,273.16967,201.14854,127.11177,199.1329,201.14855,273.16968,142.02639
OxPE(8:0_12:0(COOH))+H,554.3089,413.28979,287.18532,201.14854,127.11177,213.14855,201.14855,287.18533,142.02639
OxPE(8:0_13:0(COOH))+H,568.32455,427.30544,301.20097,201.14854,127.11177,227.1642,201.14855,301.20098,142.02639
OxPE(8:0_14:0(COOH))+H,582.3402,441.32109,315.21662,201.14854,127.11177,241.17985,201.14855,315.21663,142.02639
OxPE(8:0_15:0(COOH))+H,596.35585,455.33674,329.23227,201.14854,127.11177,255.1955,201.14855,329.23228,142.02639
OxPE(8:0_6:1(COOH))+H,468.19936,327.18025,201.07578,201.14854,127.11177,127.03901,201.14855,201.07579,142.02639
OxPE(8:0_7:1(COOH))+H,482.21501,341.1959,215.09143,201.14854,127.11177,141.05466,201.14855,215.09144,142.02639
