Plasmenyl-PC,[M+H]+,MH-PC,PC_Head
Plasmenyl-PC(46:1)+H,912.7779976,729.7119576,184.07332
Plasmenyl-PC(46:2)+H,910.7623976,727.6963576,184.07332
Plasmenyl-PC(46:3)+H,908.7466976,725.6806576,184.07332
Plasmenyl-PC(46:4)+H,906.7309976,723.6649576,184.07332
Plasmenyl-PC(46:5)+H,904.7153976,721.6493576,184.07332
Plasmenyl-PC(46:6)+H,902.6996976,719.6336576,184.07332
Plasmenyl-PC(46:7)+H,900.6840976,717.6180576,184.07332
Plasmenyl-PC(46:8)+H,898.6684976,715.6024576,184.07332
Plasmenyl-PC(47:0)+H,928.8092976,745.7432576,184.07332
Plasmenyl-PC(47:1)+H,926.7936976,743.7276576,184.07332
Plasmenyl-PC(47:2)+H,924.7780976,741.7120576,184.07332
Plasmenyl-PC(48:0)+H,942.8248976,759.7588576,184.07332
Plasmenyl-PC(48:1)+H,940.8092976,757.7432576,184.07332
Plasmenyl-PC(48:2)+H,938.7936976,755.7276576,184.07332
Plasmenyl-PC(48:3)+H,936.7780976,753.7120576,184.07332
Plasmenyl-PC(49:0)+H,956.8405976,773.7745576,184.07332
Plasmenyl-PC(49:1)+H,954.8249976,771.7589576,184.07332
Plasmenyl-PC(49:2)+H,952.8093976,769.7433576,184.07332
Plasmenyl-PC(50:0)+H,970.8561976,787.7901576,184.07332
Plasmenyl-PC(50:1)+H,968.8405976,785.7745576,184.07332
Plasmenyl-PC(50:2)+H,966.8249976,783.7589576,184.07332
