OxPE,[M+H]+,NL_head,head
OxPE(17:2(KeO))+H,508.23066,367.21155,142.02639
OxPE(17:2(KeKeO))+H,522.20992,381.19081,142.02639
OxPE(17:2(KeOKeO))+H,538.20484,397.18573,142.02639
OxPE(17:3(KeKe))+H,504.19935,363.18024,142.02639
OxPE(17:3(KeKeO))+H,520.19427,379.17516,142.02639
OxPE(17:3(KeOKeO))+H,536.18919,395.17008,142.02639
OxPE(18:0(Ke))+H,510.28268,369.26357,142.02639
OxPE(18:0(KeKe))+H,524.26194,383.24283,142.02639
OxPE(18:0(KeO))+H,526.2776,385.25849,142.02639
OxPE(18:0(KeKeO))+H,540.25686,399.23775,142.02639
OxPE(18:0(KeOKeO))+H,556.25178,415.23267,142.02639
OxPE(18:1(Ke))+H,508.26704,367.24793,142.02639
OxPE(18:1(KeKe))+H,522.24632,381.22721,142.02639
OxPE(18:1(KeO))+H,524.26196,383.24285,142.02639
OxPE(18:1(KeKeO))+H,538.24124,397.22213,142.02639
OxPE(18:1(OKeO))+H,540.2569,399.23779,142.02639
OxPE(18:1(KeOKeO))+H,554.23616,413.21705,142.02639
OxPE(18:1(OOKeO))+H,556.25182,415.23271,142.02639
OxPE(18:1(OOOKeO))+H,572.24674,431.22763,142.02639
OxPE(18:1(OOOOKeO))+H,588.24166,447.22255,142.02639
OxPE(18:2(Ke))+H,506.25139,365.23228,142.02639
OxPE(18:2(KeKe))+H,520.23065,379.21154,142.02639
OxPE(18:2(KeO))+H,522.24631,381.2272,142.02639
OxPE(18:2(KeKeO))+H,536.22557,395.20646,142.02639
OxPE(18:2(KeOKeO))+H,552.22049,411.20138,142.02639
OxPE(18:3(KeKe))+H,518.215,377.19589,142.02639
OxPE(18:3(KeKeO))+H,534.20992,393.19081,142.02639
OxPE(18:3(KeOKeO))+H,550.20484,409.18573,142.02639
OxPE(18:4(KeKe))+H,516.19936,375.18025,142.02639
OxPE(18:4(KeOKe))+H,532.19427,391.17516,142.02639
OxPE(18:4(KeOKeO))+H,548.18919,407.17008,142.02639
OxPE(19:0(Ke))+H,524.29833,383.27922,142.02639
OxPE(19:0(KeKe))+H,538.27759,397.25848,142.02639
OxPE(19:0(KeO))+H,540.29325,399.27414,142.02639
OxPE(19:0(KeKeO))+H,554.27251,413.2534,142.02639
OxPE(19:0(KeOKeO))+H,570.26743,429.24832,142.02639
OxPE(19:1(Ke))+H,522.28269,381.26358,142.02639
OxPE(19:1(KeKe))+H,536.26197,395.24286,142.02639
OxPE(19:1(KeO))+H,538.27761,397.2585,142.02639
OxPE(19:1(KeKeO))+H,552.25689,411.23778,142.02639
OxPE(19:1(OKeO))+H,554.27255,413.25344,142.02639
OxPE(19:1(KeOKeO))+H,568.25181,427.2327,142.02639
OxPE(19:1(OOKeO))+H,570.26747,429.24836,142.02639
OxPE(19:1(OOOKeO))+H,586.26239,445.24328,142.02639
OxPE(19:1(OOOOKeO))+H,602.25731,461.2382,142.02639
OxPE(19:2(Ke))+H,520.26704,379.24793,142.02639
OxPE(19:2(KeKe))+H,534.2463,393.22719,142.02639
OxPE(19:2(KeO))+H,536.26196,395.24285,142.02639
