PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(8:0_22:2)+HCO2,746.49778,686.47664,615.40314,560.37217,368.18437,542.36161,350.17381,224.06881,143.10775,335.29555,168.04314,152.99586,96.96964,78.95852
PC(8:0_22:3)+HCO2,744.48218,684.46104,613.38754,558.35657,368.18437,540.34601,350.17381,224.06881,143.10775,333.27995,168.04314,152.99586,96.96964,78.95852
PC(8:0_22:4)+HCO2,742.46648,682.44534,611.37184,556.34087,368.18437,538.33031,350.17381,224.06881,143.10775,331.26425,168.04314,152.99586,96.96964,78.95852
PC(8:0_22:5)+HCO2,740.45088,680.42974,609.35624,554.32527,368.18437,536.31471,350.17381,224.06881,143.10775,329.24865,168.04314,152.99586,96.96964,78.95852
PC(8:0_22:6)+HCO2,738.43518,678.41404,607.34054,552.30957,368.18437,534.29901,350.17381,224.06881,143.10775,327.23295,168.04314,152.99586,96.96964,78.95852
PC(8:0_23:0)+HCO2,764.54478,704.52364,633.45014,578.41917,368.18437,560.40861,350.17381,224.06881,143.10775,353.34255,168.04314,152.99586,96.96964,78.95852
PC(8:0_24:0)+HCO2,778.56038,718.53924,647.46574,592.43477,368.18437,574.42421,350.17381,224.06881,143.10775,367.35815,168.04314,152.99586,96.96964,78.95852
PC(8:0_24:1)+HCO2,776.54478,716.52364,645.45014,590.41917,368.18437,572.40861,350.17381,224.06881,143.10775,365.34255,168.04314,152.99586,96.96964,78.95852
PC(8:0_25:0)+HCO2,792.57608,732.55494,661.48144,606.45047,368.18437,588.43991,350.17381,224.06881,143.10775,381.37385,168.04314,152.99586,96.96964,78.95852
PC(8:0_26:0)+HCO2,806.59168,746.57054,675.49704,620.46607,368.18437,602.45551,350.17381,224.06881,143.10775,395.38945,168.04314,152.99586,96.96964,78.95852
PC(10:0_10:0)+HCO2,610.37258,550.35144,479.27794,396.21567,396.21567,378.20511,378.20511,224.06881,171.13905,171.13905,168.04314,152.99586,96.96964,78.95852
PC(10:0_12:0)+HCO2,638.40388,578.38274,507.30924,424.24697,396.21567,406.23641,378.20511,224.06881,171.13905,199.17035,168.04314,152.99586,96.96964,78.95852
PC(10:0_13:0)+HCO2,652.41958,592.39844,521.32494,438.26267,396.21567,420.25211,378.20511,224.06881,171.13905,213.18605,168.04314,152.99586,96.96964,78.95852
PC(10:0_14:0)+HCO2,666.43518,606.41404,535.34054,452.27827,396.21567,434.26771,378.20511,224.06881,171.13905,227.20165,168.04314,152.99586,96.96964,78.95852
PC(10:0_14:1)+HCO2,664.41958,604.39844,533.32494,450.26267,396.21567,432.25211,378.20511,224.06881,171.13905,225.18605,168.04314,152.99586,96.96964,78.95852
PC(10:0_15:0)+HCO2,680.45088,620.42974,549.35624,466.29397,396.21567,448.28341,378.20511,224.06881,171.13905,241.21735,168.04314,152.99586,96.96964,78.95852
PC(10:0_15:1)+HCO2,678.43518,618.41404,547.34054,464.27827,396.21567,446.26771,378.20511,224.06881,171.13905,239.20165,168.04314,152.99586,96.96964,78.95852
PC(10:0_16:0)+HCO2,694.46648,634.44534,563.37184,480.30957,396.21567,462.29901,378.20511,224.06881,171.13905,255.23295,168.04314,152.99586,96.96964,78.95852
PC(10:0_16:1)+HCO2,692.45088,632.42974,561.35624,478.29397,396.21567,460.28341,378.20511,224.06881,171.13905,253.21735,168.04314,152.99586,96.96964,78.95852
