GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(11:0_20:4)+NH4,740.49489,547.43625,529.42569,361.27436,243.19616
GlcADG(11:0_20:5)+NH4,738.47924,545.4206,527.41004,359.25871,243.19615
GlcADG(11:0_21:0)+NH4,762.57314,569.5145,551.50394,383.35261,243.19621
GlcADG(11:0_22:0)+NH4,776.58879,583.53015,565.51959,397.36826,243.19622
GlcADG(11:0_22:1)+NH4,774.57314,581.5145,563.50394,395.35261,243.19621
GlcADG(11:0_22:2)+NH4,772.55749,579.49885,561.48829,393.33696,243.1962
GlcADG(11:0_22:4)+NH4,768.52619,575.46755,557.45699,389.30566,243.19618
GlcADG(11:0_22:5)+NH4,766.51054,573.4519,555.44134,387.29001,243.19617
GlcADG(11:0_22:6)+NH4,764.49489,571.43625,553.42569,385.27436,243.19616
GlcADG(11:0_23:0)+NH4,790.60444,597.5458,579.53524,411.38391,243.19623
GlcADG(11:0_24:0)+NH4,804.62009,611.56145,593.55089,425.39956,243.19624
GlcADG(11:0_24:1)+NH4,802.60444,609.5458,591.53524,423.38391,243.19623
GlcADG(11:0_24:4)+NH4,796.55749,603.49885,585.48829,417.33696,243.1962
GlcADG(11:0_25:0)+NH4,818.63574,625.5771,607.56654,439.41521,243.19625
GlcADG(11:0_26:0)+NH4,832.65139,639.59275,621.58219,453.43086,243.19626
GlcADG(11:0_26:1)+NH4,830.63574,637.5771,619.56654,451.41521,243.19625
GlcADG(11:0_26:2)+NH4,828.62009,635.56145,617.55089,449.39956,243.19624
GlcADG(11:0_3:0)+NH4,510.29143,317.23279,299.22223,131.07091,243.19603
GlcADG(11:0_4:0)+NH4,524.30708,331.24844,313.23788,145.08656,243.19604
GlcADG(11:0_5:0)+NH4,538.32273,345.26409,327.25353,159.10221,243.19605
GlcADG(11:0_6:0)+NH4,552.33838,359.27974,341.26918,173.11786,243.19606
GlcADG(11:0_7:0)+NH4,566.35403,373.29539,355.28483,187.13351,243.19607
GlcADG(11:0_8:0)+NH4,580.36968,387.31104,369.30048,201.14916,243.19608
GlcADG(11:0_9:0)+NH4,594.38533,401.32669,383.31613,215.16481,243.19609
GlcADG(12:0_12:0)+NH4,650.44794,457.3893,439.37874,257.21177,257.21177
GlcADG(12:0_13:0)+NH4,664.46359,471.40495,453.39439,271.22742,257.21178
GlcADG(12:0_14:0)+NH4,678.47924,485.4206,467.41004,285.24307,257.21179
GlcADG(12:0_14:1)+NH4,676.46359,483.40495,465.39439,283.22742,257.21178
GlcADG(12:0_15:0)+NH4,692.49489,499.43625,481.42569,299.25872,257.2118
GlcADG(12:0_15:1)+NH4,690.47924,497.4206,479.41004,297.24307,257.21179
GlcADG(12:0_16:0)+NH4,706.51054,513.4519,495.44134,313.27437,257.21181
GlcADG(12:0_16:1)+NH4,704.49489,511.43625,493.42569,311.25872,257.2118
GlcADG(12:0_17:0)+NH4,720.52619,527.46755,509.45699,327.29002,257.21182
GlcADG(12:0_17:1)+NH4,718.51054,525.4519,507.44134,325.27437,257.21181
GlcADG(12:0_17:2)+NH4,716.49489,523.43625,505.42569,323.25872,257.2118
GlcADG(12:0_18:0)+NH4,734.54184,541.4832,523.47264,341.30567,257.21183
GlcADG(12:0_18:1)+NH4,732.52619,539.46755,521.45699,339.29002,257.21182
GlcADG(12:0_18:2)+NH4,730.51054,537.4519,519.44134,337.27437,257.21181
GlcADG(12:0_18:3)+NH4,728.49489,535.43625,517.42569,335.25872,257.2118
GlcADG(12:0_18:4)+NH4,726.47924,533.4206,515.41004,333.24307,257.21179
GlcADG(12:0_19:0)+NH4,748.55749,555.49885,537.48829,355.32132,257.21184
GlcADG(12:0_2:0)+NH4,510.29143,317.23279,299.22223,117.05527,257.21167
GlcADG(12:0_20:0)+NH4,762.57314,569.5145,551.50394,369.33697,257.21185
GlcADG(12:0_20:1)+NH4,760.55749,567.49885,549.48829,367.32132,257.21184
GlcADG(12:0_20:2)+NH4,758.54184,565.4832,547.47264,365.30567,257.21183
GlcADG(12:0_20:3)+NH4,756.52619,563.46755,545.45699,363.29002,257.21182
GlcADG(12:0_20:4)+NH4,754.51054,561.4519,543.44134,361.27437,257.21181
GlcADG(12:0_20:5)+NH4,752.49489,559.43625,541.42569,359.25872,257.2118
GlcADG(12:0_21:0)+NH4,776.58879,583.53015,565.51959,383.35262,257.21186
GlcADG(12:0_22:0)+NH4,790.60444,597.5458,579.53524,397.36827,257.21187
GlcADG(12:0_22:1)+NH4,788.58879,595.53015,577.51959,395.35262,257.21186
GlcADG(12:0_22:2)+NH4,786.57314,593.5145,575.50394,393.33697,257.21185
GlcADG(12:0_22:4)+NH4,782.54184,589.4832,571.47264,389.30567,257.21183
