"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment"
"","PC(8:0_8:0)+H",0,0,0,0,0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","PC(8:0_8:0)+H",0,0,0,0,0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","PC(8:0_8:0)+H",0,0,0,0,0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","PC(8:0_8:0)+H",0,0,0,0,0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","PC(8:0_8:0)+H",0,0,0,0,0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","PC(8:0_8:0)+H","510.31904","327.253","307.130511","307.130511","366.20401","366.20401","384.21459","384.21459","201.14853","201.14853","184.07332","0.400345454545455","0.700345454545455","13556"
"","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PC(8:0_17:0)+H","636.45994","453.3939","433.271411","307.130511","492.34491","366.20401","384.21459","510.35549","201.14853","327.28943","184.07332","4.97676527777778","5.27676527777778","3409"
"","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PC(8:0_17:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PC(8:0_17:0)+H","636.45994","453.3939","433.271411","307.130511","492.34491","366.20401","384.21459","510.35549","201.14853","327.28943","184.07332","1.39863194444444","1.69863194444444","14975"
"","PC(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PC(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PC(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PC(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PC(8:0_18:0)+H",0,0,0,0,0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PC(8:0_18:0)+H","650.47554","467.4095","447.287011","307.130511","506.36051","366.20401","384.21459","524.37109","201.14853","341.30503","184.07332","3.33079861111111","3.63079861111111","5401"
"","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_18:4)+H","642.41294","459.3469","439.224411","307.130511","498.29791","366.20401","384.21459","516.30849","201.14853","333.24243","184.07332","8.54689027777778","8.84689027777778","6569"
"","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_18:4)+H",0,0,0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_18:4)+H","642.41294","459.3469","439.224411","307.130511","498.29791","366.20401","384.21459","516.30849","201.14853","333.24243","184.07332","9.46787424242424","9.76787424242424","15431"
"","PC(8:0_19:0)+H",1,0,0,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PC(8:0_19:0)+H",6.479667,0,0,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PC(8:0_19:0)+H",2,0,0,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PC(8:0_19:0)+H",69924.22,0,0,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PC(8:0_19:0)+H",664.49195,0,0,0,0,0,0,0,0,0,0,"6.30153194444444","6.60153194444444","97","","PC(8:0_19:0)+H","664.49124","481.4252","461.302711","307.130511","520.37621","366.20401","384.21459","538.38679","201.14853","355.32073","184.07332","6.30153194444444","6.60153194444444","97"
"","PC(8:0_19:0)+H",1,0,0,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PC(8:0_19:0)+H",6.597385,0,0,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PC(8:0_19:0)+H",1,0,0,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PC(8:0_19:0)+H",6324.5,0,0,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PC(8:0_19:0)+H",664.4921,0,0,0,0,0,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PC(8:0_19:0)+H","664.49124","481.4252","461.302711","307.130511","520.37621","366.20401","384.21459","538.38679","201.14853","355.32073","184.07332","6.48472083333333","6.78472083333333","15124"
"","PC(8:0_20:0)+H",1,0,0,0,0,0,0,0,0,0,1,"4.68950454545455","4.98950454545455","1155","","PC(8:0_20:0)+H",4.868633,0,0,0,0,0,0,0,0,0,4.868633,"4.68950454545455","4.98950454545455","1155","","PC(8:0_20:0)+H",1,0,0,0,0,0,0,0,0,0,1,"4.68950454545455","4.98950454545455","1155","","PC(8:0_20:0)+H",122538.7,0,0,0,0,0,0,0,0,0,840277.9,"4.68950454545455","4.98950454545455","1155","","PC(8:0_20:0)+H",678.509,0,0,0,0,0,0,0,0,0,184.0739,"4.68950454545455","4.98950454545455","1155","","PC(8:0_20:0)+H","678.50684","495.4408","475.318311","307.130511","534.39181","366.20401","384.21459","552.40239","201.14853","369.33633","184.07332","4.68950454545455","4.98950454545455","1155"
"","PC(8:0_20:0)+H",1,0,0,0,0,0,0,0,0,0,1,"4.69344722222222","4.99344722222222","12687","","PC(8:0_20:0)+H",4.868633,0,0,0,0,0,0,0,0,0,4.868633,"4.69344722222222","4.99344722222222","12687","","PC(8:0_20:0)+H",1,0,0,0,0,0,0,0,0,0,1,"4.69344722222222","4.99344722222222","12687","","PC(8:0_20:0)+H",122538.7,0,0,0,0,0,0,0,0,0,840277.9,"4.69344722222222","4.99344722222222","12687","","PC(8:0_20:0)+H",678.509,0,0,0,0,0,0,0,0,0,184.0739,"4.69344722222222","4.99344722222222","12687","","PC(8:0_20:0)+H","678.50684","495.4408","475.318311","307.130511","534.39181","366.20401","384.21459","552.40239","201.14853","369.33633","184.07332","4.69344722222222","4.99344722222222","12687"
