"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","6.92652272727273","7.22652272727273","12400"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","10.0657097222222","10.3657097222222","13463"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","7.9732","8.2732","13562"
"","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPC(7:0(COOH))+Na",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPC(7:0(COOH))+Na","422.15453","239.08853","363.08103","217.10653","76.866585","184.07332","6.92652272727273","7.22652272727273","17560"
"","OxLPC(13:0(COOH))+Na",0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(13:0(COOH))+Na",0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(13:0(COOH))+Na",0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(13:0(COOH))+Na",0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(13:0(COOH))+Na",0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(13:0(COOH))+Na","506.24843","323.18243","447.17493","301.20043","76.866585","184.07332","0.507062121212121","0.807062121212121","11882"
"","OxLPC(15:1(OH))+Na",0,0,0,1,0,1,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,0.8117199,0,0.6175924,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,2,0,2,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,27597.05,0,1579002,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na",0,0,0,313.2377,0,184.0736,"0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","518.2848","335.2188","459.2113","313.2368","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
"","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"6.59762638888889","6.89762638888889","10360","","OxLPC(15:1(OH))+Na","518.2848","335.2188","459.2113","313.2368","76.866585","184.07332","6.59762638888889","6.89762638888889","10360"
"","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:1(OH))+Na",0,0,0,0,0,0,"7.69778472222222","7.99778472222222","11771","","OxLPC(15:1(OH))+Na","518.2848","335.2188","459.2113","313.2368","76.866585","184.07332","7.69778472222222","7.99778472222222","11771"
"","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na",0,0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPC(17:2(OH))+Na","544.3005","361.2345","485.227","339.2525","76.866585","184.07332","1.89569166666667","2.19569166666667","6040"
"","OxLPC(18:3(OH))+Na",0,0,0,0,0,0,"0.674243939393939","0.974243939393939","11748","","OxLPC(18:3(OH))+Na",0,0,0,0,0,0,"0.674243939393939","0.974243939393939","11748","","OxLPC(18:3(OH))+Na",0,0,0,0,0,0,"0.674243939393939","0.974243939393939","11748","","OxLPC(18:3(OH))+Na",0,0,0,0,0,0,"0.674243939393939","0.974243939393939","11748","","OxLPC(18:3(OH))+Na",0,0,0,0,0,0,"0.674243939393939","0.974243939393939","11748","","OxLPC(18:3(OH))+Na","556.3005","373.2345","497.227","351.2525","76.866585","184.07332","0.674243939393939","0.974243939393939","11748"
