"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Average m/z","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.1003055555556","10.4003055555556","7289","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","10.1003055555556","10.4003055555556","7289"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57402777777778","9.87402777777778","7317","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57402777777778","9.87402777777778","7317","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57402777777778","9.87402777777778","7317","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57402777777778","9.87402777777778","7317","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57402777777778","9.87402777777778","7317","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","9.57402777777778","9.87402777777778","7317"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"4.10695138888889","4.40695138888889","7389","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"4.10695138888889","4.40695138888889","7389","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"4.10695138888889","4.40695138888889","7389","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"4.10695138888889","4.40695138888889","7389","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"4.10695138888889","4.40695138888889","7389","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","4.10695138888889","4.40695138888889","7389"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.79902083333333","8.09902083333333","7431","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","7.79902083333333","8.09902083333333","7431"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"2.66637777777778","2.96637777777778","7550","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"2.66637777777778","2.96637777777778","7550","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"2.66637777777778","2.96637777777778","7550","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"2.66637777777778","2.96637777777778","7550","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"2.66637777777778","2.96637777777778","7550","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","2.66637777777778","2.96637777777778","7550"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"1.38499444444444","1.68499444444444","8073","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","1.38499444444444","1.68499444444444","8073"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"14.7784263888889","15.0784263888889","9574","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"14.7784263888889","15.0784263888889","9574","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"14.7784263888889","15.0784263888889","9574","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"14.7784263888889","15.0784263888889","9574","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"14.7784263888889","15.0784263888889","9574","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","14.7784263888889","15.0784263888889","9574"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.76684305555556","8.06684305555556","10504","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","7.76684305555556","8.06684305555556","10504"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.07819583333333","6.37819583333333","11048","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.07819583333333","6.37819583333333","11048","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.07819583333333","6.37819583333333","11048","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.07819583333333","6.37819583333333","11048","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.07819583333333","6.37819583333333","11048","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","6.07819583333333","6.37819583333333","11048"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","12400","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","6.92652272727273","7.22652272727273","12400"
