"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","OxLPE(16:1(OO))+Na",0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPE(16:1(OO))+Na",0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPE(16:1(OO))+Na",0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPE(16:1(OO))+Na",0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPE(16:1(OO))+Na",0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPE(16:1(OO))+Na","506.24791","463.20571","365.2288157","176.99139","164.00888","0.507062121212121","0.807062121212121","11882"
"","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:2(OO))+Na","560.29481","517.25261","419.2757157","176.99139","164.00888","7.49951805555555","7.79951805555555","1330"
"","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:2(OO))+Na","560.29481","517.25261","419.2757157","176.99139","164.00888","6.41087777777778","6.71087777777778","2398"
"","OxLPE(20:2(OO))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:2(OO))+Na","560.29481","517.25261","419.2757157","176.99139","164.00888","8.55429444444444","8.85429444444444","6910"
"","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:2(OO))+Na","560.29481","517.25261","419.2757157","176.99139","164.00888","7.66776944444444","7.96776944444444","14866"
"","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:2(OO))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:2(OO))+Na","560.29481","517.25261","419.2757157","176.99139","164.00888","6.39903055555556","6.69903055555556","17177"
"","OxLPE(20:3(OO))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:3(OO))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:3(OO))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:3(OO))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:3(OO))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:3(OO))+Na","558.27921","515.23701","417.2601157","176.99139","164.00888","5.61840833333333","5.91840833333333","8166"
"","OxLPE(22:3(OO))+Na",0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxLPE(22:3(OO))+Na","586.31051","543.26831","445.2914157","176.99139","164.00888","1.82909166666667","2.12909166666667","7873"
"","OxLPE(22:3(OO))+Na",0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxLPE(22:3(OO))+Na",0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxLPE(22:3(OO))+Na","586.31051","543.26831","445.2914157","176.99139","164.00888","6.81816944444444","7.11816944444444","10654"
"","OxLPE(22:4(OO))+Na",0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxLPE(22:4(OO))+Na","584.29481","541.25261","443.2757157","176.99139","164.00888","7.18054444444445","7.48054444444445","3574"
