"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"14.983096969697","15.283096969697","9758","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","14.983096969697","15.283096969697","9758"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"12.5517638888889","12.8517638888889","15560","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","12.5517638888889","12.8517638888889","15560"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"15.1504513888889","15.4504513888889","16040","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","15.1504513888889","15.4504513888889","16040"
"","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"13.1226833333333","13.4226833333333","17687","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"13.1226833333333","13.4226833333333","17687","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"13.1226833333333","13.4226833333333","17687","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"13.1226833333333","13.4226833333333","17687","","OxLPC(14:3(COOH))+H",0,0,0,0,0,0,0,"13.1226833333333","13.4226833333333","17687","","OxLPC(14:3(COOH))+H","492.23576","309.16976","258.11015","184.07332","124.9994","104.1069","86.0963","13.1226833333333","13.4226833333333","17687"
"","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"0.507062121212121","0.807062121212121","11882","","OxLPC(15:3(COOH))+H","506.25141","323.18541","258.11015","184.07332","124.9994","104.1069","86.0963","0.507062121212121","0.807062121212121","11882"
"","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1581069444444","15.4581069444444","13525","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1581069444444","15.4581069444444","13525","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1581069444444","15.4581069444444","13525","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1581069444444","15.4581069444444","13525","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1581069444444","15.4581069444444","13525","","OxLPC(15:3(COOH))+H","506.25141","323.18541","258.11015","184.07332","124.9994","104.1069","86.0963","15.1581069444444","15.4581069444444","13525"
"","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"14.7625041666667","15.0625041666667","14021","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"14.7625041666667","15.0625041666667","14021","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"14.7625041666667","15.0625041666667","14021","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"14.7625041666667","15.0625041666667","14021","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"14.7625041666667","15.0625041666667","14021","","OxLPC(15:3(COOH))+H","506.25141","323.18541","258.11015","184.07332","124.9994","104.1069","86.0963","14.7625041666667","15.0625041666667","14021"
"","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1443944444444","15.4443944444444","16406","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1443944444444","15.4443944444444","16406","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1443944444444","15.4443944444444","16406","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1443944444444","15.4443944444444","16406","","OxLPC(15:3(COOH))+H",0,0,0,0,0,0,0,"15.1443944444444","15.4443944444444","16406","","OxLPC(15:3(COOH))+H","506.25141","323.18541","258.11015","184.07332","124.9994","104.1069","86.0963","15.1443944444444","15.4443944444444","16406"
"","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(19:4(COOH))+H","560.29836","377.23236","258.11015","184.07332","124.9994","104.1069","86.0963","7.49951805555555","7.79951805555555","1330"
"","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(19:4(COOH))+H","560.29836","377.23236","258.11015","184.07332","124.9994","104.1069","86.0963","6.41087777777778","6.71087777777778","2398"
