"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","GlcCer_NS(d16:1/16:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NS(d16:1/16:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NS(d16:1/16:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NS(d16:1/16:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NS(d16:1/16:0)+H",0,0,0,0,0,0,0,0,"5.0153625","5.3153625","2151","","GlcCer_NS(d16:1/16:0)+H","672.5414","510.4886","492.478","474.4675","254.2478","236.2373","256.26352","224.2373","5.0153625","5.3153625","2151"
"","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"5.71002361111111","6.01002361111111","5972","","GlcCer_NS(d16:1/17:0)+H","686.55706","524.50426","506.49366","488.48316","254.2478","236.2373","270.27918","224.2373","5.71002361111111","6.01002361111111","5972"
"","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NS(d16:1/17:0)+H",0,0,0,0,0,0,0,0,"10.2094212121212","10.5094212121212","16210","","GlcCer_NS(d16:1/17:0)+H","686.55706","524.50426","506.49366","488.48316","254.2478","236.2373","270.27918","224.2373","10.2094212121212","10.5094212121212","16210"
"","GlcCer_NS(d16:1/17:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NS(d16:1/17:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NS(d16:1/17:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NS(d16:1/17:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NS(d16:1/17:1)+H",0,0,0,0,0,0,0,0,"6.78201944444445","7.08201944444445","14661","","GlcCer_NS(d16:1/17:1)+H","684.5414","522.4886","504.478","486.4675","254.2478","236.2373","268.26352","224.2373","6.78201944444445","7.08201944444445","14661"
"","GlcCer_NS(d16:1/18:0)+H",0,0,1,1,0,1,0,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NS(d16:1/18:0)+H",0,0,6.545538,6.545538,0,6.545538,0,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NS(d16:1/18:0)+H",0,0,1,1,0,1,0,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NS(d16:1/18:0)+H",0,0,145452.5,56112.69,0,6288.997,0,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NS(d16:1/18:0)+H",0,0,520.5101,502.4994,0,236.2379,0,0,"6.36482638888889","6.66482638888889","1123","","GlcCer_NS(d16:1/18:0)+H","700.57272","538.51992","520.50932","502.49882","254.2478","236.2373","284.29484","224.2373","6.36482638888889","6.66482638888889","1123"
"","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"5.21461944444444","5.51461944444444","3785","","GlcCer_NS(d16:1/18:0)+H","700.57272","538.51992","520.50932","502.49882","254.2478","236.2373","284.29484","224.2373","5.21461944444444","5.51461944444444","3785"
"","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27311666666667","8.57311666666667","12563","","GlcCer_NS(d16:1/18:0)+H","700.57272","538.51992","520.50932","502.49882","254.2478","236.2373","284.29484","224.2373","8.27311666666667","8.57311666666667","12563"
"","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NS(d16:1/18:0)+H",0,0,0,0,0,0,0,0,"8.27312916666667","8.57312916666667","18238","","GlcCer_NS(d16:1/18:0)+H","700.57272","538.51992","520.50932","502.49882","254.2478","236.2373","284.29484","224.2373","8.27312916666667","8.57312916666667","18238"
"","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NS(d16:1/18:1)+H","698.55706","536.50426","518.49366","500.48316","254.2478","236.2373","282.27918","224.2373","4.94340138888889","5.24340138888889","2663"
"","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NS(d16:1/18:1)+H","698.55706","536.50426","518.49366","500.48316","254.2478","236.2373","282.27918","224.2373","5.1868696969697","5.4868696969697","5264"
