"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.86114305555556","2.16114305555556","4236","","Plasmenyl-PS(P-16:0/15:1)+H","704.48613","519.47718","297.27883","223.20565","1.86114305555556","2.16114305555556","4236"
"","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(P-16:0/15:1)+H",0,0,0,0,"1.55683194444444","1.85683194444444","13814","","Plasmenyl-PS(P-16:0/15:1)+H","704.48613","519.47718","297.27883","223.20565","1.55683194444444","1.85683194444444","13814"
"","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(P-16:0/16:1)+H","718.50183","533.49288","297.27883","237.22135","1.71265833333333","2.01265833333333","6946"
"","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(P-16:0/16:1)+H",0,0,0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(P-16:0/16:1)+H","718.50183","533.49288","297.27883","237.22135","2.10559305555556","2.40559305555556","14062"
"","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(P-16:0/18:0)+H","748.54873","563.53978","297.27883","267.26825","4.89981527777778","5.19981527777778","9166"
"","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(P-16:0/18:0)+H",0,0,0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(P-16:0/18:0)+H","748.54873","563.53978","297.27883","267.26825","5.33257777777778","5.63257777777778","12455"
"","Plasmenyl-PS(P-16:0/18:3)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(P-16:0/18:3)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(P-16:0/18:3)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(P-16:0/18:3)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(P-16:0/18:3)+H",0,0,0,0,"1.8882875","2.1882875","8974","","Plasmenyl-PS(P-16:0/18:3)+H","742.50183","557.49288","297.27883","261.22135","1.8882875","2.1882875","8974"
"","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.79171805555556","2.09171805555556","6656","","Plasmenyl-PS(P-16:0/18:4)+H","740.48613","555.47718","297.27883","259.20565","1.79171805555556","2.09171805555556","6656"
"","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(P-16:0/18:4)+H",0,0,0,0,"1.53285972222222","1.83285972222222","19185","","Plasmenyl-PS(P-16:0/18:4)+H","740.48613","555.47718","297.27883","259.20565","1.53285972222222","1.83285972222222","19185"
"","Plasmenyl-PS(P-16:0/19:0)+H",0,0,0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(P-16:0/19:0)+H",0,0,0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(P-16:0/19:0)+H",0,0,0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(P-16:0/19:0)+H",0,0,0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(P-16:0/19:0)+H",0,0,0,0,"5.44271805555556","5.74271805555556","3919","","Plasmenyl-PS(P-16:0/19:0)+H","762.56443","577.55548","297.27883","281.28395","5.44271805555556","5.74271805555556","3919"
"","Plasmenyl-PS(P-16:0/20:0)+H",1,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(P-16:0/20:0)+H",6.225476,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(P-16:0/20:0)+H",1,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(P-16:0/20:0)+H",463349.5,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(P-16:0/20:0)+H",776.5809,0,0,0,"6.06026805555555","6.36026805555555","551","","Plasmenyl-PS(P-16:0/20:0)+H","776.58003","591.57108","297.27883","295.29955","6.06026805555555","6.36026805555555","551"
