"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Average m/z","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment"
"","plasmanyl-TG(O-16:0_8:0_15:0)+NH4",0,0,0,"10.5478972222222","10.8478972222222","8149","","plasmanyl-TG(O-16:0_8:0_15:0)+NH4",0,0,0,"10.5478972222222","10.8478972222222","8149","","plasmanyl-TG(O-16:0_8:0_15:0)+NH4",0,0,0,"10.5478972222222","10.8478972222222","8149","","plasmanyl-TG(O-16:0_8:0_15:0)+NH4",0,0,0,"10.5478972222222","10.8478972222222","8149","","plasmanyl-TG(O-16:0_8:0_15:0)+NH4",0,0,0,"10.5478972222222","10.8478972222222","8149","","plasmanyl-TG(O-16:0_8:0_15:0)+NH4","684.65015","523.50845","425.39885","10.5478972222222","10.8478972222222","8149"
"","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4","682.63445","521.49275","425.39885","9.32049","9.62049","13324"
"","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmanyl-TG(O-16:0_8:0_15:1)+NH4","682.63445","521.49275","425.39885","9.54454848484848","9.84454848484848","16543"
"","plasmanyl-TG(O-16:0_8:0_16:0)+NH4",0,0,0,"2.71317083333333","3.01317083333333","11920","","plasmanyl-TG(O-16:0_8:0_16:0)+NH4",0,0,0,"2.71317083333333","3.01317083333333","11920","","plasmanyl-TG(O-16:0_8:0_16:0)+NH4",0,0,0,"2.71317083333333","3.01317083333333","11920","","plasmanyl-TG(O-16:0_8:0_16:0)+NH4",0,0,0,"2.71317083333333","3.01317083333333","11920","","plasmanyl-TG(O-16:0_8:0_16:0)+NH4",0,0,0,"2.71317083333333","3.01317083333333","11920","","plasmanyl-TG(O-16:0_8:0_16:0)+NH4","698.66575","537.52405","425.39885","2.71317083333333","3.01317083333333","11920"
"","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4","696.65015","535.50845","425.39885","8.2520125","8.5520125","2141"
"","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"11.8230152777778","12.1230152777778","6658","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4","696.65015","535.50845","425.39885","11.8230152777778","12.1230152777778","6658"
"","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"9.11882272727273","9.41882272727273","10393","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4","696.65015","535.50845","425.39885","9.11882272727273","9.41882272727273","10393"
"","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4",0,0,0,"8.59418888888889","8.89418888888889","18636","","plasmanyl-TG(O-16:0_8:0_16:1)+NH4","696.65015","535.50845","425.39885","8.59418888888889","8.89418888888889","18636"
"","plasmanyl-TG(O-16:0_8:0_17:0)+NH4",0,0,0,"11.4284027777778","11.7284027777778","6891","","plasmanyl-TG(O-16:0_8:0_17:0)+NH4",0,0,0,"11.4284027777778","11.7284027777778","6891","","plasmanyl-TG(O-16:0_8:0_17:0)+NH4",0,0,0,"11.4284027777778","11.7284027777778","6891","","plasmanyl-TG(O-16:0_8:0_17:0)+NH4",0,0,0,"11.4284027777778","11.7284027777778","6891","","plasmanyl-TG(O-16:0_8:0_17:0)+NH4",0,0,0,"11.4284027777778","11.7284027777778","6891","","plasmanyl-TG(O-16:0_8:0_17:0)+NH4","712.68145","551.53975","425.39885","11.4284027777778","11.7284027777778","6891"
"","plasmanyl-TG(O-16:0_8:0_17:2)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmanyl-TG(O-16:0_8:0_17:2)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmanyl-TG(O-16:0_8:0_17:2)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmanyl-TG(O-16:0_8:0_17:2)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmanyl-TG(O-16:0_8:0_17:2)+NH4",0,0,0,"9.19345972222222","9.49345972222222","6887","","plasmanyl-TG(O-16:0_8:0_17:2)+NH4","708.65015","547.50845","425.39885","9.19345972222222","9.49345972222222","6887"
