"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","RT at Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Number of Scans","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Average m/z","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment"
"","PC(8:0_14:1)+Na",0,0,0,0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PC(8:0_14:1)+Na",0,0,0,0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PC(8:0_14:1)+Na",0,0,0,0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PC(8:0_14:1)+Na",0,0,0,0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PC(8:0_14:1)+Na",0,0,0,0,0,0,0,0,0,"5.63460833333333","5.93460833333333","10115","","PC(8:0_14:1)+Na","614.37928","431.31324","555.305781","409.3313","411.190751","329.112451","470.26425","388.18595","146.98179","5.63460833333333","5.93460833333333","10115"
"","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"8.54689027777778","8.84689027777778","6569","","PC(8:0_16:1)+Na","642.41058","459.34454","583.337081","437.3626","439.222051","329.112451","498.29555","388.18595","146.98179","8.54689027777778","8.84689027777778","6569"
"","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_16:1)+Na",0,0,0,0,0,0,0,0,0,"9.46787424242424","9.76787424242424","15431","","PC(8:0_16:1)+Na","642.41058","459.34454","583.337081","437.3626","439.222051","329.112451","498.29555","388.18595","146.98179","9.46787424242424","9.76787424242424","15431"
"","PC(8:0_19:0)+Na",0,0,0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PC(8:0_19:0)+Na",0,0,0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PC(8:0_19:0)+Na",0,0,0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PC(8:0_19:0)+Na",0,0,0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PC(8:0_19:0)+Na",0,0,0,0,0,0,0,0,0,"6.29392361111111","6.59392361111111","12753","","PC(8:0_19:0)+Na","686.47318","503.40714","627.399681","481.4252","483.284651","329.112451","542.35815","388.18595","146.98179","6.29392361111111","6.59392361111111","12753"
"","PC(8:0_20:0)+Na",0,0,0,0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(8:0_20:0)+Na",0,0,0,0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(8:0_20:0)+Na",0,0,0,0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(8:0_20:0)+Na",0,0,0,0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(8:0_20:0)+Na",0,0,0,0,0,0,0,0,0,"4.70208611111111","5.00208611111111","6138","","PC(8:0_20:0)+Na","700.48878","517.42274","641.415281","495.4408","497.300251","329.112451","556.37375","388.18595","146.98179","4.70208611111111","5.00208611111111","6138"
"","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(8:0_21:0)+Na","714.50448","531.43844","655.430981","509.4565","511.315951","329.112451","570.38945","388.18595","146.98179","5.54374861111111","5.84374861111111","6823"
"","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(8:0_21:0)+Na","714.50448","531.43844","655.430981","509.4565","511.315951","329.112451","570.38945","388.18595","146.98179","11.6431458333333","11.9431458333333","8174"
"","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(8:0_21:0)+Na","714.50448","531.43844","655.430981","509.4565","511.315951","329.112451","570.38945","388.18595","146.98179","5.81705138888889","6.11705138888889","9458"
"","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(8:0_21:0)+Na",0,0,0,0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(8:0_21:0)+Na","714.50448","531.43844","655.430981","509.4565","511.315951","329.112451","570.38945","388.18595","146.98179","6.02467083333333","6.32467083333333","19066"
"","PC(8:0_22:0)+Na",0,0,0,0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PC(8:0_22:0)+Na",0,0,0,0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PC(8:0_22:0)+Na",0,0,0,0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PC(8:0_22:0)+Na",0,0,0,0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PC(8:0_22:0)+Na",0,0,0,0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PC(8:0_22:0)+Na","728.52008","545.45404","669.446581","523.4721","525.331551","329.112451","584.40505","388.18595","146.98179","6.03330138888889","6.33330138888889","1803"
