"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","[M-H20]+","[M-(C3H9N-CHCOOH-CH2)]+","[M-(C3H9N-CHCOOH)]+","SN1 acyl loss","SN2 acyl loss","M-H2O SN1 loss","M-H2O SN2 loss","C10H21NO5H (236.14)","C3H9N-CHCOOH-CH2-CH (144.1)","C3H9N+ (59)","RT_min","RT_max","Comment"
"","DGTS(8:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(8:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(8:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(8:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(8:0_24:0)+H",0,0,0,0,0,0,0,0,0,0,0,"10.1339347222222","10.4339347222222","9816","","DGTS(8:0_24:0)+H","712.60857","694.59801","581.51395","595.5296","586.50417","362.25377","568.49361","344.24321","236.1492402","144.1018984","59.0729454","10.1339347222222","10.4339347222222","9816"
"","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"9.34955972222222","9.64955972222222","6081","","DGTS(8:0_24:1)+H","710.59297","692.58241","579.49835","593.514","584.48857","362.25377","566.47801","344.24321","236.1492402","144.1018984","59.0729454","9.34955972222222","9.64955972222222","6081"
"","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"7.72748888888889","8.02748888888889","18747","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"7.72748888888889","8.02748888888889","18747","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"7.72748888888889","8.02748888888889","18747","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"7.72748888888889","8.02748888888889","18747","","DGTS(8:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,0,"7.72748888888889","8.02748888888889","18747","","DGTS(8:0_24:1)+H","710.59297","692.58241","579.49835","593.514","584.48857","362.25377","566.47801","344.24321","236.1492402","144.1018984","59.0729454","7.72748888888889","8.02748888888889","18747"
"","DGTS(8:0_26:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(8:0_26:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(8:0_26:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(8:0_26:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(8:0_26:0)+H",0,0,0,0,0,0,0,0,0,0,0,"9.79999027777778","10.0999902777778","6103","","DGTS(8:0_26:0)+H","740.63987","722.62931","609.54525","623.5609","614.53547","362.25377","596.52491","344.24321","236.1492402","144.1018984","59.0729454","9.79999027777778","10.0999902777778","6103"
"","DGTS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(10:0_13:0)+H",0,0,0,0,0,0,0,0,0,0,0,"4.90239305555556","5.20239305555556","1884","","DGTS(10:0_13:0)+H","586.46777","568.45721","455.37315","469.3888","432.33207","390.28507","414.32151","372.27451","236.1492402","144.1018984","59.0729454","4.90239305555556","5.20239305555556","1884"
"","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"0.795279166666666","1.09527916666667","4716","","DGTS(10:0_14:1)+H","598.46777","580.45721","467.37315","481.3888","444.33207","390.28507","426.32151","372.27451","236.1492402","144.1018984","59.0729454","0.795279166666666","1.09527916666667","4716"
"","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(10:0_14:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.54611805555556","4.84611805555556","6403","","DGTS(10:0_14:1)+H","598.46777","580.45721","467.37315","481.3888","444.33207","390.28507","426.32151","372.27451","236.1492402","144.1018984","59.0729454","4.54611805555556","4.84611805555556","6403"
"","DGTS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(10:0_16:0)+H",0,0,0,0,0,0,0,0,0,0,0,"1.78905138888889","2.08905138888889","7554","","DGTS(10:0_16:0)+H","628.51467","610.50411","497.42005","511.4357","474.37897","390.28507","456.36841","372.27451","236.1492402","144.1018984","59.0729454","1.78905138888889","2.08905138888889","7554"
"","DGTS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(10:0_16:1)+H",0,0,0,0,0,0,0,0,0,0,0,"3.98269166666667","4.28269166666667","7545","","DGTS(10:0_16:1)+H","626.49907","608.48851","495.40445","509.4201","472.36337","390.28507","454.35281","372.27451","236.1492402","144.1018984","59.0729454","3.98269166666667","4.28269166666667","7545"
"","DGTS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(10:0_18:1)+H",0,0,0,0,0,0,0,0,0,0,0,"4.99630454545455","5.29630454545455","6672","","DGTS(10:0_18:1)+H","654.53037","636.51981","523.43575","537.4514","500.39467","390.28507","482.38411","372.27451","236.1492402","144.1018984","59.0729454","4.99630454545455","5.29630454545455","6672"
