"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment"
"","PG(8:0_20:2)+NH4",1,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PG(8:0_20:2)+NH4",4.028213,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PG(8:0_20:2)+NH4",1,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PG(8:0_20:2)+NH4",3461.459,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PG(8:0_20:2)+NH4",680.4498,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","264","","PG(8:0_20:2)+NH4","680.44976","491.409527","519.308186","355.151686","127.11175","291.26825","201.14853","365.30503","3.85204848484848","4.15204848484848","264"
"","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.899375","5.199375","2098","","PG(8:0_20:2)+NH4","680.44976","491.409527","519.308186","355.151686","127.11175","291.26825","201.14853","365.30503","4.899375","5.199375","2098"
"","PG(8:0_20:2)+NH4",1,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PG(8:0_20:2)+NH4",4.028213,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PG(8:0_20:2)+NH4",1,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PG(8:0_20:2)+NH4",3461.459,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PG(8:0_20:2)+NH4",680.4498,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12646","","PG(8:0_20:2)+NH4","680.44976","491.409527","519.308186","355.151686","127.11175","291.26825","201.14853","365.30503","3.85645138888889","4.15645138888889","12646"
"","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(8:0_20:2)+NH4",0,0,0,0,0,0,0,0,"4.91009027777778","5.21009027777778","12764","","PG(8:0_20:2)+NH4","680.44976","491.409527","519.308186","355.151686","127.11175","291.26825","201.14853","365.30503","4.91009027777778","5.21009027777778","12764"
"","PG(8:0_20:3)+NH4",0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(8:0_20:3)+NH4",0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(8:0_20:3)+NH4",0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(8:0_20:3)+NH4",0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(8:0_20:3)+NH4",0,0,0,0,0,0,0,0,"1.40908333333333","1.70908333333333","10447","","PG(8:0_20:3)+NH4","678.43416","489.393927","517.292586","355.151686","127.11175","289.25265","201.14853","363.28943","1.40908333333333","1.70908333333333","10447"
"","PG(8:0_20:4)+NH4",0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(8:0_20:4)+NH4",0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(8:0_20:4)+NH4",0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(8:0_20:4)+NH4",0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(8:0_20:4)+NH4",0,0,0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PG(8:0_20:4)+NH4","676.41846","487.378227","515.276886","355.151686","127.11175","287.23695","201.14853","361.27373","1.04389166666667","1.34389166666667","10733"
"","PG(8:0_21:0)+NH4",0,0,0,0,0,0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(8:0_21:0)+NH4",0,0,0,0,0,0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(8:0_21:0)+NH4",0,0,0,0,0,0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(8:0_21:0)+NH4",0,0,0,0,0,0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(8:0_21:0)+NH4",0,0,0,0,0,0,0,0,"4.48690972222222","4.78690972222222","4828","","PG(8:0_21:0)+NH4","698.49676","509.456527","537.355186","355.151686","127.11175","309.31525","201.14853","383.35203","4.48690972222222","4.78690972222222","4828"
"","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.09877222222222","4.39877222222222","2115","","PG(8:0_22:0)+NH4","712.51236","523.472127","551.370786","355.151686","127.11175","323.33085","201.14853","397.36763","4.09877222222222","4.39877222222222","2115"
"","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","4290","","PG(8:0_22:0)+NH4","712.51236","523.472127","551.370786","355.151686","127.11175","323.33085","201.14853","397.36763","3.20013888888889","3.50013888888889","4290"
"","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.9523","5.2523","5349","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.9523","5.2523","5349","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.9523","5.2523","5349","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.9523","5.2523","5349","","PG(8:0_22:0)+NH4",0,0,0,0,0,0,0,0,"4.9523","5.2523","5349","","PG(8:0_22:0)+NH4","712.51236","523.472127","551.370786","355.151686","127.11175","323.33085","201.14853","397.36763","4.9523","5.2523","5349"
