"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment","RT at Max Intensity","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment","Number of Scans","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment","Max Intensity","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment","Average m/z","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPE","[M+H]+","NL_head","NL_R1CO","R1CO+","head","RT_min","RT_max","Comment"
"","LPE(16:0)+H",0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPE(16:0)+H",0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPE(16:0)+H",0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPE(16:0)+H",0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPE(16:0)+H",0,0,0,0,0,"2.33812222222222","2.63812222222222","7854","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","2.33812222222222","2.63812222222222","7854"
"","LPE(16:0)+H",0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPE(16:0)+H",0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPE(16:0)+H",0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPE(16:0)+H",0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPE(16:0)+H",0,0,0,0,0,"9.00497222222222","9.30497222222222","8091","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","9.00497222222222","9.30497222222222","8091"
"","LPE(16:0)+H",0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPE(16:0)+H",0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPE(16:0)+H",0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPE(16:0)+H",0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPE(16:0)+H",0,0,0,0,0,"9.73044393939394","10.0304439393939","8519","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","9.73044393939394","10.0304439393939","8519"
"","LPE(16:0)+H",0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPE(16:0)+H",0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPE(16:0)+H",0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPE(16:0)+H",0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPE(16:0)+H",0,0,0,0,0,"4.86370138888889","5.16370138888889","10312","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","4.86370138888889","5.16370138888889","10312"
"","LPE(16:0)+H",0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPE(16:0)+H",0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPE(16:0)+H",0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPE(16:0)+H",0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPE(16:0)+H",0,0,0,0,0,"9.23429027777778","9.53429027777778","11073","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","9.23429027777778","9.53429027777778","11073"
"","LPE(16:0)+H",0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPE(16:0)+H",0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPE(16:0)+H",0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPE(16:0)+H",0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPE(16:0)+H",0,0,0,0,0,"11.9661416666667","12.2661416666667","11207","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","11.9661416666667","12.2661416666667","11207"
"","LPE(16:0)+H",0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPE(16:0)+H",0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPE(16:0)+H",0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPE(16:0)+H",0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPE(16:0)+H",0,0,0,0,0,"10.0839513888889","10.3839513888889","13775","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","10.0839513888889","10.3839513888889","13775"
"","LPE(16:0)+H",0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPE(16:0)+H",0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPE(16:0)+H",0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPE(16:0)+H",0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPE(16:0)+H",0,0,0,0,0,"4.52249166666667","4.82249166666667","14128","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","4.52249166666667","4.82249166666667","14128"
"","LPE(16:0)+H",0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPE(16:0)+H",0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPE(16:0)+H",0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPE(16:0)+H",0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPE(16:0)+H",0,0,0,0,0,"4.98549861111111","5.28549861111111","17478","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","4.98549861111111","5.28549861111111","17478"
"","LPE(16:0)+H",0,0,0,0,0,"9.210475","9.510475","17594","","LPE(16:0)+H",0,0,0,0,0,"9.210475","9.510475","17594","","LPE(16:0)+H",0,0,0,0,0,"9.210475","9.510475","17594","","LPE(16:0)+H",0,0,0,0,0,"9.210475","9.510475","17594","","LPE(16:0)+H",0,0,0,0,0,"9.210475","9.510475","17594","","LPE(16:0)+H","454.292835","313.273725","216.06318","239.236955","142.02639","9.210475","9.510475","17594"
