"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","RT at Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Number of Scans","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Average m/z","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.92163194444444","9.22163194444444","15544","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.92163194444444","9.22163194444444","15544","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.92163194444444","9.22163194444444","15544","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.92163194444444","9.22163194444444","15544","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"8.92163194444444","9.22163194444444","15544","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","8.92163194444444","9.22163194444444","15544"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"14.6591727272727","14.9591727272727","15860","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"14.6591727272727","14.9591727272727","15860","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"14.6591727272727","14.9591727272727","15860","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"14.6591727272727","14.9591727272727","15860","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"14.6591727272727","14.9591727272727","15860","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","14.6591727272727","14.9591727272727","15860"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.1065","9.4065","18944","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.1065","9.4065","18944","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.1065","9.4065","18944","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.1065","9.4065","18944","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.1065","9.4065","18944","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","9.1065","9.4065","18944"
"","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.24575972222222","9.54575972222222","19116","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.24575972222222","9.54575972222222","19116","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.24575972222222","9.54575972222222","19116","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.24575972222222","9.54575972222222","19116","","CE(15:0)+NH4",0,0,0,0,0,0,0,0,0,"9.24575972222222","9.54575972222222","19116","","CE(15:0)+NH4","628.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","9.24575972222222","9.54575972222222","19116"
"","CE(16:0)+NH4",0,1,1,1,1,1,1,1,1,"14.2075652777778","14.5075652777778","416","","CE(16:0)+NH4",0,14.37966,14.37966,14.37966,14.37966,14.37966,14.37966,14.37966,14.37966,"14.2075652777778","14.5075652777778","416","","CE(16:0)+NH4",0,1,1,1,1,1,1,1,1,"14.2075652777778","14.5075652777778","416","","CE(16:0)+NH4",0,1974002,8414.311,43257.95,81023.08,70571.32,140084.7,126619,114556,"14.2075652777778","14.5075652777778","416","","CE(16:0)+NH4",0,369.352,313.2891,287.2736,243.211,175.1484,161.1327,147.117,135.117,"14.2075652777778","14.5075652777778","416","","CE(16:0)+NH4","642.618305","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","14.2075652777778","14.5075652777778","416"
"","CE(16:0)+NH4",0,0,0,0,0,0,0,0,0,"10.6787066666667","10.9787066666667","11057","","CE(16:0)+NH4",0,0,0,0,0,0,0,0,0,"10.6787066666667","10.9787066666667","11057","","CE(16:0)+NH4",0,0,0,0,0,0,0,0,0,"10.6787066666667","10.9787066666667","11057","","CE(16:0)+NH4",0,0,0,0,0,0,0,0,0,"10.6787066666667","10.9787066666667","11057","","CE(16:0)+NH4",0,0,0,0,0,0,0,0,0,"10.6787066666667","10.9787066666667","11057","","CE(16:0)+NH4","642.618305","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.6787066666667","10.9787066666667","11057"
"","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.4899486111111","13.7899486111111","9113","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.4899486111111","13.7899486111111","9113","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.4899486111111","13.7899486111111","9113","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.4899486111111","13.7899486111111","9113","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.4899486111111","13.7899486111111","9113","","CE(16:1)+NH4","640.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","13.4899486111111","13.7899486111111","9113"
"","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.652925","13.952925","13069","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.652925","13.952925","13069","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.652925","13.952925","13069","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.652925","13.952925","13069","","CE(16:1)+NH4",0,0,0,0,0,0,0,0,0,"13.652925","13.952925","13069","","CE(16:1)+NH4","640.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","13.652925","13.952925","13069"
"","CE(17:0)+NH4",0,0,0,0,0,0,0,0,0,"11.1267569444444","11.4267569444444","4823","","CE(17:0)+NH4",0,0,0,0,0,0,0,0,0,"11.1267569444444","11.4267569444444","4823","","CE(17:0)+NH4",0,0,0,0,0,0,0,0,0,"11.1267569444444","11.4267569444444","4823","","CE(17:0)+NH4",0,0,0,0,0,0,0,0,0,"11.1267569444444","11.4267569444444","4823","","CE(17:0)+NH4",0,0,0,0,0,0,0,0,0,"11.1267569444444","11.4267569444444","4823","","CE(17:0)+NH4","656.633955","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","11.1267569444444","11.4267569444444","4823"
"","CE(17:1)+NH4",0,0,0,0,0,0,0,0,0,"10.177696969697","10.477696969697","5659","","CE(17:1)+NH4",0,0,0,0,0,0,0,0,0,"10.177696969697","10.477696969697","5659","","CE(17:1)+NH4",0,0,0,0,0,0,0,0,0,"10.177696969697","10.477696969697","5659","","CE(17:1)+NH4",0,0,0,0,0,0,0,0,0,"10.177696969697","10.477696969697","5659","","CE(17:1)+NH4",0,0,0,0,0,0,0,0,0,"10.177696969697","10.477696969697","5659","","CE(17:1)+NH4","654.618305","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.177696969697","10.477696969697","5659"
