"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Number of Scans","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Max Intensity","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Average m/z","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment"
"","PG(10:0_18:0)+H",0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H",0,0,0,0,0,0,"0.212874242424242","0.512874242424242","9146","","PG(10:0_18:0)+H","667.45451","229.1798","341.305","71.0856","95.0855","123.1168","0.212874242424242","0.512874242424242","9146"
"","PG(10:0_18:0)+H",0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H",0,0,0,0,0,0,"4.91876833333333","5.21876833333333","17671","","PG(10:0_18:0)+H","667.45451","229.1798","341.305","71.0856","95.0855","123.1168","4.91876833333333","5.21876833333333","17671"
"","PG(10:0_20:3)+H",1,0,0,0,1,0,"4.09877222222222","4.39877222222222","1213","","PG(10:0_20:3)+H",4.295388,0,0,4.295388,4.295388,0,"4.09877222222222","4.39877222222222","1213","","PG(10:0_20:3)+H",1,0,0,1,1,0,"4.09877222222222","4.39877222222222","1213","","PG(10:0_20:3)+H",107991.6,0,0,577.8028,1969.553,0,"4.09877222222222","4.39877222222222","1213","","PG(10:0_20:3)+H",689.4374,0,0,71.08572,95.08572,0,"4.09877222222222","4.39877222222222","1213","","PG(10:0_20:3)+H","689.43891","229.1798","363.2894","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","1213"
"","PG(10:0_20:3)+H",1,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",5.146398,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",1,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",11788.24,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H",689.4396,0,0,0,0,0,"4.9153","5.2153","3576","","PG(10:0_20:3)+H","689.43891","229.1798","363.2894","71.0856","95.0855","123.1168","4.9153","5.2153","3576"
"","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.82195138888889","8.12195138888889","9101","","PG(10:0_24:0)+H","751.54841","229.1798","425.3989","71.0856","95.0855","123.1168","7.82195138888889","8.12195138888889","9101"
"","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H",0,0,0,0,0,0,"7.39776388888889","7.69776388888889","17810","","PG(10:0_24:0)+H","751.54841","229.1798","425.3989","71.0856","95.0855","123.1168","7.39776388888889","7.69776388888889","17810"
"","PG(10:0_24:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(10:0_24:1)+H","749.53281","229.1798","423.3833","71.0856","95.0855","123.1168","6.12882638888889","6.42882638888889","17858"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(10:0_25:0)+H","765.56411","229.1798","439.4146","71.0856","95.0855","123.1168","5.769355","6.069355","15222"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(10:0_25:0)+H","765.56411","229.1798","439.4146","71.0856","95.0855","123.1168","5.30083181818182","5.60083181818182","18052"
"","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(10:0_25:0)+H","765.56411","229.1798","439.4146","71.0856","95.0855","123.1168","5.0812375","5.3812375","18081"
