"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/16:0)+H",1,1,0,0,1,1,0,0,0,1,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H",8.125407,8.125407,0,0,8.125407,8.125407,0,0,0,8.125407,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H",1,1,0,0,1,1,0,0,0,1,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H",1267757,11510.74,0,0,24041.76,3197.214,0,0,0,10194120,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H",720.5903,537.5242,0,0,482.3609,464.3503,0,0,0,184.0733,"7.93372916666667","8.23372916666667","168","","Plasmanyl-PC(O-16:0/16:0)+H","720.5901576","537.5241176","480.3449926","421.2714926","482.3605776","464.3500176","496.33979","313.27373","239.2375","184.07332","7.93372916666667","8.23372916666667","168"
"","Plasmanyl-PC(O-16:0/16:1)+H",1,0,1,1,0,0,0,0,0,1,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H",7.872663,0,7.872663,7.872663,0,0,0,0,0,7.872663,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H",2,0,2,1,0,0,0,0,0,2,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H",740660.8,0,50734.58,5798.809,0,0,0,0,0,6397098,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H",718.57525,0,478.3295,419.256,0,0,0,0,0,184.07355,"7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:0/16:1)+H","718.5745576","535.5085176","478.3293926","419.2558926","482.3605776","464.3500176","494.32419","311.25813","237.2219","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmanyl-PC(O-16:0/16:1)+H",1,1,0,0,1,0,0,0,0,1,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H",7.144014,7.144014,0,0,7.144014,0,0,0,0,7.144014,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H",1,1,0,0,1,0,0,0,0,1,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H",178567.1,1051.531,0,0,2566.557,0,0,0,0,1337785,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H",718.576,535.5106,0,0,482.3618,0,0,0,0,184.0737,"6.86943888888889","7.16943888888889","699","","Plasmanyl-PC(O-16:0/16:1)+H","718.5745576","535.5085176","478.3293926","419.2558926","482.3605776","464.3500176","494.32419","311.25813","237.2219","184.07332","6.86943888888889","7.16943888888889","699"
"","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(O-16:0/17:0)+H","734.6058576","551.5398176","494.3606926","435.2871926","482.3605776","464.3500176","510.35549","327.28943","253.2532","184.07332","8.28353333333333","8.58353333333333","2123"
"","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(O-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(O-16:0/17:0)+H","734.6058576","551.5398176","494.3606926","435.2871926","482.3605776","464.3500176","510.35549","327.28943","253.2532","184.07332","8.48503888888889","8.78503888888889","2416"
"","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(O-16:0/17:1)+H","732.5901576","549.5241176","492.3449926","433.2714926","482.3605776","464.3500176","508.33979","325.27373","251.2375","184.07332","8.12406805555556","8.42406805555556","1753"
"","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(O-16:0/17:1)+H","732.5901576","549.5241176","492.3449926","433.2714926","482.3605776","464.3500176","508.33979","325.27373","251.2375","184.07332","9.3638375","9.6638375","11656"
"","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(O-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(O-16:0/17:1)+H","732.5901576","549.5241176","492.3449926","433.2714926","482.3605776","464.3500176","508.33979","325.27373","251.2375","184.07332","8.31044848484848","8.61044848484848","12846"
"","Plasmanyl-PC(O-16:0/17:2)+H",1,0,0,0,0,0,0,0,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(O-16:0/17:2)+H",9.37348,0,0,0,0,0,0,0,0,9.37348,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(O-16:0/17:2)+H",1,0,0,0,0,0,0,0,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(O-16:0/17:2)+H",7793.215,0,0,0,0,0,0,0,0,2778.627,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(O-16:0/17:2)+H",730.5742,0,0,0,0,0,0,0,0,184.0735,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(O-16:0/17:2)+H","730.5745576","547.5085176","490.3293926","431.2558926","482.3605776","464.3500176","506.32419","323.25813","249.2219","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmanyl-PC(O-16:0/17:2)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(O-16:0/17:2)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(O-16:0/17:2)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(O-16:0/17:2)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(O-16:0/17:2)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(O-16:0/17:2)+H","730.5745576","547.5085176","490.3293926","431.2558926","482.3605776","464.3500176","506.32419","323.25813","249.2219","184.07332","7.04608055555555","7.34608055555555","5546"
