"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","DGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(10:0_21:0)+NH4","896.63082","555.49832","537.48775","383.35208","229.18004","155.1431","309.31514","5.16965","5.46965","15016"
"","DGDG(10:0_22:1)+NH4",0,0,0,0,0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(10:0_22:1)+NH4",0,0,0,0,0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(10:0_22:1)+NH4",0,0,0,0,0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(10:0_22:1)+NH4",0,0,0,0,0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(10:0_22:1)+NH4",0,0,0,0,0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(10:0_22:1)+NH4","908.63082","567.49832","549.48775","395.35208","229.18004","155.1431","321.31514","10.3205424242424","10.6205424242424","3690"
"","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4",0,0,0,0,0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(10:0_22:4)+NH4","902.58392","561.45142","543.44085","389.30518","229.18006","155.1431","315.26822","7.91595694444445","8.21595694444445","14544"
"","DGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(10:0_26:0)+NH4","966.70912","625.57662","607.56605","453.43038","229.18014","155.1431","379.39334","12.4749909090909","12.7749909090909","11579"
"","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4",0,0,0,0,0,0,0,"1.03301111111111","1.33301111111111","12997","","DGDG(11:0_12:0)+NH4","784.50566","443.37316","425.36259","257.21128","243.19564","169.15874","183.17438","1.03301111111111","1.33301111111111","12997"
"","DGDG(11:0_14:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(11:0_14:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(11:0_14:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(11:0_14:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(11:0_14:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(11:0_14:0)+NH4","812.53697","471.40447","453.3939","285.24259","243.19567","169.15874","211.20566","1.86782083333333","2.16782083333333","11159"
"","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(11:0_15:0)+NH4","826.55262","485.42012","467.40955","299.25824","243.19568","169.15874","225.2213","1.55908055555556","1.85908055555556","18812"
"","DGDG(11:0_16:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(11:0_16:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(11:0_16:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(11:0_16:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(11:0_16:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(11:0_16:0)+NH4","840.56828","499.43578","481.42521","313.2739","243.1957","169.15874","239.23694","4.10132083333333","4.40132083333333","8692"
"","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(11:0_17:0)+NH4","854.58392","513.45142","495.44085","327.28954","243.1957","169.15874","253.25258","0.539469444444444","0.839469444444444","4759"
"","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(11:0_18:1)+NH4","866.58392","525.45142","507.44085","339.28954","243.1957","169.15874","265.25258","4.93215277777778","5.23215277777778","5542"
