"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","RT at Max Intensity","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Number of Scans","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Max Intensity","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Average m/z","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment"
"","GlcADG(10:0_26:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(10:0_26:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(10:0_26:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(10:0_26:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(10:0_26:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(10:0_26:0)+NH4","818.63574","625.5771","607.56654","453.43085","229.18061","7.26433611111111","7.56433611111111","15984"
"","GlcADG(10:0_26:1)+NH4",0,0,0,0,0,"6.54292777777778","6.84292777777778","3955","","GlcADG(10:0_26:1)+NH4",0,0,0,0,0,"6.54292777777778","6.84292777777778","3955","","GlcADG(10:0_26:1)+NH4",0,0,0,0,0,"6.54292777777778","6.84292777777778","3955","","GlcADG(10:0_26:1)+NH4",0,0,0,0,0,"6.54292777777778","6.84292777777778","3955","","GlcADG(10:0_26:1)+NH4",0,0,0,0,0,"6.54292777777778","6.84292777777778","3955","","GlcADG(10:0_26:1)+NH4","816.62009","623.56145","605.55089","451.4152","229.1806","6.54292777777778","6.84292777777778","3955"
"","GlcADG(11:0_14:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(11:0_14:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(11:0_14:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(11:0_14:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(11:0_14:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(11:0_14:0)+NH4","664.46359","471.40495","453.39439","285.24306","243.19614","0.46787","0.76787","15579"
"","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(11:0_15:0)+NH4","678.47924","485.4206","467.41004","299.25871","243.19615","0.578043055555556","0.878043055555556","1483"
"","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(11:0_15:0)+NH4","678.47924","485.4206","467.41004","299.25871","243.19615","15.1180833333333","15.4180833333333","8759"
"","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(11:0_15:0)+NH4","678.47924","485.4206","467.41004","299.25871","243.19615","8.17720416666667","8.47720416666667","13856"
"","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(11:0_15:0)+NH4","678.47924","485.4206","467.41004","299.25871","243.19615","15.1499930555556","15.4499930555556","15841"
"","GlcADG(11:0_15:0)+NH4",0,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(11:0_15:0)+NH4",15.7922,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(11:0_15:0)+NH4",1,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(11:0_15:0)+NH4",956.5961,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(11:0_15:0)+NH4",678.4808,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(11:0_15:0)+NH4","678.47924","485.4206","467.41004","299.25871","243.19615","15.5379930555556","15.8379930555556","15850"
"","GlcADG(11:0_24:1)+NH4",0,0,0,0,0,"5.75924583333333","6.05924583333333","6338","","GlcADG(11:0_24:1)+NH4",0,0,0,0,0,"5.75924583333333","6.05924583333333","6338","","GlcADG(11:0_24:1)+NH4",0,0,0,0,0,"5.75924583333333","6.05924583333333","6338","","GlcADG(11:0_24:1)+NH4",0,0,0,0,0,"5.75924583333333","6.05924583333333","6338","","GlcADG(11:0_24:1)+NH4",0,0,0,0,0,"5.75924583333333","6.05924583333333","6338","","GlcADG(11:0_24:1)+NH4","802.60444","609.5458","591.53524","423.38391","243.19623","5.75924583333333","6.05924583333333","6338"
"","GlcADG(11:0_25:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(11:0_25:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(11:0_25:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(11:0_25:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(11:0_25:0)+NH4",0,0,0,0,0,"7.26433611111111","7.56433611111111","15984","","GlcADG(11:0_25:0)+NH4","818.63574","625.5771","607.56654","439.41521","243.19625","7.26433611111111","7.56433611111111","15984"
