"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"9.31048194444444","9.61048194444444","13574","","Plasmanyl-PE(O-16:0/18:0)+H","706.57455","565.55544","299.29449","267.26825","341.30503","142.02639","9.31048194444444","9.61048194444444","13574"
"","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PE(O-16:0/18:0)+H",0,0,0,0,0,0,"7.13543472222222","7.43543472222222","15338","","Plasmanyl-PE(O-16:0/18:0)+H","706.57455","565.55544","299.29449","267.26825","341.30503","142.02639","7.13543472222222","7.43543472222222","15338"
"","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"8.29211805555556","8.59211805555556","2770","","Plasmanyl-PE(O-16:0/18:1)+H","704.55895","563.53984","299.29449","265.25265","339.28943","142.02639","8.29211805555556","8.59211805555556","2770"
"","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"7.151225","7.451225","11381","","Plasmanyl-PE(O-16:0/18:1)+H","704.55895","563.53984","299.29449","265.25265","339.28943","142.02639","7.151225","7.451225","11381"
"","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PE(O-16:0/18:1)+H",0,0,0,0,0,0,"9.22618571428571","9.52618571428571","14373","","Plasmanyl-PE(O-16:0/18:1)+H","704.55895","563.53984","299.29449","265.25265","339.28943","142.02639","9.22618571428571","9.52618571428571","14373"
"","Plasmanyl-PE(O-16:0/18:2)+H",1,1,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PE(O-16:0/18:2)+H",8.352914,8.352914,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PE(O-16:0/18:2)+H",1,1,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PE(O-16:0/18:2)+H",6032.236,15565.86,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PE(O-16:0/18:2)+H",702.5429,561.5247,0,0,0,0,"8.13996527777778","8.43996527777778","1023","","Plasmanyl-PE(O-16:0/18:2)+H","702.54325","561.52414","299.29449","263.23695","337.27373","142.02639","8.13996527777778","8.43996527777778","1023"
"","Plasmanyl-PE(O-16:0/18:2)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PE(O-16:0/18:2)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PE(O-16:0/18:2)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PE(O-16:0/18:2)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PE(O-16:0/18:2)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmanyl-PE(O-16:0/18:2)+H","702.54325","561.52414","299.29449","263.23695","337.27373","142.02639","7.41902083333333","7.71902083333333","15955"
"","Plasmanyl-PE(O-16:0/18:3)+H",1,1,0,1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmanyl-PE(O-16:0/18:3)+H",7.404381,7.404381,0,7.404381,0,0,"7.21744861111111","7.51744861111111","574","","Plasmanyl-PE(O-16:0/18:3)+H",1,1,0,1,0,0,"7.21744861111111","7.51744861111111","574","","Plasmanyl-PE(O-16:0/18:3)+H",16014.32,81078,0,4851.958,0,0,"7.21744861111111","7.51744861111111","574","","Plasmanyl-PE(O-16:0/18:3)+H",700.5283,559.5092,0,261.2213,0,0,"7.21744861111111","7.51744861111111","574","","Plasmanyl-PE(O-16:0/18:3)+H","700.52765","559.50854","299.29449","261.22135","335.25813","142.02639","7.21744861111111","7.51744861111111","574"
"","Plasmanyl-PE(O-16:0/18:3)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmanyl-PE(O-16:0/18:3)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmanyl-PE(O-16:0/18:3)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmanyl-PE(O-16:0/18:3)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmanyl-PE(O-16:0/18:3)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmanyl-PE(O-16:0/18:3)+H","700.52765","559.50854","299.29449","261.22135","335.25813","142.02639","12.1304388888889","12.4304388888889","11033"
"","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmanyl-PE(O-16:0/18:4)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmanyl-PE(O-16:0/18:4)+H","698.51195","557.49284","299.29449","259.20565","333.24243","142.02639","12.2112083333333","12.5112083333333","6047"
