"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","RT at Max Intensity","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Number of Scans","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Max Intensity","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Average m/z","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Sulfatide","[M+H]+","So(dFA)+H-2H2O","So(dFA)+H-H2O","So(dFA)+H-H2O-CH2O","NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]","NL[H2SO4]","Amide(FA)+H","RT_min","RT_max","Comment"
"","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.5220625","5.8220625","5412","","Sulfatide(d14:1_24:0)+H","836.5916033","208.20585","226.21642","196.20585","558.5607833","576.5713533","560.5764333","546.5607833","738.6242033","368.3886633","5.5220625","5.8220625","5412"
"","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.71263611111111","6.01263611111111","15223","","Sulfatide(d14:1_24:0)+H","836.5916033","208.20585","226.21642","196.20585","558.5607833","576.5713533","560.5764333","546.5607833","738.6242033","368.3886633","5.71263611111111","6.01263611111111","15223"
"","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.8500625","6.1500625","2591","","Sulfatide(d14:1_26:0)+H","864.6229034","208.20585","226.21642","196.20585","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","396.4199634","5.8500625","6.1500625","2591"
"","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.29032916666667","5.59032916666667","3468","","Sulfatide(d14:1_26:0)+H","864.6229034","208.20585","226.21642","196.20585","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","396.4199634","5.29032916666667","5.59032916666667","3468"
"","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:1_26:0)+H",0,0,0,0,0,0,0,0,0,0,"5.63189545454546","5.93189545454546","10743","","Sulfatide(d14:1_26:0)+H","864.6229034","208.20585","226.21642","196.20585","586.5920834","604.6026534","588.6077334","574.5920834","766.6555034","396.4199634","5.63189545454546","5.93189545454546","10743"
"","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:0_24:1)+H","850.6072533","224.23713","242.2477","212.23713","572.5764333","590.5870033","574.5920833","560.5764333","752.6398533","366.3730333","5.84678611111111","6.14678611111111","3421"
"","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:0_24:1)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:0_24:1)+H","850.6072533","224.23713","242.2477","212.23713","572.5764333","590.5870033","574.5920833","560.5764333","752.6398533","366.3730333","5.30077083333333","5.60077083333333","9636"
"","Sulfatide(d15:1_2:0)+H",0,0,0,0,0,0,0,0,0,0,"0.93345277777778","1.23345277777778","11999","","Sulfatide(d15:1_2:0)+H",0,0,0,0,0,0,0,0,0,0,"0.93345277777778","1.23345277777778","11999","","Sulfatide(d15:1_2:0)+H",0,0,0,0,0,0,0,0,0,0,"0.93345277777778","1.23345277777778","11999","","Sulfatide(d15:1_2:0)+H",0,0,0,0,0,0,0,0,0,0,"0.93345277777778","1.23345277777778","11999","","Sulfatide(d15:1_2:0)+H",0,0,0,0,0,0,0,0,0,0,"0.93345277777778","1.23345277777778","11999","","Sulfatide(d15:1_2:0)+H","542.2629519","222.22149","240.23206","210.22149","264.2321319","282.2427019","266.2477819","252.2321319","444.2955519","60.04437191","0.93345277777778","1.23345277777778","11999"
"","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.84678611111111","6.14678611111111","3421","","Sulfatide(d15:1_24:0)+H","850.6072533","222.22149","240.23206","210.22149","572.5764333","590.5870033","574.5920833","560.5764333","752.6398533","368.3886733","5.84678611111111","6.14678611111111","3421"
"","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:1_24:0)+H",0,0,0,0,0,0,0,0,0,0,"5.30077083333333","5.60077083333333","9636","","Sulfatide(d15:1_24:0)+H","850.6072533","222.22149","240.23206","210.22149","572.5764333","590.5870033","574.5920833","560.5764333","752.6398533","368.3886733","5.30077083333333","5.60077083333333","9636"
