"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PE","[M+H]+","NL_head","NL_T2RCO","T2_RCO+","T2RCOO+58","head","RT_min","RT_max","Comment"
"","Plasmenyl-PE(P-16:0/18:1)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(P-16:0/18:1)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(P-16:0/18:1)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(P-16:0/18:1)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(P-16:0/18:1)+H",0,0,0,0,0,0,"7.41902083333333","7.71902083333333","15955","","Plasmenyl-PE(P-16:0/18:1)+H","702.54326","561.52415","297.2788","265.25265","339.28943","142.02639","7.41902083333333","7.71902083333333","15955"
"","Plasmenyl-PE(P-16:0/18:2)+H",1,1,0,1,1,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(P-16:0/18:2)+H",7.404381,7.404381,0,7.404381,7.404381,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(P-16:0/18:2)+H",1,1,0,1,1,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(P-16:0/18:2)+H",16014.32,81078,0,22672.62,1033969,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(P-16:0/18:2)+H",700.5283,559.5092,0,263.2372,337.2738,0,"7.21744861111111","7.51744861111111","574","","Plasmenyl-PE(P-16:0/18:2)+H","700.52756","559.50845","297.2788","263.23695","337.27373","142.02639","7.21744861111111","7.51744861111111","574"
"","Plasmenyl-PE(P-16:0/18:2)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(P-16:0/18:2)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(P-16:0/18:2)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(P-16:0/18:2)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(P-16:0/18:2)+H",0,0,0,0,0,0,"12.1304388888889","12.4304388888889","11033","","Plasmenyl-PE(P-16:0/18:2)+H","700.52756","559.50845","297.2788","263.23695","337.27373","142.02639","12.1304388888889","12.4304388888889","11033"
"","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"12.2112083333333","12.5112083333333","6047","","Plasmenyl-PE(P-16:0/18:3)+H","698.51196","557.49285","297.2788","261.22135","335.25813","142.02639","12.2112083333333","12.5112083333333","6047"
"","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(P-16:0/18:3)+H",0,0,0,0,0,0,"11.5428636363636","11.8428636363636","13801","","Plasmenyl-PE(P-16:0/18:3)+H","698.51196","557.49285","297.2788","261.22135","335.25813","142.02639","11.5428636363636","11.8428636363636","13801"
"","Plasmenyl-PE(P-16:0/19:0)+H",1,0,0,0,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(P-16:0/19:0)+H",7.872663,0,0,0,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(P-16:0/19:0)+H",2,0,0,0,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(P-16:0/19:0)+H",740660.8,0,0,0,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(P-16:0/19:0)+H",718.57525,0,0,0,0,0,"7.75862638888889","8.05862638888889","197","","Plasmenyl-PE(P-16:0/19:0)+H","718.57456","577.55545","297.2788","281.28395","355.32073","142.02639","7.75862638888889","8.05862638888889","197"
"","Plasmenyl-PE(P-16:0/19:0)+H",1,0,0,0,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(P-16:0/19:0)+H",7.144014,0,0,0,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(P-16:0/19:0)+H",1,0,0,0,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(P-16:0/19:0)+H",178567.1,0,0,0,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(P-16:0/19:0)+H",718.576,0,0,0,0,0,"6.86943888888889","7.16943888888889","699","","Plasmenyl-PE(P-16:0/19:0)+H","718.57456","577.55545","297.2788","281.28395","355.32073","142.02639","6.86943888888889","7.16943888888889","699"
"","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PE(P-16:0/20:0)+H","732.59016","591.57105","297.2788","295.29955","369.33633","142.02639","8.12406805555556","8.42406805555556","1753"
"","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PE(P-16:0/20:0)+H","732.59016","591.57105","297.2788","295.29955","369.33633","142.02639","9.3638375","9.6638375","11656"
"","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(P-16:0/20:0)+H",0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PE(P-16:0/20:0)+H","732.59016","591.57105","297.2788","295.29955","369.33633","142.02639","8.31044848484848","8.61044848484848","12846"
