"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Number of Scans","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Max Intensity","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Average m/z","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","AcCa","[M+H]+","NL_N(CH3)3","NL_RCOOH","RCO","NL_FA&N(CH3)3","RT_min","RT_max","Comment"
"","AcCa(5:1)+H",0,0,0,0,0,"0.1849375","0.4849375","2078","","AcCa(5:1)+H",0,0,0,0,0,"0.1849375","0.4849375","2078","","AcCa(5:1)+H",0,0,0,0,0,"0.1849375","0.4849375","2078","","AcCa(5:1)+H",0,0,0,0,0,"0.1849375","0.4849375","2078","","AcCa(5:1)+H",0,0,0,0,0,"0.1849375","0.4849375","2078","","AcCa(5:1)+H","244.15436","185.08086","144.10191","83.04918","85.0284","0.1849375","0.4849375","2078"
"","AcCa(5:1)+H",0,0,0,0,0,"0.354579166666667","0.654579166666667","5566","","AcCa(5:1)+H",0,0,0,0,0,"0.354579166666667","0.654579166666667","5566","","AcCa(5:1)+H",0,0,0,0,0,"0.354579166666667","0.654579166666667","5566","","AcCa(5:1)+H",0,0,0,0,0,"0.354579166666667","0.654579166666667","5566","","AcCa(5:1)+H",0,0,0,0,0,"0.354579166666667","0.654579166666667","5566","","AcCa(5:1)+H","244.15436","185.08086","144.10191","83.04918","85.0284","0.354579166666667","0.654579166666667","5566"
"","AcCa(5:0)+H",0,0,0,0,0,"0.184875","0.484875","5166","","AcCa(5:0)+H",0,0,0,0,0,"0.184875","0.484875","5166","","AcCa(5:0)+H",0,0,0,0,0,"0.184875","0.484875","5166","","AcCa(5:0)+H",0,0,0,0,0,"0.184875","0.484875","5166","","AcCa(5:0)+H",0,0,0,0,0,"0.184875","0.484875","5166","","AcCa(5:0)+H","246.17001","187.09651","144.10191","85.06484","85.0284","0.184875","0.484875","5166"
"","AcCa(6:0)+H",0,0,0,0,0,"0.196407575757576","0.496407575757576","4229","","AcCa(6:0)+H",0,0,0,0,0,"0.196407575757576","0.496407575757576","4229","","AcCa(6:0)+H",0,0,0,0,0,"0.196407575757576","0.496407575757576","4229","","AcCa(6:0)+H",0,0,0,0,0,"0.196407575757576","0.496407575757576","4229","","AcCa(6:0)+H",0,0,0,0,0,"0.196407575757576","0.496407575757576","4229","","AcCa(6:0)+H","260.18566","201.11216","144.10191","99.0805","85.0284","0.196407575757576","0.496407575757576","4229"
"","AcCa(7:0)+H",0,0,0,0,0,"0.194490277777778","0.494490277777778","18925","","AcCa(7:0)+H",0,0,0,0,0,"0.194490277777778","0.494490277777778","18925","","AcCa(7:0)+H",0,0,0,0,0,"0.194490277777778","0.494490277777778","18925","","AcCa(7:0)+H",0,0,0,0,0,"0.194490277777778","0.494490277777778","18925","","AcCa(7:0)+H",0,0,0,0,0,"0.194490277777778","0.494490277777778","18925","","AcCa(7:0)+H","274.20131","215.12781","144.10191","113.09616","85.0284","0.194490277777778","0.494490277777778","18925"
"","AcCa(8:1)+H",1,1,0,0,1,"0.173027777777778","0.473027777777778","9156","","AcCa(8:1)+H",0.4511071,0.4511071,0,0.4511071,0.4511071,"0.173027777777778","0.473027777777778","9156","","AcCa(8:1)+H",1,1,0,1,1,"0.173027777777778","0.473027777777778","9156","","AcCa(8:1)+H",18916.95,2281.973,0,779.9995,4264.699,"0.173027777777778","0.473027777777778","9156","","AcCa(8:1)+H",286.2011,227.128,0,125.0963,85.02856,"0.173027777777778","0.473027777777778","9156","","AcCa(8:1)+H","286.20131","227.12781","144.10191","125.09616","85.0284","0.173027777777778","0.473027777777778","9156"
"","AcCa(8:1)+H",1,1,0,0,1,"0.423125925925926","0.723125925925926","9705","","AcCa(8:1)+H",0.4511071,0.4511071,0,0.4511071,0.4511071,"0.423125925925926","0.723125925925926","9705","","AcCa(8:1)+H",1,1,0,1,1,"0.423125925925926","0.723125925925926","9705","","AcCa(8:1)+H",18916.95,2281.973,0,779.9995,4264.699,"0.423125925925926","0.723125925925926","9705","","AcCa(8:1)+H",286.2011,227.128,0,125.0963,85.02856,"0.423125925925926","0.723125925925926","9705","","AcCa(8:1)+H","286.20131","227.12781","144.10191","125.09616","85.0284","0.423125925925926","0.723125925925926","9705"
"","AcCa(8:1-OH)+H",0,0,0,0,0,"0.194495833333333","0.494495833333333","4404","","AcCa(8:1-OH)+H",0,0,0,0,0,"0.194495833333333","0.494495833333333","4404","","AcCa(8:1-OH)+H",0,0,0,0,0,"0.194495833333333","0.494495833333333","4404","","AcCa(8:1-OH)+H",0,0,0,0,0,"0.194495833333333","0.494495833333333","4404","","AcCa(8:1-OH)+H",0,0,0,0,0,"0.194495833333333","0.494495833333333","4404","","AcCa(8:1-OH)+H","302.19623","243.12273","144.10191","141.09108","85.0284","0.194495833333333","0.494495833333333","4404"
"","AcCa(10:3)+H",0,0,0,0,0,"0.176908333333333","0.476908333333333","2013","","AcCa(10:3)+H",0,0,0,0,0,"0.176908333333333","0.476908333333333","2013","","AcCa(10:3)+H",0,0,0,0,0,"0.176908333333333","0.476908333333333","2013","","AcCa(10:3)+H",0,0,0,0,0,"0.176908333333333","0.476908333333333","2013","","AcCa(10:3)+H",0,0,0,0,0,"0.176908333333333","0.476908333333333","2013","","AcCa(10:3)+H","310.20131","251.12781","144.10191","149.09616","85.0284","0.176908333333333","0.476908333333333","2013"
"","AcCa(10:3)+H",0,0,0,0,0,"0.347269444444444","0.647269444444444","16277","","AcCa(10:3)+H",0,0,0,0,0,"0.347269444444444","0.647269444444444","16277","","AcCa(10:3)+H",0,0,0,0,0,"0.347269444444444","0.647269444444444","16277","","AcCa(10:3)+H",0,0,0,0,0,"0.347269444444444","0.647269444444444","16277","","AcCa(10:3)+H",0,0,0,0,0,"0.347269444444444","0.647269444444444","16277","","AcCa(10:3)+H","310.20131","251.12781","144.10191","149.09616","85.0284","0.347269444444444","0.647269444444444","16277"
