"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PA","[M+H]+","NL_head","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PA(10:0_19:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(10:0_19:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(10:0_19:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(10:0_19:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(10:0_19:0)+H",0,0,0,0,0,0,"2.39325","2.69325","8335","","PA(10:0_19:0)+H","607.4334","509.45649","355.32074","229.17984","155.14305","281.28395","2.39325","2.69325","8335"
"","PA(10:0_20:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(10:0_20:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(10:0_20:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(10:0_20:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(10:0_20:3)+H",0,0,0,0,0,0,"4.90855909090909","5.20855909090909","6945","","PA(10:0_20:3)+H","615.4021","517.42519","363.28944","229.17984","155.14305","289.25265","4.90855909090909","5.20855909090909","6945"
"","PA(10:0_20:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(10:0_20:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(10:0_20:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(10:0_20:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(10:0_20:5)+H",0,0,0,0,0,0,"0.356601388888889","0.656601388888889","2764","","PA(10:0_20:5)+H","611.3708","513.39389","359.25814","229.17984","155.14305","285.22135","0.356601388888889","0.656601388888889","2764"
"","PA(10:0_22:6)+H",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","14058","","PA(10:0_22:6)+H",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","14058","","PA(10:0_22:6)+H",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","14058","","PA(10:0_22:6)+H",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","14058","","PA(10:0_22:6)+H",0,0,0,0,0,0,"0.439566666666667","0.739566666666667","14058","","PA(10:0_22:6)+H","637.3864","539.40949","385.27374","229.17984","155.14305","311.23695","0.439566666666667","0.739566666666667","14058"
"","PA(10:0_24:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(10:0_24:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(10:0_24:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(10:0_24:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(10:0_24:0)+H",0,0,0,0,0,0,"10.1530888888889","10.4530888888889","6085","","PA(10:0_24:0)+H","677.5116","579.53469","425.39894","229.17984","155.14305","351.36215","10.1530888888889","10.4530888888889","6085"
"","PA(10:0_24:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(10:0_24:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(10:0_24:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(10:0_24:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(10:0_24:0)+H",0,0,0,0,0,0,"2.40720151515152","2.70720151515152","11217","","PA(10:0_24:0)+H","677.5116","579.53469","425.39894","229.17984","155.14305","351.36215","2.40720151515152","2.70720151515152","11217"
"","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.74575","9.04575","10989","","PA(10:0_25:0)+H","691.5273","593.55039","439.41464","229.17984","155.14305","365.37785","8.74575","9.04575","10989"
"","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(10:0_25:0)+H",0,0,0,0,0,0,"8.1107875","8.4107875","15207","","PA(10:0_25:0)+H","691.5273","593.55039","439.41464","229.17984","155.14305","365.37785","8.1107875","8.4107875","15207"
"","PA(10:0_26:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(10:0_26:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(10:0_26:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(10:0_26:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(10:0_26:0)+H",0,0,0,0,0,0,"11.0434472222222","11.3434472222222","6077","","PA(10:0_26:0)+H","705.5429","607.56599","453.43024","229.17984","155.14305","379.39345","11.0434472222222","11.3434472222222","6077"
"","PA(12:0_14:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(12:0_14:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(12:0_14:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(12:0_14:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(12:0_14:0)+H",0,0,0,0,0,0,"1.82040416666667","2.12040416666667","18712","","PA(12:0_14:0)+H","565.3864","467.40949","285.24244","257.21114","183.17435","211.20565","1.82040416666667","2.12040416666667","18712"
