"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4-CO]+","M-sn1","M-sn2","sn1","sn2","M-sn1-C6H12O6","M-sn2-C6H12O6","RT_min","RT_max","Comment"
"","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.386840277777778","0.686840277777778","1298","","MGDG(2:0_20:2)+NH4-CO","576.4106","516.38948","268.13924","59.01275","307.26299","336.32609","88.07585","0.386840277777778","0.686840277777778","1298"
"","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"1.66200555555556","1.96200555555556","6766","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"1.66200555555556","1.96200555555556","6766","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"1.66200555555556","1.96200555555556","6766","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"1.66200555555556","1.96200555555556","6766","","MGDG(2:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"1.66200555555556","1.96200555555556","6766","","MGDG(2:0_20:2)+NH4-CO","576.4106","516.38948","268.13924","59.01275","307.26299","336.32609","88.07585","1.66200555555556","1.96200555555556","6766"
"","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO",0,0,0,0,0,0,0,"0.421654166666667","0.721654166666667","10762","","MGDG(2:0_20:3)+NH4-CO","574.3949","514.37378","268.13918","59.01275","305.24735","334.31039","88.07579","0.421654166666667","0.721654166666667","10762"
"","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.454356944444444","0.754356944444444","4111","","MGDG(2:0_22:2)+NH4-CO","604.4419","544.42078","268.13926","59.01275","335.29427","364.35739","88.07587","0.454356944444444","0.754356944444444","4111"
"","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO",0,0,0,0,0,0,0,"0.6766875","0.9766875","13230","","MGDG(2:0_22:2)+NH4-CO","604.4419","544.42078","268.13926","59.01275","335.29427","364.35739","88.07587","0.6766875","0.9766875","13230"
"","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO",0,0,0,0,0,0,0,"0.2108","0.5108","11260","","MGDG(3:0_6:0)+NH4-CO","398.23845","324.20169","282.15477","73.02839","115.07531","144.1383","102.09138","0.2108","0.5108","11260"
"","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"8.95386111111111","9.25386111111111","15380","","MGDG(3:0_16:0)+NH4-CO","538.3949","464.35814","282.15482","73.02839","255.23171","284.29475","102.09143","8.95386111111111","9.25386111111111","15380"
"","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"11.7699569444444","12.0699569444444","15679","","MGDG(3:0_16:0)+NH4-CO","538.3949","464.35814","282.15482","73.02839","255.23171","284.29475","102.09143","11.7699569444444","12.0699569444444","15679"
"","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"17.0342575757576","17.3342575757576","17373","","MGDG(3:0_16:0)+NH4-CO","538.3949","464.35814","282.15482","73.02839","255.23171","284.29475","102.09143","17.0342575757576","17.3342575757576","17373"
"","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(3:0_16:0)+NH4-CO",0,0,0,0,0,0,0,"10.0112106060606","10.3112106060606","17433","","MGDG(3:0_16:0)+NH4-CO","538.3949","464.35814","282.15482","73.02839","255.23171","284.29475","102.09143","10.0112106060606","10.3112106060606","17433"
"","MGDG(3:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(3:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(3:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(3:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(3:0_17:0)+NH4-CO",0,0,0,0,0,0,0,"2.07656944444444","2.37656944444444","13011","","MGDG(3:0_17:0)+NH4-CO","552.4106","478.37384","282.15488","73.02839","269.24735","298.31045","102.09149","2.07656944444444","2.37656944444444","13011"
"","MGDG(3:0_17:2)+NH4-CO",0,0,0,0,0,0,0,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",0.516453,0,0,0,0,0,0.516453,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",1,0,0,0,0,0,1,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",776.1049,0,0,0,0,0,459.0466,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO",548.3806,0,0,0,0,0,102.091,"0.343763888888889","0.643763888888889","648","","MGDG(3:0_17:2)+NH4-CO","548.3793","474.34254","282.15486","73.02839","265.21607","294.27915","102.09147","0.343763888888889","0.643763888888889","648"
"","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO",0,0,0,0,0,0,0,"0.381147222222222","0.681147222222222","2411","","MGDG(3:0_18:2)+NH4-CO","562.3949","488.35814","282.15482","73.02839","279.23171","308.29475","102.09143","0.381147222222222","0.681147222222222","2411"
"","MGDG(3:0_19:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(3:0_19:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(3:0_19:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(3:0_19:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(3:0_19:0)+NH4-CO",0,0,0,0,0,0,0,"3.01885138888889","3.31885138888889","7209","","MGDG(3:0_19:0)+NH4-CO","580.4419","506.40514","282.1549","73.02839","297.27863","326.34175","102.09151","3.01885138888889","3.31885138888889","7209"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"0.612015277777778","0.912015277777778","1244","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","0.612015277777778","0.912015277777778","1244"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"4.13877777777778","4.43877777777778","7963","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"4.13877777777778","4.43877777777778","7963","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"4.13877777777778","4.43877777777778","7963","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"4.13877777777778","4.43877777777778","7963","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"4.13877777777778","4.43877777777778","7963","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","4.13877777777778","4.43877777777778","7963"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"15.3235791666667","15.6235791666667","8655","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","15.3235791666667","15.6235791666667","8655"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"14.9910458333333","15.2910458333333","12349","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","14.9910458333333","15.2910458333333","12349"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"12.6070472222222","12.9070472222222","12391","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","12.6070472222222","12.9070472222222","12391"
"","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"3.63250555555556","3.93250555555556","12468","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"3.63250555555556","3.93250555555556","12468","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"3.63250555555556","3.93250555555556","12468","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"3.63250555555556","3.93250555555556","12468","","MGDG(3:0_20:2)+NH4-CO",0,0,0,0,0,0,0,"3.63250555555556","3.93250555555556","12468","","MGDG(3:0_20:2)+NH4-CO","590.4262","516.38944","282.15484","73.02839","307.26299","336.32605","102.09145","3.63250555555556","3.93250555555556","12468"
