"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","LPE(19:0)+Na",1,0,0,0,0,"1.82039027777778","2.12039027777778","999","","LPE(19:0)+Na",1.989305,0,0,0,0,"1.82039027777778","2.12039027777778","999","","LPE(19:0)+Na",1,0,0,0,0,"1.82039027777778","2.12039027777778","999","","LPE(19:0)+Na",261399.9,0,0,0,0,"1.82039027777778","2.12039027777778","999","","LPE(19:0)+Na",518.3223,0,0,0,0,"1.82039027777778","2.12039027777778","999","","LPE(19:0)+Na","518.320625","475.278425","377.3015307","176.99139","164.00888","1.82039027777778","2.12039027777778","999"
"","LPE(19:0)+Na",1,0,0,0,0,"1.37974166666667","1.67974166666667","1222","","LPE(19:0)+Na",1.519948,0,0,0,0,"1.37974166666667","1.67974166666667","1222","","LPE(19:0)+Na",1,0,0,0,0,"1.37974166666667","1.67974166666667","1222","","LPE(19:0)+Na",255034.3,0,0,0,0,"1.37974166666667","1.67974166666667","1222","","LPE(19:0)+Na",518.3223,0,0,0,0,"1.37974166666667","1.67974166666667","1222","","LPE(19:0)+Na","518.320625","475.278425","377.3015307","176.99139","164.00888","1.37974166666667","1.67974166666667","1222"
"","LPE(20:0)+Na",1,0,0,0,0,"1.02527361111111","1.32527361111111","262","","LPE(20:0)+Na",1.161676,0,0,0,0,"1.02527361111111","1.32527361111111","262","","LPE(20:0)+Na",2,0,0,0,0,"1.02527361111111","1.32527361111111","262","","LPE(20:0)+Na",1581454,0,0,0,0,"1.02527361111111","1.32527361111111","262","","LPE(20:0)+Na",532.3384,0,0,0,0,"1.02527361111111","1.32527361111111","262","","LPE(20:0)+Na","532.336275","489.294075","391.3171807","176.99139","164.00888","1.02527361111111","1.32527361111111","262"
"","LPE(20:0)+Na",0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPE(20:0)+Na",0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPE(20:0)+Na",0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPE(20:0)+Na",0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPE(20:0)+Na",0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPE(20:0)+Na","532.336275","489.294075","391.3171807","176.99139","164.00888","1.37455694444444","1.67455694444444","1801"
"","LPE(20:0)+Na",0,0,0,0,0,"1.811375","2.111375","2099","","LPE(20:0)+Na",0,0,0,0,0,"1.811375","2.111375","2099","","LPE(20:0)+Na",0,0,0,0,0,"1.811375","2.111375","2099","","LPE(20:0)+Na",0,0,0,0,0,"1.811375","2.111375","2099","","LPE(20:0)+Na",0,0,0,0,0,"1.811375","2.111375","2099","","LPE(20:0)+Na","532.336275","489.294075","391.3171807","176.99139","164.00888","1.811375","2.111375","2099"
"","LPE(20:1)+Na",0,0,0,0,0,"0.8721","1.1721","18857","","LPE(20:1)+Na",0,0,0,0,0,"0.8721","1.1721","18857","","LPE(20:1)+Na",0,0,0,0,0,"0.8721","1.1721","18857","","LPE(20:1)+Na",0,0,0,0,0,"0.8721","1.1721","18857","","LPE(20:1)+Na",0,0,0,0,0,"0.8721","1.1721","18857","","LPE(20:1)+Na","530.320625","487.278425","389.3015307","176.99139","164.00888","0.8721","1.1721","18857"
"","LPE(20:2)+Na",0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPE(20:2)+Na",0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPE(20:2)+Na",0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPE(20:2)+Na",0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPE(20:2)+Na",0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPE(20:2)+Na","528.304975","485.262775","387.2858807","176.99139","164.00888","0.676859090909091","0.976859090909091","3515"
"","LPE(20:3)+Na",0,0,0,0,0,"0.528548611111111","0.828548611111111","1229","","LPE(20:3)+Na",0,0,0,0,0,"0.528548611111111","0.828548611111111","1229","","LPE(20:3)+Na",0,0,0,0,0,"0.528548611111111","0.828548611111111","1229","","LPE(20:3)+Na",0,0,0,0,0,"0.528548611111111","0.828548611111111","1229","","LPE(20:3)+Na",0,0,0,0,0,"0.528548611111111","0.828548611111111","1229","","LPE(20:3)+Na","526.289325","483.247125","385.2702307","176.99139","164.00888","0.528548611111111","0.828548611111111","1229"
"","LPE(21:0)+Na",1,0,0,1,0,"1.34317916666667","1.64317916666667","152","","LPE(21:0)+Na",1.499297,0,0,1.499297,0,"1.34317916666667","1.64317916666667","152","","LPE(21:0)+Na",2,0,0,1,0,"1.34317916666667","1.64317916666667","152","","LPE(21:0)+Na",3782465,0,0,7454.627,0,"1.34317916666667","1.64317916666667","152","","LPE(21:0)+Na",546.353,0,0,176.9922,0,"1.34317916666667","1.64317916666667","152","","LPE(21:0)+Na","546.351925","503.309725","405.3328307","176.99139","164.00888","1.34317916666667","1.64317916666667","152"
"","LPE(21:0)+Na",0,0,0,0,0,"0.679158333333333","0.979158333333333","157","","LPE(21:0)+Na",0,0,0,0,0,"0.679158333333333","0.979158333333333","157","","LPE(21:0)+Na",0,0,0,0,0,"0.679158333333333","0.979158333333333","157","","LPE(21:0)+Na",0,0,0,0,0,"0.679158333333333","0.979158333333333","157","","LPE(21:0)+Na",0,0,0,0,0,"0.679158333333333","0.979158333333333","157","","LPE(21:0)+Na","546.351925","503.309725","405.3328307","176.99139","164.00888","0.679158333333333","0.979158333333333","157"
"","LPE(21:0)+Na",1,0,0,0,0,"1.811375","2.111375","964","","LPE(21:0)+Na",1.972731,0,0,0,0,"1.811375","2.111375","964","","LPE(21:0)+Na",1,0,0,0,0,"1.811375","2.111375","964","","LPE(21:0)+Na",318816.4,0,0,0,0,"1.811375","2.111375","964","","LPE(21:0)+Na",546.3537,0,0,0,0,"1.811375","2.111375","964","","LPE(21:0)+Na","546.351925","503.309725","405.3328307","176.99139","164.00888","1.811375","2.111375","964"
"","LPE(21:0)+Na",1,0,0,0,0,"1.56645","1.86645","12773","","LPE(21:0)+Na",1.665449,0,0,0,0,"1.56645","1.86645","12773","","LPE(21:0)+Na",1,0,0,0,0,"1.56645","1.86645","12773","","LPE(21:0)+Na",132434.2,0,0,0,0,"1.56645","1.86645","12773","","LPE(21:0)+Na",546.3538,0,0,0,0,"1.56645","1.86645","12773","","LPE(21:0)+Na","546.351925","503.309725","405.3328307","176.99139","164.00888","1.56645","1.86645","12773"
"","LPE(22:0)+Na",1,0,0,0,0,"1.54914027777778","1.84914027777778","210","","LPE(22:0)+Na",1.721965,0,0,0,0,"1.54914027777778","1.84914027777778","210","","LPE(22:0)+Na",2,0,0,0,0,"1.54914027777778","1.84914027777778","210","","LPE(22:0)+Na",2098288,0,0,0,0,"1.54914027777778","1.84914027777778","210","","LPE(22:0)+Na",560.36945,0,0,0,0,"1.54914027777778","1.84914027777778","210","","LPE(22:0)+Na","560.367575","517.325375","419.3484807","176.99139","164.00888","1.54914027777778","1.84914027777778","210"
"","LPE(22:0)+Na",1,0,0,0,0,"1.79438611111111","2.09438611111111","523","","LPE(22:0)+Na",1.894526,0,0,0,0,"1.79438611111111","2.09438611111111","523","","LPE(22:0)+Na",2,0,0,0,0,"1.79438611111111","2.09438611111111","523","","LPE(22:0)+Na",638605.6,0,0,0,0,"1.79438611111111","2.09438611111111","523","","LPE(22:0)+Na",560.36945,0,0,0,0,"1.79438611111111","2.09438611111111","523","","LPE(22:0)+Na","560.367575","517.325375","419.3484807","176.99139","164.00888","1.79438611111111","2.09438611111111","523"
"","LPE(22:1)+Na",0,0,0,0,0,"1.09824583333333","1.39824583333333","10092","","LPE(22:1)+Na",0,0,0,0,0,"1.09824583333333","1.39824583333333","10092","","LPE(22:1)+Na",0,0,0,0,0,"1.09824583333333","1.39824583333333","10092","","LPE(22:1)+Na",0,0,0,0,0,"1.09824583333333","1.39824583333333","10092","","LPE(22:1)+Na",0,0,0,0,0,"1.09824583333333","1.39824583333333","10092","","LPE(22:1)+Na","558.351925","515.309725","417.3328307","176.99139","164.00888","1.09824583333333","1.39824583333333","10092"
"","LPE(23:0)+Na",1,0,0,0,0,"1.85846805555556","2.15846805555556","940","","LPE(23:0)+Na",2.034427,0,0,0,0,"1.85846805555556","2.15846805555556","940","","LPE(23:0)+Na",1,0,0,0,0,"1.85846805555556","2.15846805555556","940","","LPE(23:0)+Na",363972.3,0,0,0,0,"1.85846805555556","2.15846805555556","940","","LPE(23:0)+Na",574.385,0,0,0,0,"1.85846805555556","2.15846805555556","940","","LPE(23:0)+Na","574.383225","531.341025","433.3641307","176.99139","164.00888","1.85846805555556","2.15846805555556","940"
"","LPE(23:0)+Na",0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPE(23:0)+Na",0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPE(23:0)+Na",0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPE(23:0)+Na",0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPE(23:0)+Na",0,0,0,0,0,"1.06961805555556","1.36961805555556","5448","","LPE(23:0)+Na","574.383225","531.341025","433.3641307","176.99139","164.00888","1.06961805555556","1.36961805555556","5448"
"","LPE(25:0)+Na",0,0,0,0,0,"0.172931818181818","0.472931818181818","15926","","LPE(25:0)+Na",0,0,0,0,0,"0.172931818181818","0.472931818181818","15926","","LPE(25:0)+Na",0,0,0,0,0,"0.172931818181818","0.472931818181818","15926","","LPE(25:0)+Na",0,0,0,0,0,"0.172931818181818","0.472931818181818","15926","","LPE(25:0)+Na",0,0,0,0,0,"0.172931818181818","0.472931818181818","15926","","LPE(25:0)+Na","602.414525","559.372325","461.3954307","176.99139","164.00888","0.172931818181818","0.472931818181818","15926"
"","LPE(26:0)+Na",0,0,0,0,0,"0.1868","0.4868","15933","","LPE(26:0)+Na",0,0,0,0,0,"0.1868","0.4868","15933","","LPE(26:0)+Na",0,0,0,0,0,"0.1868","0.4868","15933","","LPE(26:0)+Na",0,0,0,0,0,"0.1868","0.4868","15933","","LPE(26:0)+Na",0,0,0,0,0,"0.1868","0.4868","15933","","LPE(26:0)+Na","616.430175","573.387975","475.4110807","176.99139","164.00888","0.1868","0.4868","15933"
