"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","LPC(17:0)+Na",1,1,1,1,0,0,"1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na",1.161676,1.161676,1.161676,1.161676,0,1.161676,"1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na",2,1,2,2,0,1,"1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na",1581454,3520.401,1704225,36495.43,0,853.4495,"1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na",532.3384,349.2713,473.2647,327.2898,0,184.0733,"1.02527361111111","1.32527361111111","262","","LPC(17:0)+Na","532.336835","349.270835","473.263335","327.288835","203.007435","184.07332","1.02527361111111","1.32527361111111","262"
"","LPC(17:0)+Na",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPC(17:0)+Na",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPC(17:0)+Na",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPC(17:0)+Na",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPC(17:0)+Na",0,0,0,0,0,0,"1.37455694444444","1.67455694444444","1801","","LPC(17:0)+Na","532.336835","349.270835","473.263335","327.288835","203.007435","184.07332","1.37455694444444","1.67455694444444","1801"
"","LPC(17:0)+Na",0,0,0,0,0,0,"1.811375","2.111375","2099","","LPC(17:0)+Na",0,0,0,0,0,0,"1.811375","2.111375","2099","","LPC(17:0)+Na",0,0,0,0,0,0,"1.811375","2.111375","2099","","LPC(17:0)+Na",0,0,0,0,0,0,"1.811375","2.111375","2099","","LPC(17:0)+Na",0,0,0,0,0,0,"1.811375","2.111375","2099","","LPC(17:0)+Na","532.336835","349.270835","473.263335","327.288835","203.007435","184.07332","1.811375","2.111375","2099"
"","LPC(17:1)+Na",0,0,0,0,0,0,"0.8721","1.1721","18857","","LPC(17:1)+Na",0,0,0.9962975,0.9962975,0,0,"0.8721","1.1721","18857","","LPC(17:1)+Na",0,0,1,1,0,0,"0.8721","1.1721","18857","","LPC(17:1)+Na",0,0,544.6516,607.8855,0,0,"0.8721","1.1721","18857","","LPC(17:1)+Na",0,0,471.2498,325.274,0,0,"0.8721","1.1721","18857","","LPC(17:1)+Na","530.321185","347.255185","471.247685","325.273185","200.991785","184.07332","0.8721","1.1721","18857"
"","LPC(17:2)+Na",0,0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPC(17:2)+Na",0,0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPC(17:2)+Na",0,0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPC(17:2)+Na",0,0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPC(17:2)+Na",0,0,0,0,0,0,"0.676859090909091","0.976859090909091","3515","","LPC(17:2)+Na","528.305535","345.239535","469.232035","323.257535","198.976135","184.07332","0.676859090909091","0.976859090909091","3515"
"","LPC(18:0)+Na",1,1,1,1,0,1,"1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na",1.499297,1.499297,1.499297,1.499297,0,1.374732,"1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na",2,2,2,2,0,2,"1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na",3782465,6638.473,3865034,104703.4,0,18631.22,"1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na",546.353,363.28655,487.2795,341.30495,0,184.0733,"1.34317916666667","1.64317916666667","152","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.34317916666667","1.64317916666667","152"
"","LPC(18:0)+Na",0,0,0,0,0,1,"0.679158333333333","0.979158333333333","157","","LPC(18:0)+Na",0,0,0,0,0,0.9303991,"0.679158333333333","0.979158333333333","157","","LPC(18:0)+Na",0,0,0,0,0,1,"0.679158333333333","0.979158333333333","157","","LPC(18:0)+Na",0,0,0,0,0,861942.2,"0.679158333333333","0.979158333333333","157","","LPC(18:0)+Na",0,0,0,0,0,184.0735,"0.679158333333333","0.979158333333333","157","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","0.679158333333333","0.979158333333333","157"
"","LPC(18:0)+Na",1,0,1,1,0,1,"1.811375","2.111375","964","","LPC(18:0)+Na",1.972731,0,1.972731,1.972731,0,1.972731,"1.811375","2.111375","964","","LPC(18:0)+Na",1,0,1,1,0,1,"1.811375","2.111375","964","","LPC(18:0)+Na",318816.4,0,299448,11985.5,0,9549.124,"1.811375","2.111375","964","","LPC(18:0)+Na",546.3537,0,487.2801,341.3054,0,184.0735,"1.811375","2.111375","964","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.811375","2.111375","964"
"","LPC(18:0)+Na",1,0,1,1,0,1,"1.56645","1.86645","12773","","LPC(18:0)+Na",1.665449,0,1.665449,1.665449,0,1.665449,"1.56645","1.86645","12773","","LPC(18:0)+Na",1,0,1,1,0,1,"1.56645","1.86645","12773","","LPC(18:0)+Na",132434.2,0,133788.7,3142.394,0,7109.419,"1.56645","1.86645","12773","","LPC(18:0)+Na",546.3538,0,487.2801,341.3055,0,184.0735,"1.56645","1.86645","12773","","LPC(18:0)+Na","546.352485","363.286485","487.278985","341.304485","217.023085","184.07332","1.56645","1.86645","12773"
"","LPC(18:1)+Na",0,0,0,0,0,1,"0.544658333333333","0.844658333333333","79","","LPC(18:1)+Na",0,0,0,0,0,0.6791316,"0.544658333333333","0.844658333333333","79","","LPC(18:1)+Na",0,0,0,0,0,2,"0.544658333333333","0.844658333333333","79","","LPC(18:1)+Na",0,0,0,0,0,16869000,"0.544658333333333","0.844658333333333","79","","LPC(18:1)+Na",0,0,0,0,0,184.07335,"0.544658333333333","0.844658333333333","79","","LPC(18:1)+Na","544.336835","361.270835","485.263335","339.288835","215.007435","184.07332","0.544658333333333","0.844658333333333","79"
