"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","M+Na-87.03203","M+Na-97.9769 (H3PO4)","M+Na-185.00892","M+Na-C3H7NO6PNa","NL_87_T1_RCOOH","NL_87_T2_RCOOH","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(10:0_25:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(10:0_25:0)+Na",8.161917,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(10:0_25:0)+Na",1,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(10:0_25:0)+Na",48811.2,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(10:0_25:0)+Na",800.5413,0,0,0,0,0,0,0,"8.01050416666666","8.31050416666666","2253","","PS(10:0_25:0)+Na","800.5412249","713.5091949","702.5643249","517.5554049","593.5503549","541.3628649","331.1280649","207.99872","8.01050416666666","8.31050416666666","2253"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12318888888889","4.42318888888889","6221","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","4.12318888888889","4.42318888888889","6221"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.10427638888889","3.40427638888889","8057","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","3.10427638888889","3.40427638888889","8057"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.79138333333333","4.09138333333333","8066","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","3.79138333333333","4.09138333333333","8066"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"3.39136944444444","3.69136944444444","8265","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","3.39136944444444","3.69136944444444","8265"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"4.12585277777778","4.42585277777778","13405","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","4.12585277777778","4.42585277777778","13405"
"","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(10:0_26:0)+Na",0,0,0,0,0,0,0,0,"1.83709444444444","2.13709444444444","15859","","PS(10:0_26:0)+Na","814.5568249","727.5247949","716.5799249","531.5710049","607.5659549","555.3784649","331.1280649","207.99872","1.83709444444444","2.13709444444444","15859"
"","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(12:0_16:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","415.2219649","359.1593649","207.99872","3.85204848484848","4.15204848484848","2390"
"","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(12:0_16:0)+Na",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(12:0_16:0)+Na","702.4316249","615.3995949","604.4547249","419.4458049","495.4407549","415.2219649","359.1593649","207.99872","3.85645138888889","4.15645138888889","12785"
"","PS(12:0_17:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(12:0_17:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(12:0_17:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(12:0_17:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(12:0_17:0)+Na",0,0,0,0,0,0,0,0,"4.99630606060606","5.29630606060606","13568","","PS(12:0_17:0)+Na","716.4473249","629.4152949","618.4704249","433.4615049","509.4564549","429.2376649","359.1593649","207.99872","4.99630606060606","5.29630606060606","13568"
