"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","RT at Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Number of Scans","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Average m/z","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment"
"","DG(8:0_8:0)+NH4",0,0,0,0,0,0,0,0,0,"0.3526375","0.6526375","19147","","DG(8:0_8:0)+NH4",0,0,0,0,0,0,0,0,0,"0.3526375","0.6526375","19147","","DG(8:0_8:0)+NH4",0,0,0,0,0,0,0,0,0,"0.3526375","0.6526375","19147","","DG(8:0_8:0)+NH4",0,0,0,0,0,0,0,0,0,"0.3526375","0.6526375","19147","","DG(8:0_8:0)+NH4",0,0,0,0,0,0,0,0,0,"0.3526375","0.6526375","19147","","DG(8:0_8:0)+NH4","362.2901","201.1485","201.1485","127.1117","127.1117","109.1012","109.1012","183.138","183.138","0.3526375","0.6526375","19147"
"","DG(8:0_10:0)+NH4",0,0,0,0,0,0,0,0,0,"0.443919696969697","0.743919696969697","9050","","DG(8:0_10:0)+NH4",0,0,0,0,0,0,0,0,0,"0.443919696969697","0.743919696969697","9050","","DG(8:0_10:0)+NH4",0,0,0,0,0,0,0,0,0,"0.443919696969697","0.743919696969697","9050","","DG(8:0_10:0)+NH4",0,0,0,0,0,0,0,0,0,"0.443919696969697","0.743919696969697","9050","","DG(8:0_10:0)+NH4",0,0,0,0,0,0,0,0,0,"0.443919696969697","0.743919696969697","9050","","DG(8:0_10:0)+NH4","390.3214","229.1798","201.1485","127.1117","155.143","109.1012","137.1325","183.138","211.1693","0.443919696969697","0.743919696969697","9050"
"","DG(8:0_14:1)+NH4",0,0,0,0,0,0,0,0,0,"0.411970833333333","0.711970833333333","15101","","DG(8:0_14:1)+NH4",0,0,0,0,0,0,0,0,0,"0.411970833333333","0.711970833333333","15101","","DG(8:0_14:1)+NH4",0,0,0,0,0,0,0,0,0,"0.411970833333333","0.711970833333333","15101","","DG(8:0_14:1)+NH4",0,0,0,0,0,0,0,0,0,"0.411970833333333","0.711970833333333","15101","","DG(8:0_14:1)+NH4",0,0,0,0,0,0,0,0,0,"0.411970833333333","0.711970833333333","15101","","DG(8:0_14:1)+NH4","444.3684","283.2268","201.1485","127.1117","209.19","109.1012","191.1795","183.138","265.2163","0.411970833333333","0.711970833333333","15101"
"","DG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"5.11174444444445","5.41174444444445","7581","","DG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"5.11174444444445","5.41174444444445","7581","","DG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"5.11174444444445","5.41174444444445","7581","","DG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"5.11174444444445","5.41174444444445","7581","","DG(8:0_15:0)+NH4",0,0,0,0,0,0,0,0,0,"5.11174444444445","5.41174444444445","7581","","DG(8:0_15:0)+NH4","460.3997","299.2581","201.1485","127.1117","225.2213","109.1012","207.2108","183.138","281.2476","5.11174444444445","5.41174444444445","7581"
"","DG(8:0_15:1)+NH4",0,0,0,0,0,0,0,0,0,"4.3977875","4.6977875","4269","","DG(8:0_15:1)+NH4",0,0,0,0,0,0,0,0,0,"4.3977875","4.6977875","4269","","DG(8:0_15:1)+NH4",0,0,0,0,0,0,0,0,0,"4.3977875","4.6977875","4269","","DG(8:0_15:1)+NH4",0,0,0,0,0,0,0,0,0,"4.3977875","4.6977875","4269","","DG(8:0_15:1)+NH4",0,0,0,0,0,0,0,0,0,"4.3977875","4.6977875","4269","","DG(8:0_15:1)+NH4","458.384","297.2424","201.1485","127.1117","223.2056","109.1012","205.1951","183.138","279.2319","4.3977875","4.6977875","4269"
"","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","5310","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","5310","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","5310","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","5310","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","5310","","DG(8:0_16:0)+NH4","474.4153","313.2737","201.1485","127.1117","239.2369","109.1012","221.2264","183.138","295.2632","5.12018472222222","5.42018472222222","5310"
"","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66719861111111","5.96719861111111","6265","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66719861111111","5.96719861111111","6265","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66719861111111","5.96719861111111","6265","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66719861111111","5.96719861111111","6265","","DG(8:0_16:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66719861111111","5.96719861111111","6265","","DG(8:0_16:0)+NH4","474.4153","313.2737","201.1485","127.1117","239.2369","109.1012","221.2264","183.138","295.2632","5.66719861111111","5.96719861111111","6265"
"","DG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66138194444444","5.96138194444444","2448","","DG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66138194444444","5.96138194444444","2448","","DG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66138194444444","5.96138194444444","2448","","DG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66138194444444","5.96138194444444","2448","","DG(8:0_17:0)+NH4",0,0,0,0,0,0,0,0,0,"5.66138194444444","5.96138194444444","2448","","DG(8:0_17:0)+NH4","488.431","327.2894","201.1485","127.1117","253.2526","109.1012","235.2421","183.138","309.2789","5.66138194444444","5.96138194444444","2448"
"","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.8204","2.1204","8532","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.8204","2.1204","8532","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.8204","2.1204","8532","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.8204","2.1204","8532","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.8204","2.1204","8532","","DG(8:0_17:1)+NH4","486.4153","325.2737","201.1485","127.1117","251.2369","109.1012","233.2264","183.138","307.2632","1.8204","2.1204","8532"
"","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39526944444444","1.69526944444444","16426","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39526944444444","1.69526944444444","16426","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39526944444444","1.69526944444444","16426","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39526944444444","1.69526944444444","16426","","DG(8:0_17:1)+NH4",0,0,0,0,0,0,0,0,0,"1.39526944444444","1.69526944444444","16426","","DG(8:0_17:1)+NH4","486.4153","325.2737","201.1485","127.1117","251.2369","109.1012","233.2264","183.138","307.2632","1.39526944444444","1.69526944444444","16426"
