"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Average m/z","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment"
"","OxPC(8:0_13:3(CHO))+Na",0,0,0,0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPC(8:0_13:3(CHO))+Na",0,0,0,0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPC(8:0_13:3(CHO))+Na",0,0,0,0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPC(8:0_13:3(CHO))+Na",0,0,0,0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPC(8:0_13:3(CHO))+Na",0,0,0,0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPC(8:0_13:3(CHO))+Na","610.31155","427.24551","551.238051","405.26357","407.123021","329.112451","466.19652","388.18595","366.20399","0.588433333333333","0.888433333333333","4970"
"","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPC(8:0_14:1(CHO))+Na","628.3585","445.29246","569.285001","423.31052","425.169971","329.112451","484.24347","388.18595","366.20399","1.55190416666667","1.85190416666667","3698"
"","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPC(8:0_14:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPC(8:0_14:1(CHO))+Na","628.3585","445.29246","569.285001","423.31052","425.169971","329.112451","484.24347","388.18595","366.20399","1.80304166666667","2.10304166666667","4860"
"","OxPC(8:0_15:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPC(8:0_15:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPC(8:0_15:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPC(8:0_15:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPC(8:0_15:1(CHO))+Na",0,0,0,0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPC(8:0_15:1(CHO))+Na","642.37415","459.30811","583.300651","437.32617","439.185621","329.112451","498.25912","388.18595","366.20399","1.87316666666667","2.17316666666667","17548"
"","OxPC(8:0_10:2(COOH))+Na",0,0,0,0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPC(8:0_10:2(COOH))+Na",0,0,0,0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPC(8:0_10:2(COOH))+Na",0,0,0,0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPC(8:0_10:2(COOH))+Na",0,0,0,0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPC(8:0_10:2(COOH))+Na",0,0,0,0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPC(8:0_10:2(COOH))+Na","586.27517","403.20913","527.201671","381.22719","383.086641","329.112451","442.16014","388.18595","366.20399","1.3296625","1.6296625","5626"
"","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPC(10:0_7:0(CHO))+Na","560.29589","377.22985","501.222391","355.24791","329.076061","357.143751","388.14956","416.21725","394.23529","7.49951805555555","7.79951805555555","1330"
"","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPC(10:0_7:0(CHO))+Na","560.29589","377.22985","501.222391","355.24791","329.076061","357.143751","388.14956","416.21725","394.23529","6.41087777777778","6.71087777777778","2398"
"","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPC(10:0_7:0(CHO))+Na","560.29589","377.22985","501.222391","355.24791","329.076061","357.143751","388.14956","416.21725","394.23529","8.55429444444444","8.85429444444444","6910"
"","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPC(10:0_7:0(CHO))+Na","560.29589","377.22985","501.222391","355.24791","329.076061","357.143751","388.14956","416.21725","394.23529","7.66776944444444","7.96776944444444","14866"
"","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPC(10:0_7:0(CHO))+Na",0,0,0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPC(10:0_7:0(CHO))+Na","560.29589","377.22985","501.222391","355.24791","329.076061","357.143751","388.14956","416.21725","394.23529","6.39903055555556","6.69903055555556","17177"
