"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","MGDG(10:0_18:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(10:0_18:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(10:0_18:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(10:0_18:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(10:0_18:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(10:0_18:2)+NH4","688.49942","509.42012","491.40955","337.27388","229.18004","155.1431","263.23694","1.6224","1.9224","7089"
"","MGDG(10:0_18:3)+NH4",0,0,0,0,0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(10:0_18:3)+NH4",0,0,0,0,0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(10:0_18:3)+NH4",0,0,0,0,0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(10:0_18:3)+NH4",0,0,0,0,0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(10:0_18:3)+NH4",0,0,0,0,0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(10:0_18:3)+NH4","686.48377","507.40447","489.3939","335.25823","229.18003","155.1431","261.2213","1.37178194444444","1.67178194444444","13606"
"","MGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(10:0_20:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(10:0_20:0)+NH4","720.56202","541.48272","523.47215","369.33648","229.18008","155.1431","295.2995","11.9522075757576","12.2522075757576","8549"
"","MGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(10:0_21:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(10:0_21:0)+NH4","734.57762","555.49832","537.48775","383.35208","229.18004","155.1431","309.31514","5.52323484848485","5.82323484848485","5181"
"","MGDG(10:0_23:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(10:0_23:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(10:0_23:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(10:0_23:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(10:0_23:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(10:0_23:0)+NH4","762.60895","583.52965","565.51908","411.38341","229.18009","155.1431","337.34642","12.5810055555556","12.8810055555556","11889"
"","MGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(10:0_26:0)+NH4",0,0,0,0,0,0,0,"13.5621708333333","13.8621708333333","16592","","MGDG(10:0_26:0)+NH4","804.65592","625.57662","607.56605","453.43038","229.18014","155.1431","379.39334","13.5621708333333","13.8621708333333","16592"
"","MGDG(11:0_14:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(11:0_14:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(11:0_14:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(11:0_14:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(11:0_14:1)+NH4",0,0,0,0,0,0,0,"0.527179166666667","0.827179166666667","9501","","MGDG(11:0_14:1)+NH4","648.46812","469.38882","451.37825","283.22694","243.19566","169.15874","209.19002","0.527179166666667","0.827179166666667","9501"
"","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(11:0_15:1)+NH4","662.48377","483.40447","465.3939","297.24259","243.19567","169.15874","223.20566","0.472570833333333","0.772570833333333","2714"
"","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(11:0_15:1)+NH4",0,0,0,0,0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(11:0_15:1)+NH4","662.48377","483.40447","465.3939","297.24259","243.19567","169.15874","223.20566","0.668754166666667","0.968754166666667","17261"
"","MGDG(11:0_17:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(11:0_17:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(11:0_17:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(11:0_17:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(11:0_17:2)+NH4",0,0,0,0,0,0,0,"1.6224","1.9224","7089","","MGDG(11:0_17:2)+NH4","688.49942","509.42012","491.40955","323.25824","243.19568","169.15874","249.2213","1.6224","1.9224","7089"
"","MGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(11:0_18:1)+NH4","704.53072","525.45142","507.44085","339.28954","243.1957","169.15874","265.25258","0.437631944444444","0.737631944444444","7066"
"","MGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"11.9522075757576","12.2522075757576","8549","","MGDG(11:0_19:0)+NH4","720.56202","541.48272","523.47215","355.32084","243.19572","169.15874","281.28386","11.9522075757576","12.2522075757576","8549"
"","MGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.52323484848485","5.82323484848485","5181","","MGDG(11:0_20:0)+NH4","734.57762","555.49832","537.48775","369.33644","243.19568","169.15874","295.2995","5.52323484848485","5.82323484848485","5181"
"","MGDG(11:0_22:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(11:0_22:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(11:0_22:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(11:0_22:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(11:0_22:0)+NH4",0,0,0,0,0,0,0,"12.5810055555556","12.8810055555556","11889","","MGDG(11:0_22:0)+NH4","762.60895","583.52965","565.51908","397.36777","243.19573","169.15874","323.33078","12.5810055555556","12.8810055555556","11889"
