"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.37767361111111","5.67767361111111","2266","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.37767361111111","5.67767361111111","2266"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.64302916666667","5.94302916666667","3402","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.64302916666667","5.94302916666667","3402"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"5.12018472222222","5.42018472222222","4596","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","5.12018472222222","5.42018472222222","4596"
"","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H",0,0,0,0,0,0,0,"12.1199472222222","12.4199472222222","7285","","PE(8:0_24:0)+H","692.52248","551.50337","425.39892","201.14852","127.11175","351.36215","142.02639","12.1199472222222","12.4199472222222","7285"
"","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H",0,0,0,0,0,0,0,"12.0874060606061","12.3874060606061","9023","","PE(8:0_24:1)+H","690.50688","549.48777","423.38332","201.14852","127.11175","349.34655","142.02639","12.0874060606061","12.3874060606061","9023"
"","PE(8:0_25:0)+H",1,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(8:0_25:0)+H",6.168828,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(8:0_25:0)+H",3,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(8:0_25:0)+H",1563772,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(8:0_25:0)+H",706.538766666667,0,0,0,0,0,0,"6.02765","6.32765","188","","PE(8:0_25:0)+H","706.53818","565.51907","439.41462","201.14852","127.11175","365.37785","142.02639","6.02765","6.32765","188"
"","PE(8:0_26:0)+H",1,1,0,0,0,0,1,"8.64666527777777","8.94666527777777","95","","PE(8:0_26:0)+H",8.815608,8.815608,0,0,0,0,8.815608,"8.64666527777777","8.94666527777777","95","","PE(8:0_26:0)+H",2,2,0,0,0,0,2,"8.64666527777777","8.94666527777777","95","","PE(8:0_26:0)+H",73318.2,17832860,0,0,0,0,6879.517,"8.64666527777777","8.94666527777777","95","","PE(8:0_26:0)+H",720.5545,579.5354,0,0,0,0,142.02665,"8.64666527777777","8.94666527777777","95","","PE(8:0_26:0)+H","720.55378","579.53467","453.43022","201.14852","127.11175","379.39345","142.02639","8.64666527777777","8.94666527777777","95"
"","PE(8:0_26:0)+H",1,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PE(8:0_26:0)+H",6.821414,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PE(8:0_26:0)+H",1,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PE(8:0_26:0)+H",360136.4,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PE(8:0_26:0)+H",720.5547,0,0,0,0,0,0,"6.63066666666667","6.93066666666667","518","","PE(8:0_26:0)+H","720.55378","579.53467","453.43022","201.14852","127.11175","379.39345","142.02639","6.63066666666667","6.93066666666667","518"
"","PE(8:0_26:0)+H",1,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PE(8:0_26:0)+H",6.58182,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PE(8:0_26:0)+H",1,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PE(8:0_26:0)+H",89414.06,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PE(8:0_26:0)+H",720.5549,0,0,0,0,0,0,"6.43381527777778","6.73381527777778","1486","","PE(8:0_26:0)+H","720.55378","579.53467","453.43022","201.14852","127.11175","379.39345","142.02639","6.43381527777778","6.73381527777778","1486"
"","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"4.97676527777778","5.27676527777778","3409","","PE(10:0_18:0)+H","636.45988","495.44077","341.30502","229.17982","155.14305","267.26825","142.02639","4.97676527777778","5.27676527777778","3409"
"","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(10:0_18:0)+H",0,0,0,0,0,0,0,"1.39863194444444","1.69863194444444","14975","","PE(10:0_18:0)+H","636.45988","495.44077","341.30502","229.17982","155.14305","267.26825","142.02639","1.39863194444444","1.69863194444444","14975"
"","PE(10:0_19:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(10:0_19:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(10:0_19:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(10:0_19:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(10:0_19:0)+H",0,0,0,0,0,0,0,"3.33079861111111","3.63079861111111","5401","","PE(10:0_19:0)+H","650.47558","509.45647","355.32072","229.17982","155.14305","281.28395","142.02639","3.33079861111111","3.63079861111111","5401"
"","PE(10:0_20:0)+H",1,1,0,0,0,0,1,"6.30153194444444","6.60153194444444","97","","PE(10:0_20:0)+H",6.479667,6.479667,0,0,0,0,6.479667,"6.30153194444444","6.60153194444444","97","","PE(10:0_20:0)+H",2,2,0,0,0,0,1,"6.30153194444444","6.60153194444444","97","","PE(10:0_20:0)+H",69924.22,16353570,0,0,0,0,8939.61,"6.30153194444444","6.60153194444444","97","","PE(10:0_20:0)+H",664.49195,523.4727,0,0,0,0,142.0265,"6.30153194444444","6.60153194444444","97","","PE(10:0_20:0)+H","664.49118","523.47207","369.33632","229.17982","155.14305","295.29955","142.02639","6.30153194444444","6.60153194444444","97"
"","PE(10:0_20:0)+H",1,1,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(10:0_20:0)+H",6.597385,6.597385,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(10:0_20:0)+H",1,1,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(10:0_20:0)+H",6324.5,1614014,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(10:0_20:0)+H",664.4921,523.473,0,0,0,0,0,"6.48472083333333","6.78472083333333","15124","","PE(10:0_20:0)+H","664.49118","523.47207","369.33632","229.17982","155.14305","295.29955","142.02639","6.48472083333333","6.78472083333333","15124"
