"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Average m/z","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+Na]+","NL_T1&Na","NL_T2&Na","NL_T1&T2&Na","RT_min","RT_max","Comment"
"","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(10:0_20:4)+Na","717.4548","545.3085","413.2146","243.084","1.47928611111111","1.77928611111111","7151"
"","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(10:0_24:1)+Na","779.5644","607.4181","413.2146","243.084","8.01050416666666","8.31050416666666","1754"
"","MGDG(10:0_24:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(10:0_24:1)+Na","779.5644","607.4181","413.2146","243.084","6.19819166666667","6.49819166666667","2444"
"","MGDG(10:0_24:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(10:0_24:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(10:0_24:1)+Na","779.5644","607.4181","413.2146","243.084","6.208675","6.508675","17176"
"","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na",0,0,0,0,"11.3531472222222","11.6531472222222","7081","","MGDG(10:0_26:0)+Na","809.6113","637.465","413.2146","243.084","11.3531472222222","11.6531472222222","7081"
"","MGDG(12:0_18:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(12:0_18:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(12:0_18:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(12:0_18:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(12:0_18:4)+Na",0,0,0,0,"1.47928611111111","1.77928611111111","7151","","MGDG(12:0_18:4)+Na","717.4548","517.2772","441.2459","243.084","1.47928611111111","1.77928611111111","7151"
"","MGDG(12:0_22:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(12:0_22:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(12:0_22:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(12:0_22:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(12:0_22:1)+Na",0,0,0,0,"8.01050416666666","8.31050416666666","1754","","MGDG(12:0_22:1)+Na","779.5644","579.3868","441.2459","243.084","8.01050416666666","8.31050416666666","1754"
"","MGDG(12:0_22:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.19819166666667","6.49819166666667","2444","","MGDG(12:0_22:1)+Na","779.5644","579.3868","441.2459","243.084","6.19819166666667","6.49819166666667","2444"
"","MGDG(12:0_22:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(12:0_22:1)+Na",0,0,0,0,"6.208675","6.508675","17176","","MGDG(12:0_22:1)+Na","779.5644","579.3868","441.2459","243.084","6.208675","6.508675","17176"
"","MGDG(12:0_22:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(12:0_22:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(12:0_22:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(12:0_22:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(12:0_22:2)+Na",0,0,0,0,"6.414625","6.714625","3530","","MGDG(12:0_22:2)+Na","777.5487","577.3711","441.2459","243.084","6.414625","6.714625","3530"
