"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",6.856732,0,6.856732,0,6.856732,0,0,0,0,6.856732,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",73595.97,0,5145.985,0,1187.525,0,0,0,0,612662.8,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H",716.5604,0,476.3153,0,480.3455,0,0,0,0,184.0737,"6.66181805555556","6.96181805555556","1083","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","5.83862777777778","6.13862777777778","2703"
"","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",6.856732,0,6.856732,0,6.856732,0,0,0,0,6.856732,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",73595.97,0,5145.985,0,1187.525,0,0,0,0,612662.8,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H",716.5604,0,476.3153,0,480.3455,0,0,0,0,184.0737,"6.64093611111111","6.94093611111111","9134","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H",0,0,0,0,0,0,0,0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","8.7356962962963","9.0356962962963","10132"
"","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H",6.856732,0,6.856732,0,6.856732,0,0,0,0,6.856732,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H",1,0,1,0,1,0,0,0,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H",73595.97,0,5145.985,0,1187.525,0,0,0,0,612662.8,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H",716.5604,0,476.3153,0,480.3455,0,0,0,0,184.0737,"6.77170138888889","7.07170138888889","18325","","Plasmenyl-PC(P-16:0/16:1)+H","716.5588976","533.4928576","476.3137326","417.2402326","480.3449176","462.3343576","494.32419","311.25813","237.2219","184.07332","6.77170138888889","7.07170138888889","18325"
"","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmenyl-PC(P-16:0/17:0)+H","732.5901976","549.5241576","492.3450326","433.2715326","480.3449176","462.3343576","510.35549","327.28943","253.2532","184.07332","8.12406805555556","8.42406805555556","1753"
"","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"9.3638375","9.6638375","11656","","Plasmenyl-PC(P-16:0/17:0)+H","732.5901976","549.5241576","492.3450326","433.2715326","480.3449176","462.3343576","510.35549","327.28943","253.2532","184.07332","9.3638375","9.6638375","11656"
"","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(P-16:0/17:0)+H",0,0,0,0,0,0,0,0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmenyl-PC(P-16:0/17:0)+H","732.5901976","549.5241576","492.3450326","433.2715326","480.3449176","462.3343576","510.35549","327.28943","253.2532","184.07332","8.31044848484848","8.61044848484848","12846"
"","Plasmenyl-PC(P-16:0/17:1)+H",1,0,0,0,0,0,0,0,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-16:0/17:1)+H",9.37348,0,0,0,0,0,0,0,0,9.37348,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-16:0/17:1)+H",1,0,0,0,0,0,0,0,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-16:0/17:1)+H",7793.215,0,0,0,0,0,0,0,0,2778.627,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-16:0/17:1)+H",730.5742,0,0,0,0,0,0,0,0,184.0735,"9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-16:0/17:1)+H","730.5744976","547.5084576","490.3293326","431.2558326","480.3449176","462.3343576","508.33979","325.27373","251.2375","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmenyl-PC(P-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(P-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(P-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(P-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(P-16:0/17:1)+H",0,0,0,0,0,0,0,0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmenyl-PC(P-16:0/17:1)+H","730.5744976","547.5084576","490.3293326","431.2558326","480.3449176","462.3343576","508.33979","325.27373","251.2375","184.07332","7.04608055555555","7.34608055555555","5546"
