"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Average m/z","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-TG","[M+NH4]","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment"
"","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.1082944444444","10.4082944444444","1044","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.1082944444444","10.4082944444444","1044","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.1082944444444","10.4082944444444","1044","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.1082944444444","10.4082944444444","1044","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.1082944444444","10.4082944444444","1044","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4","640.5875","479.4458","423.3832","10.1082944444444","10.4082944444444","1044"
"","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.4410375","10.7410375","8606","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.4410375","10.7410375","8606","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.4410375","10.7410375","8606","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.4410375","10.7410375","8606","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"10.4410375","10.7410375","8606","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4","640.5875","479.4458","423.3832","10.4410375","10.7410375","8606"
"","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"5.69889583333333","5.99889583333333","8793","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"5.69889583333333","5.99889583333333","8793","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"5.69889583333333","5.99889583333333","8793","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"5.69889583333333","5.99889583333333","8793","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"5.69889583333333","5.99889583333333","8793","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4","640.5875","479.4458","423.3832","5.69889583333333","5.99889583333333","8793"
"","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"6.06926666666667","6.36926666666667","9532","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"6.06926666666667","6.36926666666667","9532","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"6.06926666666667","6.36926666666667","9532","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"6.06926666666667","6.36926666666667","9532","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4",0,0,0,"6.06926666666667","6.36926666666667","9532","","plasmenyl-TG(P-16:0_8:0_12:0)+NH4","640.5875","479.4458","423.3832","6.06926666666667","6.36926666666667","9532"
"","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"7.18614583333333","7.48614583333333","12818","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"7.18614583333333","7.48614583333333","12818","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"7.18614583333333","7.48614583333333","12818","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"7.18614583333333","7.48614583333333","12818","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"7.18614583333333","7.48614583333333","12818","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4","668.6188","507.4771","423.3832","7.18614583333333","7.48614583333333","12818"
"","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"12.4988878787879","12.7988878787879","13357","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"12.4988878787879","12.7988878787879","13357","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"12.4988878787879","12.7988878787879","13357","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"12.4988878787879","12.7988878787879","13357","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"12.4988878787879","12.7988878787879","13357","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4","668.6188","507.4771","423.3832","12.4988878787879","12.7988878787879","13357"
"","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"11.0179287878788","11.3179287878788","13372","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"11.0179287878788","11.3179287878788","13372","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"11.0179287878788","11.3179287878788","13372","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"11.0179287878788","11.3179287878788","13372","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"11.0179287878788","11.3179287878788","13372","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4","668.6188","507.4771","423.3832","11.0179287878788","11.3179287878788","13372"
"","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"10.2880458333333","10.5880458333333","16162","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"10.2880458333333","10.5880458333333","16162","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"10.2880458333333","10.5880458333333","16162","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"10.2880458333333","10.5880458333333","16162","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4",0,0,0,"10.2880458333333","10.5880458333333","16162","","plasmenyl-TG(P-16:0_8:0_14:0)+NH4","668.6188","507.4771","423.3832","10.2880458333333","10.5880458333333","16162"
"","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"9.18300138888889","9.48300138888889","1991","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"9.18300138888889","9.48300138888889","1991","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"9.18300138888889","9.48300138888889","1991","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"9.18300138888889","9.48300138888889","1991","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"9.18300138888889","9.48300138888889","1991","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4","666.6032","505.4615","423.3832","9.18300138888889","9.48300138888889","1991"
"","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"10.0944486111111","10.3944486111111","4234","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"10.0944486111111","10.3944486111111","4234","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"10.0944486111111","10.3944486111111","4234","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"10.0944486111111","10.3944486111111","4234","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4",0,0,0,"10.0944486111111","10.3944486111111","4234","","plasmenyl-TG(P-16:0_8:0_14:1)+NH4","666.6032","505.4615","423.3832","10.0944486111111","10.3944486111111","4234"
"","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.32049","9.62049","13324","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4","682.6345","521.4928","423.3832","9.32049","9.62049","13324"
"","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4",0,0,0,"9.54454848484848","9.84454848484848","16543","","plasmenyl-TG(P-16:0_8:0_15:0)+NH4","682.6345","521.4928","423.3832","9.54454848484848","9.84454848484848","16543"
"","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4",0,0,0,"8.2520125","8.5520125","2141","","plasmenyl-TG(P-16:0_8:0_16:0)+NH4","696.6501","535.5084","423.3832","8.2520125","8.5520125","2141"
