"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62279166666667","7.92279166666667","3830","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62279166666667","7.92279166666667","3830","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62279166666667","7.92279166666667","3830","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62279166666667","7.92279166666667","3830","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62279166666667","7.92279166666667","3830","","Cer_NDS(d16:0/18:0)+H","540.53445","522.52395","504.51335","256.26295","238.25235","284.29425","226.25235","7.62279166666667","7.92279166666667","3830"
"","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.79289027777778","8.09289027777778","15307","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.79289027777778","8.09289027777778","15307","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.79289027777778","8.09289027777778","15307","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.79289027777778","8.09289027777778","15307","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.79289027777778","8.09289027777778","15307","","Cer_NDS(d16:0/18:0)+H","540.53445","522.52395","504.51335","256.26295","238.25235","284.29425","226.25235","7.79289027777778","8.09289027777778","15307"
"","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62025694444444","7.92025694444444","17203","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62025694444444","7.92025694444444","17203","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62025694444444","7.92025694444444","17203","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62025694444444","7.92025694444444","17203","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"7.62025694444444","7.92025694444444","17203","","Cer_NDS(d16:0/18:0)+H","540.53445","522.52395","504.51335","256.26295","238.25235","284.29425","226.25235","7.62025694444444","7.92025694444444","17203"
"","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"8.85525","9.15525","17792","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"8.85525","9.15525","17792","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"8.85525","9.15525","17792","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"8.85525","9.15525","17792","","Cer_NDS(d16:0/18:0)+H",0,0,0,0,0,0,0,"8.85525","9.15525","17792","","Cer_NDS(d16:0/18:0)+H","540.53445","522.52395","504.51335","256.26295","238.25235","284.29425","226.25235","8.85525","9.15525","17792"
"","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"7.18354583333333","7.48354583333333","929","","Cer_NDS(d16:0/18:1)+H","538.51875","520.50825","502.49765","256.26295","238.25235","282.27855","226.25235","7.18354583333333","7.48354583333333","929"
"","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"9.76985277777778","10.0698527777778","2689","","Cer_NDS(d16:0/18:1)+H","538.51875","520.50825","502.49765","256.26295","238.25235","282.27855","226.25235","9.76985277777778","10.0698527777778","2689"
"","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"10.3738621212121","10.6738621212121","10304","","Cer_NDS(d16:0/18:1)+H","538.51875","520.50825","502.49765","256.26295","238.25235","282.27855","226.25235","10.3738621212121","10.6738621212121","10304"
"","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer_NDS(d16:0/18:1)+H",0,0,0,0,0,0,0,"6.04809305555556","6.34809305555556","11903","","Cer_NDS(d16:0/18:1)+H","538.51875","520.50825","502.49765","256.26295","238.25235","282.27855","226.25235","6.04809305555556","6.34809305555556","11903"
"","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"6.06026805555555","6.36026805555555","3573","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"6.06026805555555","6.36026805555555","3573","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"6.06026805555555","6.36026805555555","3573","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"6.06026805555555","6.36026805555555","3573","","Cer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,"6.06026805555555","6.36026805555555","3573","","Cer_NDS(d16:0/18:2)+H","536.50315","518.49265","500.48205","256.26295","238.25235","280.26295","226.25235","6.06026805555555","6.36026805555555","3573"
"","Cer_NDS(d16:0/18:2)+H",0,0,0,1,0,0,0,"9.51255909090909","9.81255909090909","4196","","Cer_NDS(d16:0/18:2)+H",0,0,0,9.776199,0,0,0,"9.51255909090909","9.81255909090909","4196","","Cer_NDS(d16:0/18:2)+H",0,0,0,1,0,0,0,"9.51255909090909","9.81255909090909","4196","","Cer_NDS(d16:0/18:2)+H",0,0,0,2357.273,0,0,0,"9.51255909090909","9.81255909090909","4196","","Cer_NDS(d16:0/18:2)+H",0,0,0,256.2641,0,0,0,"9.51255909090909","9.81255909090909","4196","","Cer_NDS(d16:0/18:2)+H","536.50315","518.49265","500.48205","256.26295","238.25235","280.26295","226.25235","9.51255909090909","9.81255909090909","4196"
