"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","PE(8:0_24:0)+Na",0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"11.6431458333333","11.9431458333333","8174","","PE(8:0_24:0)+Na","714.5044178","671.4622178","573.4853235","527.3473378","303.0969378","164.00888","11.6431458333333","11.9431458333333","8174"
"","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"5.81705138888889","6.11705138888889","9458","","PE(8:0_24:0)+Na","714.5044178","671.4622178","573.4853235","527.3473378","303.0969378","164.00888","5.81705138888889","6.11705138888889","9458"
"","PE(8:0_24:0)+Na",0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(8:0_24:0)+Na",0,0,0,0,0,0,"6.02467083333333","6.32467083333333","19066","","PE(8:0_24:0)+Na","714.5044178","671.4622178","573.4853235","527.3473378","303.0969378","164.00888","6.02467083333333","6.32467083333333","19066"
"","PE(8:0_24:1)+Na",0,0,0,0,0,0,"11.34785","11.64785","4546","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"11.34785","11.64785","4546","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"11.34785","11.64785","4546","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"11.34785","11.64785","4546","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"11.34785","11.64785","4546","","PE(8:0_24:1)+Na","712.4888178","669.4466178","571.4697235","525.3317378","303.0969378","164.00888","11.34785","11.64785","4546"
"","PE(8:0_24:1)+Na",0,0,0,0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(8:0_24:1)+Na",0,0,0,0,0,0,"10.6121015151515","10.9121015151515","7992","","PE(8:0_24:1)+Na","712.4888178","669.4466178","571.4697235","525.3317378","303.0969378","164.00888","10.6121015151515","10.9121015151515","7992"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"6.03330138888889","6.33330138888889","1803","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","6.03330138888889","6.33330138888889","1803"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.89671944444444","5.19671944444444","2343","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.89671944444444","5.19671944444444","2343","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.89671944444444","5.19671944444444","2343","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.89671944444444","5.19671944444444","2343","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.89671944444444","5.19671944444444","2343","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","4.89671944444444","5.19671944444444","2343"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.13304027777778","4.43304027777778","2406","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.13304027777778","4.43304027777778","2406","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.13304027777778","4.43304027777778","2406","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.13304027777778","4.43304027777778","2406","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.13304027777778","4.43304027777778","2406","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","4.13304027777778","4.43304027777778","2406"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.25916060606061","5.55916060606061","10785","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.25916060606061","5.55916060606061","10785","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.25916060606061","5.55916060606061","10785","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.25916060606061","5.55916060606061","10785","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"5.25916060606061","5.55916060606061","10785","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","5.25916060606061","5.55916060606061","10785"
"","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.37494090909091","4.67494090909091","13143","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.37494090909091","4.67494090909091","13143","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.37494090909091","4.67494090909091","13143","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.37494090909091","4.67494090909091","13143","","PE(8:0_25:0)+Na",0,0,0,0,0,0,"4.37494090909091","4.67494090909091","13143","","PE(8:0_25:0)+Na","728.5201178","685.4779178","587.5010235","541.3630378","303.0969378","164.00888","4.37494090909091","4.67494090909091","13143"
