"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Average m/z","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]+","NL_head","T1RCOO+58","T2RCOO+58","T1_RCO+","T2_RCO+","RT_min","RT_max","Comment"
"","PS(8:0_20:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H",0,0,0,0,0,0,"1.04389166666667","1.34389166666667","10733","","PS(8:0_20:2)+H","676.41846","491.40951","365.30506","201.14856","127.11175","291.26825","1.04389166666667","1.34389166666667","10733"
"","PS(8:0_21:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H",0,0,0,0,0,0,"5.00976527777778","5.30976527777778","981","","PS(8:0_21:0)+H","694.46546","509.45651","383.35206","201.14856","127.11175","309.31525","5.00976527777778","5.30976527777778","981"
"","PS(8:0_21:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H",0,0,0,0,0,0,"1.50699722222222","1.80699722222222","14667","","PS(8:0_21:0)+H","694.46546","509.45651","383.35206","201.14856","127.11175","309.31525","1.50699722222222","1.80699722222222","14667"
"","PS(8:0_22:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H",0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PS(8:0_22:1)+H","706.46546","521.45651","395.35206","201.14856","127.11175","321.31525","1.34317916666667","1.64317916666667","6183"
"","PS(8:0_22:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H",0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PS(8:0_22:2)+H","704.44976","519.44081","393.33636","201.14856","127.11175","319.29955","1.05886111111111","1.35886111111111","7726"
"","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PS(8:0_22:3)+H","702.43416","517.42521","391.32076","201.14856","127.11175","317.28395","3.85204848484848","4.15204848484848","2390"
"","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_22:3)+H",0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PS(8:0_22:3)+H","702.43416","517.42521","391.32076","201.14856","127.11175","317.28395","3.85645138888889","4.15645138888889","12785"
"","PS(8:0_23:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H",0,0,0,0,0,0,"5.71002361111111","6.01002361111111","952","","PS(8:0_23:0)+H","722.49676","537.48781","411.38336","201.14856","127.11175","337.34655","5.71002361111111","6.01002361111111","952"
"","PS(8:0_24:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H",0,0,0,0,0,0,"1.86179583333333","2.16179583333333","9016","","PS(8:0_24:1)+H","734.49676","549.48781","423.38336","201.14856","127.11175","349.34655","1.86179583333333","2.16179583333333","9016"
"","PS(8:0_26:0)+H",1,1,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",7.867475,7.867475,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",1,1,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",4952.251,7554868,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H",764.5439,579.535,0,0,0,0,"7.68959027777778","7.98959027777778","200","","PS(8:0_26:0)+H","764.54366","579.53471","453.43026","201.14856","127.11175","379.39345","7.68959027777778","7.98959027777778","200"
"","PS(10:0_10:0)+H",0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H",0,0,0,0,0,0,"0.335309090909091","0.635309090909091","9300","","PS(10:0_10:0)+H","568.32456","383.31561","229.17986","229.17986","155.14305","155.14305","0.335309090909091","0.635309090909091","9300"
"","PS(10:0_13:0)+H",0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H",0,0,0,0,0,0,"0.769251388888889","1.06925138888889","14542","","PS(10:0_13:0)+H","610.37156","425.36261","271.22686","229.17986","155.14305","197.19005","0.769251388888889","1.06925138888889","14542"
"","PS(10:0_16:0)+H",0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H",0,0,0,0,0,0,"2.6957875","2.9957875","8069","","PS(10:0_16:0)+H","652.41846","467.40951","313.27376","229.17986","155.14305","239.23695","2.6957875","2.9957875","8069"
