"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","M+Na-43-SN2-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","OxPE(8:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(8:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(8:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(8:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(8:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(8:0_15:1(CHO))+Na","600.3272278","557.2850278","459.3081335","413.1701278","303.0969578","164.00888","1.025275","1.325275","4678"
"","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(8:0_16:1(CHO))+Na","614.3428778","571.3006778","473.3237835","427.1857778","303.0969578","164.00888","1.35598888888889","1.65598888888889","2208"
"","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(8:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(8:0_16:1(CHO))+Na","614.3428778","571.3006778","473.3237835","427.1857778","303.0969578","164.00888","1.83176388888889","2.13176388888889","7681"
"","OxPE(8:0_16:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(8:0_16:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(8:0_16:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(8:0_16:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(8:0_16:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(8:0_16:3(CHO))+Na","610.3115778","567.2693778","469.2924835","423.1544778","303.0969578","164.00888","0.588433333333333","0.888433333333333","4970"
"","OxPE(8:0_13:2(COOH))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPE(8:0_13:2(COOH))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPE(8:0_13:2(COOH))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPE(8:0_13:2(COOH))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPE(8:0_13:2(COOH))+Na",0,0,0,0,0,0,"1.3296625","1.6296625","5626","","OxPE(8:0_13:2(COOH))+Na","586.2751978","543.2329978","445.2561035","399.1180978","303.0969578","164.00888","1.3296625","1.6296625","5626"
"","OxPE(8:0_16:4(COOH))+Na",0,0,0,0,0,0,"1.2935","1.5935","13077","","OxPE(8:0_16:4(COOH))+Na",0,0,0,0,0,0,"1.2935","1.5935","13077","","OxPE(8:0_16:4(COOH))+Na",0,0,0,0,0,0,"1.2935","1.5935","13077","","OxPE(8:0_16:4(COOH))+Na",0,0,0,0,0,0,"1.2935","1.5935","13077","","OxPE(8:0_16:4(COOH))+Na",0,0,0,0,0,0,"1.2935","1.5935","13077","","OxPE(8:0_16:4(COOH))+Na","624.2908478","581.2486478","483.2717535","437.1337478","303.0969578","164.00888","1.2935","1.5935","13077"
"","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxPE(10:0_10:0(CHO))+Na","560.2959178","517.2537178","419.2768235","345.1075178","331.1282578","164.00888","7.49951805555555","7.79951805555555","1330"
"","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxPE(10:0_10:0(CHO))+Na","560.2959178","517.2537178","419.2768235","345.1075178","331.1282578","164.00888","6.41087777777778","6.71087777777778","2398"
"","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxPE(10:0_10:0(CHO))+Na","560.2959178","517.2537178","419.2768235","345.1075178","331.1282578","164.00888","8.55429444444444","8.85429444444444","6910"
"","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxPE(10:0_10:0(CHO))+Na","560.2959178","517.2537178","419.2768235","345.1075178","331.1282578","164.00888","7.66776944444444","7.96776944444444","14866"
"","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(10:0_10:0(CHO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxPE(10:0_10:0(CHO))+Na","560.2959178","517.2537178","419.2768235","345.1075178","331.1282578","164.00888","6.39903055555556","6.69903055555556","17177"
"","OxPE(10:0_10:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(10:0_10:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(10:0_10:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(10:0_10:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(10:0_10:1(CHO))+Na",0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxPE(10:0_10:1(CHO))+Na","558.2802778","515.2380778","417.2611835","343.0918778","331.1282578","164.00888","5.61840833333333","5.91840833333333","8166"
"","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"1.82909166666667","2.12909166666667","7873","","OxPE(10:0_12:1(CHO))+Na","586.3115778","543.2693778","445.2924835","371.1231778","331.1282578","164.00888","1.82909166666667","2.12909166666667","7873"
"","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(10:0_12:1(CHO))+Na",0,0,0,0,0,0,"6.81816944444444","7.11816944444444","10654","","OxPE(10:0_12:1(CHO))+Na","586.3115778","543.2693778","445.2924835","371.1231778","331.1282578","164.00888","6.81816944444444","7.11816944444444","10654"
"","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"7.18054444444445","7.48054444444445","3574","","OxPE(10:0_12:2(CHO))+Na","584.2959278","541.2537278","443.2768335","369.1075278","331.1282578","164.00888","7.18054444444445","7.48054444444445","3574"
"","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(10:0_12:2(CHO))+Na",0,0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxPE(10:0_12:2(CHO))+Na","584.2959278","541.2537278","443.2768335","369.1075278","331.1282578","164.00888","6.06621666666667","6.36621666666667","3840"
"","OxPE(10:0_13:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(10:0_13:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(10:0_13:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(10:0_13:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(10:0_13:1(CHO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxPE(10:0_13:1(CHO))+Na","600.3272278","557.2850278","459.3081335","385.1388278","331.1282578","164.00888","1.025275","1.325275","4678"
"","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.35598888888889","1.65598888888889","2208","","OxPE(10:0_14:1(CHO))+Na","614.3428778","571.3006778","473.3237835","399.1544778","331.1282578","164.00888","1.35598888888889","1.65598888888889","2208"
"","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(10:0_14:1(CHO))+Na",0,0,0,0,0,0,"1.83176388888889","2.13176388888889","7681","","OxPE(10:0_14:1(CHO))+Na","614.3428778","571.3006778","473.3237835","399.1544778","331.1282578","164.00888","1.83176388888889","2.13176388888889","7681"
"","OxPE(10:0_14:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(10:0_14:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(10:0_14:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(10:0_14:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(10:0_14:3(CHO))+Na",0,0,0,0,0,0,"0.588433333333333","0.888433333333333","4970","","OxPE(10:0_14:3(CHO))+Na","610.3115778","567.2693778","469.2924835","395.1231778","331.1282578","164.00888","0.588433333333333","0.888433333333333","4970"
"","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxPE(10:0_15:1(CHO))+Na","628.3585278","585.3163278","487.3394335","413.1701278","331.1282578","164.00888","1.55190416666667","1.85190416666667","3698"
"","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPE(10:0_15:1(CHO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxPE(10:0_15:1(CHO))+Na","628.3585278","585.3163278","487.3394335","413.1701278","331.1282578","164.00888","1.80304166666667","2.10304166666667","4860"
"","OxPE(10:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPE(10:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPE(10:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPE(10:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPE(10:0_16:1(CHO))+Na",0,0,0,0,0,0,"1.87316666666667","2.17316666666667","17548","","OxPE(10:0_16:1(CHO))+Na","642.3741778","599.3319778","501.3550835","427.1857778","331.1282578","164.00888","1.87316666666667","2.17316666666667","17548"
