"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NDS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"4.94340138888889","5.24340138888889","2663","","GlcCer_NDS(d16:0/18:2)+H","698.55655","536.50375","518.49315","500.48255","256.26295","238.25235","280.26295","226.25235","4.94340138888889","5.24340138888889","2663"
"","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.1868696969697","5.4868696969697","5264","","GlcCer_NDS(d16:0/18:2)+H","698.55655","536.50375","518.49315","500.48255","256.26295","238.25235","280.26295","226.25235","5.1868696969697","5.4868696969697","5264"
"","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NDS(d16:0/18:2)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NDS(d16:0/18:2)+H","698.55655","536.50375","518.49315","500.48255","256.26295","238.25235","280.26295","226.25235","5.19360416666667","5.49360416666667","13084"
"","GlcCer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NDS(d16:0/18:4)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NDS(d16:0/18:4)+H","694.52525","532.47245","514.46185","496.45125","256.26295","238.25235","276.23165","226.25235","5.01845277777778","5.31845277777778","2815"
"","GlcCer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NDS(d16:0/19:1)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NDS(d16:0/19:1)+H","714.58785","552.53505","534.52445","516.51385","256.26295","238.25235","296.29425","226.25235","8.68942916666667","8.98942916666667","8501"
"","GlcCer_NDS(d16:0/20:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NDS(d16:0/20:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NDS(d16:0/20:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NDS(d16:0/20:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NDS(d16:0/20:1)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NDS(d16:0/20:1)+H","728.60355","566.55065","548.54005","530.52955","256.26295","238.25235","310.30995","226.25235","7.61792777777778","7.91792777777778","2666"
"","GlcCer_NDS(d16:0/20:4)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NDS(d16:0/20:4)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NDS(d16:0/20:4)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NDS(d16:0/20:4)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NDS(d16:0/20:4)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NDS(d16:0/20:4)+H","722.55655","560.50375","542.49315","524.48255","256.26295","238.25235","304.26295","226.25235","6.823525","7.123525","15453"
"","GlcCer_NDS(d16:0/21:1)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NDS(d16:0/21:1)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NDS(d16:0/21:1)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NDS(d16:0/21:1)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NDS(d16:0/21:1)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NDS(d16:0/21:1)+H","742.61915","580.56625","562.55575","544.54515","256.26295","238.25235","324.32555","226.25235","8.8761375","9.1761375","10938"
"","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NDS(d16:0/21:2)+H","740.60355","578.55065","560.54005","542.52955","256.26295","238.25235","322.30995","226.25235","8.22855","8.52855","16313"
"","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NDS(d16:0/21:2)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NDS(d16:0/21:2)+H","740.60355","578.55065","560.54005","542.52955","256.26295","238.25235","322.30995","226.25235","0.251683333333333","0.551683333333333","17170"
