"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","RT at Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Number of Scans","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Max Intensity","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Average m/z","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","TG","[M+Na]+","NL sn1+Na","NL sn2+Na","NL sn3+Na","RT_min","RT_max","Comment"
"","TG(14:0_14:0_14:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(14:0_14:0_14:1)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(14:0_14:0_14:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(14:0_14:0_14:1)+Na"," 567037.6","  7722.5070","  7722.5070","  1014.2830","11.8747236111111","12.1747236111111","948","","TG(14:0_14:0_14:1)+Na","743.6177","515.4089","515.4089","517.4245","11.8747236111111","12.1747236111111","948","","TG(14:0_14:0_14:1)+Na","743.6160404","515.4072464","515.4072464","517.4228464","11.8747236111111","12.1747236111111","948"
"","TG(12:0_12:0_18:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_12:0_18:1)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(12:0_12:0_18:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_12:0_18:1)+Na"," 567037.6"," 16460.0000"," 16460.0000"," 19389.9000","11.8747236111111","12.1747236111111","948","","TG(12:0_12:0_18:1)+Na","743.6177","543.4398","543.4398","461.3613","11.8747236111111","12.1747236111111","948","","TG(12:0_12:0_18:1)+Na","743.6160404","543.4385464","543.4385464","461.3602464","11.8747236111111","12.1747236111111","948"
"","TG(12:0_14:1_16:0)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_14:1_16:0)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(12:0_14:1_16:0)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_14:1_16:0)+Na"," 567037.6"," 16460.0000","  1014.2830"," 12571.6200","11.8747236111111","12.1747236111111","948","","TG(12:0_14:1_16:0)+Na","743.6177","543.4398","517.4245","487.3772","11.8747236111111","12.1747236111111","948","","TG(12:0_14:1_16:0)+Na","743.6160404","543.4385464","517.4228464","487.3759464","11.8747236111111","12.1747236111111","948"
"","TG(12:0_14:0_16:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_14:0_16:1)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(12:0_14:0_16:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(12:0_14:0_16:1)+Na"," 567037.6"," 16460.0000","  7722.5070","  4085.4230","11.8747236111111","12.1747236111111","948","","TG(12:0_14:0_16:1)+Na","743.6177","543.4398","515.4089","489.3922","11.8747236111111","12.1747236111111","948","","TG(12:0_14:0_16:1)+Na","743.6160404","543.4385464","515.4072464","489.3915464","11.8747236111111","12.1747236111111","948"
"","TG(10:0_14:0_18:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(10:0_14:0_18:1)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(10:0_14:0_18:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(10:0_14:0_18:1)+Na"," 567037.6","  6766.7730","  7722.5070"," 19389.9000","11.8747236111111","12.1747236111111","948","","TG(10:0_14:0_18:1)+Na","743.6177","571.4713","515.4089","461.3613","11.8747236111111","12.1747236111111","948","","TG(10:0_14:0_18:1)+Na","743.6160404","571.4698464","515.4072464","461.3602464","11.8747236111111","12.1747236111111","948"
"","TG(10:0_16:0_16:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(10:0_16:0_16:1)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(10:0_16:0_16:1)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(10:0_16:0_16:1)+Na"," 567037.6","  6766.7730"," 12571.6200","  4085.4230","11.8747236111111","12.1747236111111","948","","TG(10:0_16:0_16:1)+Na","743.6177","571.4713","487.3772","489.3922","11.8747236111111","12.1747236111111","948","","TG(10:0_16:0_16:1)+Na","743.6160404","571.4698464","487.3759464","489.3915464","11.8747236111111","12.1747236111111","948"
"","TG(16:0_18:1_8:0)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(16:0_18:1_8:0)+Na","12.061170","12.06117","12.06117","12.06117","11.8747236111111","12.1747236111111","948","","TG(16:0_18:1_8:0)+Na","1","1","1","1","11.8747236111111","12.1747236111111","948","","TG(16:0_18:1_8:0)+Na"," 567037.6"," 12571.6200"," 19389.9000","  5422.6500","11.8747236111111","12.1747236111111","948","","TG(16:0_18:1_8:0)+Na","743.6177","487.3772","461.3613","599.5025","11.8747236111111","12.1747236111111","948","","TG(16:0_18:1_8:0)+Na","743.6160404","487.3759464","461.3602464","599.5011464","11.8747236111111","12.1747236111111","948"
"","TG(12:0_14:0_18:2)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(12:0_14:0_18:2)+Na","12.140320","12.14032","12.14032","12.14032","11.9743972222222","12.2743972222222","741","","TG(12:0_14:0_18:2)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(12:0_14:0_18:2)+Na"," 994725.6"," 16431.2100"," 18199.3300"," 33148.5400","11.9743972222222","12.2743972222222","741","","TG(12:0_14:0_18:2)+Na","769.6335","569.4557","541.4245","489.3929","11.9743972222222","12.2743972222222","741","","TG(12:0_14:0_18:2)+Na","769.6316404","569.4541464","541.4228464","489.3915464","11.9743972222222","12.2743972222222","741"
"","TG(10:0_16:0_18:2)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(10:0_16:0_18:2)+Na","12.140320","12.14032","12.14032","12.14032","11.9743972222222","12.2743972222222","741","","TG(10:0_16:0_18:2)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(10:0_16:0_18:2)+Na"," 994725.6"," 18401.3000"," 22722.1700"," 33148.5400","11.9743972222222","12.2743972222222","741","","TG(10:0_16:0_18:2)+Na","769.6335","597.4871","513.3931","489.3929","11.9743972222222","12.2743972222222","741","","TG(10:0_16:0_18:2)+Na","769.6316404","597.4854464","513.3915464","489.3915464","11.9743972222222","12.2743972222222","741"
"","TG(12:0_16:1_16:1)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(12:0_16:1_16:1)+Na","12.140320","12.14032","12.14032","12.14032","11.9743972222222","12.2743972222222","741","","TG(12:0_16:1_16:1)+Na","1","1","1","1","11.9743972222222","12.2743972222222","741","","TG(12:0_16:1_16:1)+Na"," 994725.6"," 16431.2100","  2284.9490","  2284.9490","11.9743972222222","12.2743972222222","741","","TG(12:0_16:1_16:1)+Na","769.6335","569.4557","515.4090","515.4090","11.9743972222222","12.2743972222222","741","","TG(12:0_16:1_16:1)+Na","769.6317404","569.4542464","515.4072464","515.4072464","11.9743972222222","12.2743972222222","741"
