"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Number of Scans","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Average m/z","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment"
"","OxTG(18:0_18:2_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:2(OH))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:2(OH))+NH4","     0.000","  3669.0030","  7129.6810"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:2(OH))+NH4","  0.0000","615.4994","619.5291","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:2(OH))+NH4","916.7963904","615.4983164","619.5296164","603.5346764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:1_14:0(CHO))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4"," 0.000000","12.795100","12.795100","12.795100","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","     0.000","  5726.2610","  5726.2610"," 93736.020","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","  0.0000","563.4686","563.4686","603.5369","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:0(CHO))+NH4","862.7495304","563.4670564","563.4670564","603.5347764","12.7495875","13.0495875","15937"
"","OxTG(18:1_18:1_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","     0.000"," 12389.7400"," 12389.7400"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","  0.0000","617.5154","617.5154","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:2(OH))+NH4","916.7964904","617.5140164","617.5140164","603.5347764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:2_18:2(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","     0.000","  5017.7840","  4163.9160","122151.700","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","  0.0000","615.4996","617.5138","601.5201","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:2(OH))+NH4","914.7807904","615.4983164","617.5140164","601.5190764","12.9613541666667","13.2613541666667","881"
"","OxTG(14:0_18:0_18:1(OH))+NH4","0","1","1","1","12.2454363636364","12.5454363636364","11387","","OxTG(14:0_18:0_18:1(OH))+NH4"," 0.000000","12.447070","12.447070","12.447070","12.2454363636364","12.5454363636364","11387","","OxTG(14:0_18:0_18:1(OH))+NH4","0","1","2","2","12.2454363636364","12.5454363636364","11387","","OxTG(14:0_18:0_18:1(OH))+NH4","     0.000","  1001.9060","  4278.0050"," 24150.680","12.2454363636364","12.5454363636364","11387","","OxTG(14:0_18:0_18:1(OH))+NH4","  0.0000","621.5447","565.4851","551.5053","12.2454363636364","12.5454363636364","11387","","OxTG(14:0_18:0_18:1(OH))+NH4","866.7807504","621.5452764","565.4826764","551.5033764","12.2454363636364","12.5454363636364","11387"
"","OxTG(14:0_18:1_18:1(Ke))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","0","1","2","1","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","     0.000","  1014.9700","  5726.2610"," 25206.860","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","  0.0000","617.5144","563.4686","549.4900","12.7495875","13.0495875","15937","","OxTG(14:0_18:1_18:1(Ke))+NH4","862.7495504","617.5140764","563.4670764","549.4877764","12.7495875","13.0495875","15937"
"","OxTG(14:0_18:2_16:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4"," 0.000000","10.848150","10.848150","10.848150","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","0","1","1","1","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","     0.000","  1031.9360","  4252.1490","  1127.503","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","  0.0000","589.4840","537.4529","547.4736","10.5693","10.8693","7124","","OxTG(14:0_18:2_16:1(OH))+NH4","834.7181504","589.4826764","537.4513764","547.4720764","10.5693","10.8693","7124"
"","OxTG(16:0_16:0_18:1(OH))+NH4","0","1","1","1","12.2454363636364","12.5454363636364","11387","","OxTG(16:0_16:0_18:1(OH))+NH4"," 0.000000","12.447070","12.447070","12.447070","12.2454363636364","12.5454363636364","11387","","OxTG(16:0_16:0_18:1(OH))+NH4","0","2","2","2","12.2454363636364","12.5454363636364","11387","","OxTG(16:0_16:0_18:1(OH))+NH4","     0.000"," 28607.2300"," 28607.2300"," 24150.680","12.2454363636364","12.5454363636364","11387","","OxTG(16:0_16:0_18:1(OH))+NH4","  0.0000","593.5149","593.5149","551.5053","12.2454363636364","12.5454363636364","11387","","OxTG(16:0_16:0_18:1(OH))+NH4","866.7807504","593.5139764","593.5139764","551.5033764","12.2454363636364","12.5454363636364","11387"
"","OxTG(16:0_16:0_18:3(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4"," 0.000000","12.912660","12.912660","12.795100","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","0","2","2","1","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","     0.000","  5332.6070","  5332.6070","  1208.032","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","  0.0000","589.4851","589.4851","551.5060","12.7495875","13.0495875","15937","","OxTG(16:0_16:0_18:3(OH))+NH4","862.7494504","589.4826764","589.4826764","551.5033764","12.7495875","13.0495875","15937"
"","OxTG(16:0_16:0_16:1(Ke))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4"," 0.000000","12.737800","12.737800","12.737800","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","0","1","1","1","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","     0.000","  1309.6150","  1309.6150","  1018.690","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","  0.0000","563.4692","563.4692","551.5057","12.647975","12.947975","2259","","OxTG(16:0_16:0_16:1(Ke))+NH4","836.7338504","563.4670764","563.4670764","551.5033764","12.647975","12.947975","2259"
