"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Number of Scans","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Max Intensity","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Average m/z","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxTG","[M+NH4]+","NL_R1COOH","NL_R2COOH","NL_R3COOH","RT_min","RT_max","Comment"
"","OxTG(16:0_18:2_18:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","     0.000","  3654.4700","  1119.6430"," 27769.580","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","  0.0000","617.5144","593.5154","575.5043","13.3667013888889","13.6667013888889","2095","","OxTG(16:0_18:2_18:1(OH))+NH4","890.7807504","617.5139764","593.5139764","575.5033764","13.3667013888889","13.6667013888889","2095"
"","OxTG(16:0_18:2_20:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:2_20:1(OH))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:2_20:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:2_20:1(OH))+NH4","     0.000","  9235.4060","  7602.5190"," 37258.830","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:2_20:1(OH))+NH4","  0.0000","645.5462","621.5464","575.5051","12.6838541666667","12.9838541666667","1968","","OxTG(16:0_18:2_20:1(OH))+NH4","918.8120504","645.5452764","621.5452764","575.5033764","12.6838541666667","12.9838541666667","1968"
"","OxTG(16:1_16:1_18:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4"," 0.000000","12.912660","12.912660","12.912660","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","0","1","1","2","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","     0.000","  1041.2340","  1041.2340","  6250.901","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","  0.0000","591.5004","591.5004","547.4739","12.7495875","13.0495875","15937","","OxTG(16:1_16:1_18:1(OH))+NH4","862.7495504","591.4983764","591.4983764","547.4721764","12.7495875","13.0495875","15937"
"","OxTG(16:1_18:0_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","  2363.071","  1463.0670","  2495.6280"," 89051.770","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","890.7828","619.5306","589.4838","577.5210","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:0_18:1(Ke))+NH4","890.7808504","619.5296764","589.4827764","577.5190764","11.6719305555556","11.9719305555556","1419"
"","OxTG(16:1_18:1_16:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4"," 0.000000","12.912660","12.795100","12.912660","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","0","1","2","2","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","     0.000","  1041.2340","  5726.2610","151248.800","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","  0.0000","591.5004","563.4686","575.5054","12.7495875","13.0495875","15937","","OxTG(16:1_18:1_16:1(OH))+NH4","862.7495504","591.4983764","563.4670764","575.5034764","12.7495875","13.0495875","15937"
"","OxTG(16:1_18:1_18:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","  2363.071","  1463.0670"," 15574.6100"," 44125.820","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","890.7828","619.5306","591.5010","575.5052","11.6719305555556","11.9719305555556","1419","","OxTG(16:1_18:1_18:1(OH))+NH4","890.7808504","619.5296764","591.4983764","575.5034764","11.6719305555556","11.9719305555556","1419"
"","OxTG(18:0_18:1_16:1(OH))+NH4","0","1","1","1","12.2511196969697","12.5511196969697","14279","","OxTG(18:0_18:1_16:1(OH))+NH4"," 0.000000","12.488940","12.488940","12.368770","12.2511196969697","12.5511196969697","14279","","OxTG(18:0_18:1_16:1(OH))+NH4","0","1","2","1","12.2511196969697","12.5511196969697","14279","","OxTG(18:0_18:1_16:1(OH))+NH4","     0.000","  7350.5590"," 39073.2700","  3684.203","12.2511196969697","12.5511196969697","14279","","OxTG(18:0_18:1_16:1(OH))+NH4","  0.0000","591.5012","593.5138","605.5477","12.2511196969697","12.5511196969697","14279","","OxTG(18:0_18:1_16:1(OH))+NH4","892.7964504","591.4983764","593.5139764","605.5503764","12.2511196969697","12.5511196969697","14279"
"","OxTG(18:0_18:1_18:1(Ke))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:1_18:1(Ke))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:1_18:1(Ke))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:1_18:1(Ke))+NH4","     0.000"," 13125.4400","107944.6000","  8525.870","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:1_18:1(Ke))+NH4","  0.0000","617.5165","619.5316","605.5530","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:1_18:1(Ke))+NH4","918.8121504","617.5140764","619.5296764","605.5503764","12.6838541666667","12.9838541666667","1968"
"","OxTG(18:0_18:2_18:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:2_18:1(OH))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:2_18:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:2_18:1(OH))+NH4","     0.000"," 13125.4400","  7602.5190"," 50505.230","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:2_18:1(OH))+NH4","  0.0000","617.5165","621.5464","603.5367","12.6838541666667","12.9838541666667","1968","","OxTG(18:0_18:2_18:1(OH))+NH4","918.8120504","617.5139764","621.5452764","603.5346764","12.6838541666667","12.9838541666667","1968"
"","OxTG(18:0_18:2_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","     0.000","  3669.0030","  7129.6810"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","  0.0000","615.4994","619.5291","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:0_18:2_18:1(Ke))+NH4","916.7964504","615.4983764","619.5296764","603.5346764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:1_14:1(OH))+NH4","0","1","1","1","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4"," 0.000000","12.795100","12.795100","12.795100","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","0","2","2","2","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","     0.000","  5726.2610","  5726.2610"," 93736.020","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","  0.0000","563.4686","563.4686","603.5369","12.7495875","13.0495875","15937","","OxTG(18:1_18:1_14:1(OH))+NH4","862.7495504","563.4670764","563.4670764","603.5347764","12.7495875","13.0495875","15937"
"","OxTG(18:1_18:1_16:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","11.824000","11.824000","11.824000","11.824000","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","1","1","1","1","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","  2363.071"," 15574.6100"," 15574.6100"," 10986.950","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7828","591.5010","591.5010","603.5361","11.6719305555556","11.9719305555556","1419","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7808504","591.4983764","591.4983764","603.5347764","11.6719305555556","11.9719305555556","1419"
"","OxTG(18:1_18:1_16:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4"," 0.000000","13.450280","13.450280","13.450280","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","0","1","1","1","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","     0.000","  7051.8270","  7051.8270","139117.500","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","  0.0000","591.4992","591.4992","603.5357","13.3667013888889","13.6667013888889","2095","","OxTG(18:1_18:1_16:1(OH))+NH4","890.7808504","591.4983764","591.4983764","603.5347764","13.3667013888889","13.6667013888889","2095"
"","OxTG(18:1_18:1_18:1(OH))+NH4","1","1","1","1","12.0553930555556","12.3553930555556","1834","","OxTG(18:1_18:1_18:1(OH))+NH4","12.306990","12.306990","12.306990","12.306990","12.0553930555556","12.3553930555556","1834","","OxTG(18:1_18:1_18:1(OH))+NH4","1","1","1","1","12.0553930555556","12.3553930555556","1834","","OxTG(18:1_18:1_18:1(OH))+NH4","  1221.371"," 14243.7000"," 14243.7000"," 28732.840","12.0553930555556","12.3553930555556","1834","","OxTG(18:1_18:1_18:1(OH))+NH4","918.8104","619.5278","619.5278","603.5366","12.0553930555556","12.3553930555556","1834","","OxTG(18:1_18:1_18:1(OH))+NH4","918.8121504","619.5296764","619.5296764","603.5347764","12.0553930555556","12.3553930555556","1834"
"","OxTG(18:1_18:1_18:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:1_18:1_18:1(OH))+NH4"," 0.000000","12.732610","12.732610","12.732610","12.6838541666667","12.9838541666667","1968","","OxTG(18:1_18:1_18:1(OH))+NH4","0","1","1","1","12.6838541666667","12.9838541666667","1968","","OxTG(18:1_18:1_18:1(OH))+NH4","     0.000","107944.6000","107944.6000"," 50505.230","12.6838541666667","12.9838541666667","1968","","OxTG(18:1_18:1_18:1(OH))+NH4","  0.0000","619.5316","619.5316","603.5367","12.6838541666667","12.9838541666667","1968","","OxTG(18:1_18:1_18:1(OH))+NH4","918.8121504","619.5296764","619.5296764","603.5347764","12.6838541666667","12.9838541666667","1968"
"","OxTG(18:1_18:1_18:3(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","     0.000","  5017.7840","  5017.7840"," 96565.950","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","  0.0000","615.4996","615.4996","603.5358","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:3(OH))+NH4","914.7808504","615.4983764","615.4983764","603.5347764","12.9613541666667","13.2613541666667","881"
"","OxTG(18:1_18:1_20:2(OH))+NH4","0","1","1","1","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:2(OH))+NH4"," 0.000000","12.574980","12.574980","12.574980","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:2(OH))+NH4","0","1","1","1","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:2(OH))+NH4","     0.000","  1394.2240","  1394.2240","  1571.568","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:2(OH))+NH4","  0.0000","645.5456","645.5456","603.5359","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:2(OH))+NH4","944.8277504","645.5452764","645.5452764","603.5347764","12.2782222222222","12.5782222222222","9580"
"","OxTG(18:1_18:1_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","     0.000"," 12389.7400"," 12389.7400"," 37244.760","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","  0.0000","617.5154","617.5154","603.5369","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:1_18:1(Ke))+NH4","916.7965504","617.5140764","617.5140764","603.5347764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:1_18:2(Ke))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:2(Ke))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:2(Ke))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:2(Ke))+NH4","     0.000","  5017.7840","  5017.7840"," 96565.950","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:2(Ke))+NH4","  0.0000","615.4996","615.4996","603.5358","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:1_18:2(Ke))+NH4","914.7808504","615.4983764","615.4983764","603.5347764","12.9613541666667","13.2613541666667","881"
"","OxTG(18:1_18:1_20:1(Ke))+NH4","0","1","1","1","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:1(Ke))+NH4"," 0.000000","12.574980","12.574980","12.574980","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:1(Ke))+NH4","0","1","1","1","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:1(Ke))+NH4","     0.000","  1394.2240","  1394.2240","  1571.568","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:1(Ke))+NH4","  0.0000","645.5456","645.5456","603.5359","12.2782222222222","12.5782222222222","9580","","OxTG(18:1_18:1_20:1(Ke))+NH4","944.8278504","645.5453764","645.5453764","603.5347764","12.2782222222222","12.5782222222222","9580"
"","OxTG(18:1_18:2_18:1(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:2_18:1(OH))+NH4"," 0.000000","11.818810","11.818810","11.818810","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:2_18:1(OH))+NH4","0","1","1","1","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:2_18:1(OH))+NH4","     0.000"," 12389.7400","  7129.6810"," 26057.440","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:2_18:1(OH))+NH4","  0.0000","617.5154","619.5291","601.5212","11.7097694444444","12.0097694444444","9205","","OxTG(18:1_18:2_18:1(OH))+NH4","916.7964504","617.5139764","619.5296764","601.5190764","11.7097694444444","12.0097694444444","9205"
"","OxTG(18:1_18:2_18:1(Ke))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:1(Ke))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:1(Ke))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:1(Ke))+NH4","     0.000","  5017.7840","  4163.9160","122151.700","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:1(Ke))+NH4","  0.0000","615.4996","617.5138","601.5201","12.9613541666667","13.2613541666667","881","","OxTG(18:1_18:2_18:1(Ke))+NH4","914.7808504","615.4983764","617.5140764","601.5190764","12.9613541666667","13.2613541666667","881"
"","OxTG(18:2_18:2_18:1(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:2_18:2_18:1(OH))+NH4"," 0.000000","13.025200","13.025200","13.025200","12.9613541666667","13.2613541666667","881","","OxTG(18:2_18:2_18:1(OH))+NH4","0","1","1","1","12.9613541666667","13.2613541666667","881","","OxTG(18:2_18:2_18:1(OH))+NH4","     0.000","  4163.9160","  4163.9160"," 20004.270","12.9613541666667","13.2613541666667","881","","OxTG(18:2_18:2_18:1(OH))+NH4","  0.0000","617.5138","617.5138","599.5043","12.9613541666667","13.2613541666667","881","","OxTG(18:2_18:2_18:1(OH))+NH4","914.7807504","617.5139764","617.5139764","599.5033764","12.9613541666667","13.2613541666667","881"
