"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","M+H","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(P-16:0/22:5)+H","1","1","1","0","1","0","0","0","0","1","6.52925277777778","6.82925277777778","269","","Plasmenyl-PC(P-16:0/22:5)+H"," 6.658233"," 6.658233"," 6.785774","0.000000"," 6.785774"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.658233","6.52925277777778","6.82925277777778","269","","Plasmenyl-PC(P-16:0/22:5)+H","2","1","1","0","1","0","0","0","0","2","6.52925277777778","6.82925277777778","269","","Plasmenyl-PC(P-16:0/22:5)+H"," 794700.200","  5690.4320","  7881.1050","    0.0000"," 4217.9030","   0.000","  0.0000","     0.0000","    0.000","7.229446e+06","6.52925277777778","6.82925277777778","269","","Plasmenyl-PC(P-16:0/22:5)+H","792.5914","609.5258","552.3467","  0.0000","480.3458","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","6.52925277777778","6.82925277777778","269","","Plasmenyl-PC(P-16:0/22:5)+H","792.5901976","609.5241576","552.3450326","493.2715326","480.3449176","462.3343576","570.35549","387.28943","313.2532","184.07332","6.52925277777778","6.82925277777778","269"
"","Plasmenyl-PC(P-16:0/22:6)+H","1","0","1","1","1","0","0","1","0","1","6.30967083333333","6.60967083333333","372","","Plasmenyl-PC(P-16:0/22:6)+H"," 6.418835"," 0.000000"," 6.418835","6.418835"," 6.418835"," 0.000000","0.000000"," 6.418835"," 0.000000"," 6.418835","6.30967083333333","6.60967083333333","372","","Plasmenyl-PC(P-16:0/22:6)+H","2","0","2","1","2","0","0","2","0","2","6.30967083333333","6.60967083333333","372","","Plasmenyl-PC(P-16:0/22:6)+H"," 348629.400","     0.0000"," 28005.8000"," 2757.2680","14450.8900","   0.000","  0.0000","  3127.6560","    0.000","3.355849e+06","6.30967083333333","6.60967083333333","372","","Plasmenyl-PC(P-16:0/22:6)+H","790.5759","  0.0000","550.3302","491.2568","480.3461","  0.0000","  0.0000","385.2745","  0.0000","184.0736","6.30967083333333","6.60967083333333","372","","Plasmenyl-PC(P-16:0/22:6)+H","790.5744976","607.5084576","550.3293326","491.2558326","480.3449176","462.3343576","568.33979","385.27373","311.2375","184.07332","6.30967083333333","6.60967083333333","372"
"","Plasmenyl-PC(P-16:0/22:6)+H","1","0","1","0","1","0","0","0","0","1","6.45377833333333","6.75377833333333","9272","","Plasmenyl-PC(P-16:0/22:6)+H"," 6.535892"," 0.000000"," 6.535892","0.000000"," 6.535892"," 0.000000","0.000000"," 6.535892"," 0.000000"," 6.535892","6.45377833333333","6.75377833333333","9272","","Plasmenyl-PC(P-16:0/22:6)+H","1","0","1","0","1","0","0","1","0","1","6.45377833333333","6.75377833333333","9272","","Plasmenyl-PC(P-16:0/22:6)+H"," 122534.900","     0.0000","  8203.3480","    0.0000"," 4174.7930","   0.000","  0.0000","   665.6946","    0.000","1.000895e+06","6.45377833333333","6.75377833333333","9272","","Plasmenyl-PC(P-16:0/22:6)+H","790.5761","  0.0000","550.3300","  0.0000","480.3465","  0.0000","  0.0000","385.2743","  0.0000","184.0737","6.45377833333333","6.75377833333333","9272","","Plasmenyl-PC(P-16:0/22:6)+H","790.5744976","607.5084576","550.3293326","491.2558326","480.3449176","462.3343576","568.33979","385.27373","311.2375","184.07332","6.45377833333333","6.75377833333333","9272"
"","Plasmenyl-PC(P-16:1/18:0)+H","1","0","0","0","1","0","0","1","1","1","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:1/18:0)+H"," 8.027212"," 0.000000"," 7.892835","0.000000"," 7.892835"," 0.000000","0.000000"," 8.027212"," 8.027212"," 8.027212","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:1/18:0)+H","4","0","1","0","2","0","0","3","4","4","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:1/18:0)+H"," 877574.100","     0.0000","   894.0980","    0.0000"," 2771.8790","   0.000","  0.0000"," 59721.9000","88387.630","7.966249e+06","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:1/18:0)+H","744.5906","  0.0000","506.3612","  0.0000","478.3302","  0.0000","  0.0000","341.3052","267.2685","184.0735","7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(P-16:1/18:0)+H","744.5901976","561.5241576","506.3606326","447.2871326","478.3293176","460.3187576","524.37109","341.30503","267.2688","184.07332","7.82195138888889","8.12195138888889","162"
"","Plasmenyl-PC(P-18:0/15:1)+H","1","0","1","0","0","0","0","0","0","1","9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-18:0/15:1)+H"," 9.373480"," 0.000000"," 9.373480","0.000000"," 0.000000"," 0.000000","0.000000"," 0.000000"," 0.000000"," 9.373480","9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-18:0/15:1)+H","1","0","1","0","0","0","0","0","0","1","9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-18:0/15:1)+H","   7793.215","     0.0000","  5542.7310","    0.0000","    0.0000","   0.000","  0.0000","     0.0000","    0.000","2.778627e+03","9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-18:0/15:1)+H","730.5742","  0.0000","462.2987","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","184.0735","9.20176666666667","9.50176666666667","1235","","Plasmenyl-PC(P-18:0/15:1)+H","730.5744976","547.5084576","462.2980326","403.2245326","508.3762176","490.3656576","480.30849","297.24243","223.2062","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmenyl-PC(P-18:0/16:0)+H","1","1","1","1","1","1","0","1","0","1","7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(P-18:0/16:0)+H"," 8.120220"," 8.120220"," 8.120220","8.120220"," 8.120220"," 8.120220","0.000000"," 8.239155"," 0.000000"," 8.120220","7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(P-18:0/16:0)+H","2","2","1","1","2","1","0","1","0","2","7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(P-18:0/16:0)+H","2061740.000"," 15174.9100","  1646.8260"," 1421.5530","36419.7800","1615.113","  0.0000","  1015.5700","    0.000","2.005751e+07","7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(P-18:0/16:0)+H","746.6059","563.5403","478.3295","419.2559","508.3764","490.3636","  0.0000","313.2737","  0.0000","184.0734","7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(P-18:0/16:0)+H","746.6057976","563.5397576","478.3293326","419.2558326","508.3762176","490.3656576","496.33979","313.27373","239.2375","184.07332","7.97837916666667","8.27837916666667","130"
"","Plasmenyl-PC(P-18:0/18:1)+H","1","0","1","0","1","0","0","0","0","1","8.91349027777778","9.21349027777778","837","","Plasmenyl-PC(P-18:0/18:1)+H"," 9.050057"," 0.000000"," 9.050057","9.050057"," 9.050057"," 0.000000","0.000000"," 0.000000"," 0.000000"," 9.050057","8.91349027777778","9.21349027777778","837","","Plasmenyl-PC(P-18:0/18:1)+H","1","0","1","1","1","0","0","0","0","1","8.91349027777778","9.21349027777778","837","","Plasmenyl-PC(P-18:0/18:1)+H"," 228254.600","     0.0000"," 14346.0100","  983.6043"," 6108.8280","   0.000","  0.0000","     0.0000","    0.000","1.662145e+06","8.91349027777778","9.21349027777778","837","","Plasmenyl-PC(P-18:0/18:1)+H","772.6237","  0.0000","504.3465","445.2722","508.3787","  0.0000","  0.0000","  0.0000","  0.0000","184.0739","8.91349027777778","9.21349027777778","837","","Plasmenyl-PC(P-18:0/18:1)+H","772.6214976","589.5554576","504.3450326","445.2715326","508.3762176","490.3656576","522.35549","339.28943","265.2532","184.07332","8.91349027777778","9.21349027777778","837"
"","Plasmenyl-PC(P-18:0/18:2)+H","1","1","1","0","1","1","0","0","0","1","7.12425","7.42425","174","","Plasmenyl-PC(P-18:0/18:2)+H"," 7.265408"," 7.265408"," 7.265408","0.000000"," 7.265408"," 7.265408","0.000000"," 0.000000"," 0.000000"," 7.265408","7.12425","7.42425","174","","Plasmenyl-PC(P-18:0/18:2)+H","1","1","1","0","1","1","0","0","0","1","7.12425","7.42425","174","","Plasmenyl-PC(P-18:0/18:2)+H","1512065.000","  9411.6570","  4989.8240","    0.0000","32739.3400","1374.606","  0.0000","     0.0000","    0.000","1.480294e+07","7.12425","7.42425","174","","Plasmenyl-PC(P-18:0/18:2)+H","770.6057","587.5403","502.3297","  0.0000","508.3765","490.3663","  0.0000","  0.0000","  0.0000","184.0733","7.12425","7.42425","174","","Plasmenyl-PC(P-18:0/18:2)+H","770.6057976","587.5397576","502.3293326","443.2558326","508.3762176","490.3656576","520.33979","337.27373","263.2375","184.07332","7.12425","7.42425","174"
"","Plasmenyl-PC(P-18:0/18:2)+H","1","0","1","1","1","0","0","0","0","1","8.04894027777778","8.34894027777778","213","","Plasmenyl-PC(P-18:0/18:2)+H"," 8.274826"," 0.000000"," 8.274826","8.274826"," 8.274826"," 0.000000","0.000000"," 0.000000"," 0.000000"," 8.274826","8.04894027777778","8.34894027777778","213","","Plasmenyl-PC(P-18:0/18:2)+H","1","0","1","1","1","0","0","0","0","1","8.04894027777778","8.34894027777778","213","","Plasmenyl-PC(P-18:0/18:2)+H"," 503513.800","     0.0000"," 32072.6800"," 3592.6460","15033.9300","   0.000","  0.0000","     0.0000","    0.000","3.977707e+06","8.04894027777778","8.34894027777778","213","","Plasmenyl-PC(P-18:0/18:2)+H","770.6063","  0.0000","502.3296","443.2558","508.3767","  0.0000","  0.0000","  0.0000","  0.0000","184.0735","8.04894027777778","8.34894027777778","213","","Plasmenyl-PC(P-18:0/18:2)+H","770.6057976","587.5397576","502.3293326","443.2558326","508.3762176","490.3656576","520.33979","337.27373","263.2375","184.07332","8.04894027777778","8.34894027777778","213"
"","Plasmenyl-PC(P-18:0/18:2)+H","1","1","0","0","1","0","0","0","0","1","7.39550694444444","7.69550694444444","356","","Plasmenyl-PC(P-18:0/18:2)+H"," 7.546336"," 7.546336"," 0.000000","0.000000"," 7.546336"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.546336","7.39550694444444","7.69550694444444","356","","Plasmenyl-PC(P-18:0/18:2)+H","1","1","0","0","1","0","0","0","0","1","7.39550694444444","7.69550694444444","356","","Plasmenyl-PC(P-18:0/18:2)+H"," 802398.300","  5609.8280","     0.0000","    0.0000"," 1504.4810","   0.000","  0.0000","     0.0000","    0.000","6.390902e+06","7.39550694444444","7.69550694444444","356","","Plasmenyl-PC(P-18:0/18:2)+H","770.6066","587.5394","  0.0000","  0.0000","508.3774","  0.0000","  0.0000","  0.0000","  0.0000","184.0735","7.39550694444444","7.69550694444444","356","","Plasmenyl-PC(P-18:0/18:2)+H","770.6057976","587.5397576","502.3293326","443.2558326","508.3762176","490.3656576","520.33979","337.27373","263.2375","184.07332","7.39550694444444","7.69550694444444","356"
"","Plasmenyl-PC(P-18:0/20:3)+H","1","1","0","0","1","0","0","0","0","1","7.71667083333333","8.01667083333333","250","","Plasmenyl-PC(P-18:0/20:3)+H"," 7.836845"," 7.836845"," 0.000000","0.000000"," 7.955347"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.836845","7.71667083333333","8.01667083333333","250","","Plasmenyl-PC(P-18:0/20:3)+H","2","2","0","0","1","0","0","0","0","2","7.71667083333333","8.01667083333333","250","","Plasmenyl-PC(P-18:0/20:3)+H"," 875588.200","  5177.8820","     0.0000","    0.0000"," 3489.4240","   0.000","  0.0000","     0.0000","    0.000","7.936750e+06","7.71667083333333","8.01667083333333","250","","Plasmenyl-PC(P-18:0/20:3)+H","796.6209","613.5560","  0.0000","  0.0000","508.3769","  0.0000","  0.0000","  0.0000","  0.0000","184.0735","7.71667083333333","8.01667083333333","250","","Plasmenyl-PC(P-18:0/20:3)+H","796.6214976","613.5554576","528.3450326","469.2715326","508.3762176","490.3656576","546.35549","363.28943","289.2532","184.07332","7.71667083333333","8.01667083333333","250"
