"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","LPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","LPC(18:1)+H","1","1","1","1","1","1","1","0.8628875","1.1628875","40","","LPC(18:1)+H","1.0232300","1.0232300","1.0232300","1.0232300","1.0232300","1.0232300"," 1.0232300","0.8628875","1.1628875","40","","LPC(18:1)+H","3","3","3","3","3","3","3","0.8628875","1.1628875","40","","LPC(18:1)+H","2.953891e+07"," 602590.3000"," 758061.9000","3.875181e+07"," 239217.1000","4.100195e+07","1673505.000","0.8628875","1.1628875","40","","LPC(18:1)+H","522.3554","339.2893","258.1100","184.0732","124.9998","104.1069","86.09641","0.8628875","1.1628875","40","","LPC(18:1)+H","522.355455","339.289455","258.11015","184.07332","124.9994","104.1069","86.0963","0.8628875","1.1628875","40"
"","LPC(18:2)+H","1","1","1","1","1","1","1","0.583179166666667","0.883179166666667","19","","LPC(18:2)+H","0.7345732","0.7345732","0.7345732","0.7345732","0.7345732","0.7345732"," 0.7345732","0.583179166666667","0.883179166666667","19","","LPC(18:2)+H","2","2","2","2","2","2","2","0.583179166666667","0.883179166666667","19","","LPC(18:2)+H","4.506956e+07"," 919278.3000","1303626.0000","7.058847e+07"," 416730.4000","6.411677e+07","2869571.000","0.583179166666667","0.883179166666667","19","","LPC(18:2)+H","520.3399","337.2736","258.1101","184.0733","124.9998","104.1069","86.09643","0.583179166666667","0.883179166666667","19","","LPC(18:2)+H","520.339805","337.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.583179166666667","0.883179166666667","19"
"","LPC(18:3)+H","1","0","0","1","0","1","1","0.738405555555556","1.03840555555556","295","","LPC(18:3)+H","0.9355703","0.0000000","0.8117199","0.8117199","0.0000000","0.9355703"," 0.8117199","0.738405555555556","1.03840555555556","295","","LPC(18:3)+H","2","0","1","2","0","2","2","0.738405555555556","1.03840555555556","295","","LPC(18:3)+H","1.234647e+06","      0.0000","    977.3499","7.010276e+04","      0.0000","1.939452e+06"," 190268.900","0.738405555555556","1.03840555555556","295","","LPC(18:3)+H","518.3223","  0.0000","258.1100","184.0736","  0.0000","104.1071","86.09650","0.738405555555556","1.03840555555556","295","","LPC(18:3)+H","518.324155","335.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.738405555555556","1.03840555555556","295"
"","LPC(18:3)+H","1","1","1","1","1","1","1","0.448061111111111","0.748061111111111","394","","LPC(18:3)+H","0.6175924","0.6175924","0.6175924","0.6175924","0.6175924","0.6175924"," 0.6175924","0.448061111111111","0.748061111111111","394","","LPC(18:3)+H","1","1","1","1","1","1","1","0.448061111111111","0.748061111111111","394","","LPC(18:3)+H","1.210483e+06","  18276.4900","  24302.1100","1.579002e+06","   8441.1010","1.326575e+06","  60701.540","0.448061111111111","0.748061111111111","394","","LPC(18:3)+H","518.3250","335.2584","258.1104","184.0736","125.0000","104.1071","86.09654","0.448061111111111","0.748061111111111","394","","LPC(18:3)+H","518.324155","335.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.448061111111111","0.748061111111111","394"
"","LPC(18:3)+H","1","0","0","1","0","1","1","1.37974166666667","1.67974166666667","1222","","LPC(18:3)+H","1.5199480","0.0000000","0.0000000","1.5199480","0.0000000","1.5199480"," 1.5199480","1.37974166666667","1.67974166666667","1222","","LPC(18:3)+H","1","0","0","1","0","1","1","1.37974166666667","1.67974166666667","1222","","LPC(18:3)+H","2.550343e+05","      0.0000","      0.0000","1.856860e+03","      0.0000","3.217111e+05","  33239.580","1.37974166666667","1.67974166666667","1222","","LPC(18:3)+H","518.3223","  0.0000","  0.0000","184.0735","  0.0000","104.1071","86.09648","1.37974166666667","1.67974166666667","1222","","LPC(18:3)+H","518.324155","335.258155","258.11015","184.07332","124.9994","104.1069","86.0963","1.37974166666667","1.67974166666667","1222"
"","LPC(19:0)+H","1","1","1","1","1","1","1","1.55190416666667","1.85190416666667","39","","LPC(19:0)+H","1.7011190","1.7011190","1.7011190","1.7011190","1.7011190","1.7011190"," 1.7011190","1.55190416666667","1.85190416666667","39","","LPC(19:0)+H","3","3","3","3","3","3","3","1.55190416666667","1.85190416666667","39","","LPC(19:0)+H","3.403720e+07"," 586962.8000"," 807689.3000","3.996251e+07"," 264517.8000","4.598263e+07","1734972.000","1.55190416666667","1.85190416666667","39","","LPC(19:0)+H","538.3871","355.3207","258.1102","184.0734","124.9999","104.1070","86.09646","1.55190416666667","1.85190416666667","39","","LPC(19:0)+H","538.386755","355.320755","258.11015","184.07332","124.9994","104.1069","86.0963","1.55190416666667","1.85190416666667","39"
"","LPC(19:0)+H","1","1","1","1","1","1","1","1.74276944444444","2.04276944444444","327","","LPC(19:0)+H","1.8208330","1.8208330","1.8208330","1.8208330","1.8208330","1.8208330"," 1.8208330","1.74276944444444","2.04276944444444","327","","LPC(19:0)+H","2","2","2","2","2","2","2","1.74276944444444","2.04276944444444","327","","LPC(19:0)+H","2.604054e+06","  38177.4100","  53688.8800","2.321948e+06","  11067.5100","2.466012e+06","  80746.900","1.74276944444444","2.04276944444444","327","","LPC(19:0)+H","538.3874","355.3209","258.1104","184.0735","124.9999","104.1071","86.09652","1.74276944444444","2.04276944444444","327","","LPC(19:0)+H","538.386755","355.320755","258.11015","184.07332","124.9994","104.1069","86.0963","1.74276944444444","2.04276944444444","327"
"","LPC(20:0)+H","1","1","1","1","1","1","1","1.87617083333333","2.17617083333333","735","","LPC(20:0)+H","1.9944750","1.9944750","1.9944750","1.9944750","1.9944750","1.9944750"," 1.9944750","1.87617083333333","2.17617083333333","735","","LPC(20:0)+H","2","1","2","2","1","2","2","1.87617083333333","2.17617083333333","735","","LPC(20:0)+H","6.085368e+05","   9204.7250","  11892.5300","4.810049e+05","   2224.4470","5.212939e+05","  16767.840","1.87617083333333","2.17617083333333","735","","LPC(20:0)+H","552.4023","369.3366","258.1096","184.0735","124.9999","104.1071","86.09646","1.87617083333333","2.17617083333333","735","","LPC(20:0)+H","552.402405","369.336405","258.11015","184.07332","124.9994","104.1069","86.0963","1.87617083333333","2.17617083333333","735"
"","LPC(20:1)+H","1","1","1","1","1","1","1","1.3246875","1.6246875","531","","LPC(20:1)+H","1.4265670","1.4265670","1.4265670","1.4265670","1.4265670","1.4265670"," 1.4265670","1.3246875","1.6246875","531","","LPC(20:1)+H","1","1","1","1","1","1","1","1.3246875","1.6246875","531","","LPC(20:1)+H","7.016636e+05","  10670.7100","  12135.4900","6.667377e+05","   4126.2230","6.425464e+05","  25028.530","1.3246875","1.6246875","531","","LPC(20:1)+H","550.3873","367.3210","258.1103","184.0735","125.0000","104.1071","86.09651","1.3246875","1.6246875","531","","LPC(20:1)+H","550.386755","367.320755","258.11015","184.07332","124.9994","104.1069","86.0963","1.3246875","1.6246875","531"
"","LPC(20:2)+H","1","1","1","1","1","1","1","0.9282375","1.2282375","463","","LPC(20:2)+H","1.0335570","1.0335570","1.0335570","1.0335570","1.0335570","1.0335570"," 1.0335570","0.9282375","1.2282375","463","","LPC(20:2)+H","2","2","2","2","1","2","2","0.9282375","1.2282375","463","","LPC(20:2)+H","6.490936e+05","   6898.7410","  12395.7600","8.355306e+05","   4650.4520","6.240844e+05","  28303.870","0.9282375","1.2282375","463","","LPC(20:2)+H","548.3718","365.3055","258.1104","184.0736","125.0000","104.1071","86.09654","0.9282375","1.2282375","463","","LPC(20:2)+H","548.371105","365.305105","258.11015","184.07332","124.9994","104.1069","86.0963","0.9282375","1.2282375","463"
"","LPC(20:3)+H","1","0","0","1","0","1","1","1.34317916666667","1.64317916666667","152","","LPC(20:3)+H","1.3747320","0.0000000","0.0000000","1.3747320","0.0000000","1.4992970"," 1.4992970","1.34317916666667","1.64317916666667","152","","LPC(20:3)+H","1","0","0","2","0","2","2","1.34317916666667","1.64317916666667","152","","LPC(20:3)+H","2.507584e+06","      0.0000","      0.0000","1.863122e+04","      0.0000","7.019141e+06"," 665350.100","1.34317916666667","1.64317916666667","152","","LPC(20:3)+H","546.3533","  0.0000","  0.0000","184.0733","  0.0000","104.1069","86.09641","1.34317916666667","1.64317916666667","152","","LPC(20:3)+H","546.355455","363.289455","258.11015","184.07332","124.9994","104.1069","86.0963","1.34317916666667","1.64317916666667","152"
"","LPC(20:3)+H","1","1","1","1","1","1","1","0.679158333333333","0.979158333333333","157","","LPC(20:3)+H","0.9303991","0.9303991","0.9303991","0.9303991","0.9303991","0.9303991"," 0.9303991","0.679158333333333","0.979158333333333","157","","LPC(20:3)+H","1","1","1","1","1","1","1","0.679158333333333","0.979158333333333","157","","LPC(20:3)+H","8.058053e+05","   8880.8070","  18099.0500","8.619422e+05","   4177.2660","8.176121e+05","  31855.430","0.679158333333333","0.979158333333333","157","","LPC(20:3)+H","546.3561","363.2895","258.1104","184.0735","124.9999","104.1071","86.09653","0.679158333333333","0.979158333333333","157","","LPC(20:3)+H","546.355455","363.289455","258.11015","184.07332","124.9994","104.1069","86.0963","0.679158333333333","0.979158333333333","157"
"","LPC(20:3)+H","1","0","0","1","0","1","1","1.811375","2.111375","964","","LPC(20:3)+H","1.9727310","0.0000000","0.0000000","1.9727310","0.0000000","1.9727310"," 1.9727310","1.811375","2.111375","964","","LPC(20:3)+H","1","0","0","1","0","1","1","1.811375","2.111375","964","","LPC(20:3)+H","3.188164e+05","      0.0000","      0.0000","9.549124e+03","      0.0000","3.841788e+05","  36298.500","1.811375","2.111375","964","","LPC(20:3)+H","546.3537","  0.0000","  0.0000","184.0735","  0.0000","104.1071","86.09651","1.811375","2.111375","964","","LPC(20:3)+H","546.355455","363.289455","258.11015","184.07332","124.9994","104.1069","86.0963","1.811375","2.111375","964"
"","LPC(20:3)+H","1","0","0","1","0","1","1","1.56645","1.86645","12773","","LPC(20:3)+H","1.6654490","0.0000000","0.0000000","1.6654490","0.0000000","1.6654490"," 1.6654490","1.56645","1.86645","12773","","LPC(20:3)+H","1","0","0","1","0","1","1","1.56645","1.86645","12773","","LPC(20:3)+H","1.324342e+05","      0.0000","      0.0000","7.109419e+03","      0.0000","1.712735e+05","  16334.300","1.56645","1.86645","12773","","LPC(20:3)+H","546.3538","  0.0000","  0.0000","184.0735","  0.0000","104.1071","86.09653","1.56645","1.86645","12773","","LPC(20:3)+H","546.355455","363.289455","258.11015","184.07332","124.9994","104.1069","86.0963","1.56645","1.86645","12773"
"","LPC(20:4)+H","1","1","1","1","1","1","1","0.544658333333333","0.844658333333333","79","","LPC(20:4)+H","0.6791316","0.6791316","0.6791316","0.6791316","0.6791316","0.6791316"," 0.6791316","0.544658333333333","0.844658333333333","79","","LPC(20:4)+H","2","2","2","2","2","2","2","0.544658333333333","0.844658333333333","79","","LPC(20:4)+H","9.046927e+06","  60555.6000"," 263388.9000","1.686900e+07"," 138834.5000","1.414593e+07"," 667923.100","0.544658333333333","0.844658333333333","79","","LPC(20:4)+H","544.3401","361.2738","258.1101","184.0734","124.9998","104.1070","86.09645","0.544658333333333","0.844658333333333","79","","LPC(20:4)+H","544.339805","361.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.544658333333333","0.844658333333333","79"
"","LPC(20:4)+H","1","1","1","1","1","1","1","0.89461944444444","1.19461944444444","425","","LPC(20:4)+H","1.0848480","0.9504062","0.9504062","0.9504062","0.9504062","1.0848480"," 1.0848480","0.89461944444444","1.19461944444444","425","","LPC(20:4)+H","2","2","2","2","1","2","2","0.89461944444444","1.19461944444444","425","","LPC(20:4)+H","6.425331e+05","   1912.8090","   4158.9750","2.243098e+05","   2154.5000","8.405378e+05","  73439.730","0.89461944444444","1.19461944444444","425","","LPC(20:4)+H","544.3388","361.2729","258.1104","184.0735","125.0000","104.1071","86.09652","0.89461944444444","1.19461944444444","425","","LPC(20:4)+H","544.339805","361.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.89461944444444","1.19461944444444","425"
"","LPC(20:4)+H","1","0","0","1","0","1","0","1.811375","2.111375","9312","","LPC(20:4)+H","1.8311760","0.0000000","0.0000000","1.8311760","0.0000000","1.8311760"," 0.0000000","1.811375","2.111375","9312","","LPC(20:4)+H","1","0","0","1","0","1","0","1.811375","2.111375","9312","","LPC(20:4)+H","4.963471e+03","      0.0000","      0.0000","6.856744e+03","      0.0000","5.765187e+03","      0.000","1.811375","2.111375","9312","","LPC(20:4)+H","544.3398","  0.0000","  0.0000","184.0738","  0.0000","104.1072"," 0.00000","1.811375","2.111375","9312","","LPC(20:4)+H","544.339805","361.273805","258.11015","184.07332","124.9994","104.1069","86.0963","1.811375","2.111375","9312"
"","LPC(20:5)+H","1","0","1","1","0","1","1","0.585777777777778","0.885777777777778","277","","LPC(20:5)+H","0.7144476","0.0000000","0.7144476","0.7144476","0.7144476","0.7144476"," 0.7144476","0.585777777777778","0.885777777777778","277","","LPC(20:5)+H","2","0","1","2","1","2","2","0.585777777777778","0.885777777777778","277","","LPC(20:5)+H","1.477114e+06","      0.0000","   1143.9940","9.639705e+04","    627.6147","2.134696e+06"," 227388.200","0.585777777777778","0.885777777777778","277","","LPC(20:5)+H","542.3226","  0.0000","258.1101","184.0736","124.9999","104.1071","86.09653","0.585777777777778","0.885777777777778","277","","LPC(20:5)+H","542.324155","359.258155","258.11015","184.07332","124.9994","104.1069","86.0963","0.585777777777778","0.885777777777778","277"
"","LPC(22:4)+H","1","0","0","1","0","1","1","1.35860277777778","1.65860277777778","1667","","LPC(22:4)+H","1.5147770","0.0000000","0.0000000","1.5147770","0.0000000","1.5147770"," 1.5147770","1.35860277777778","1.65860277777778","1667","","LPC(22:4)+H","1","0","0","1","0","1","1","1.35860277777778","1.65860277777778","1667","","LPC(22:4)+H","1.379541e+05","      0.0000","      0.0000","4.942513e+03","      0.0000","1.895982e+05","  17005.960","1.35860277777778","1.65860277777778","1667","","LPC(22:4)+H","572.3694","  0.0000","  0.0000","184.0736","  0.0000","104.1071","86.09653","1.35860277777778","1.65860277777778","1667","","LPC(22:4)+H","572.371105","389.305105","258.11015","184.07332","124.9994","104.1069","86.0963","1.35860277777778","1.65860277777778","1667"
"","LPC(22:5)+H","1","1","1","1","0","1","1","0.618342424242424","0.918342424242424","11264","","LPC(22:5)+H","0.7702372","0.7702372","0.7702372","0.7702372","0.0000000","0.7702372"," 0.7702372","0.618342424242424","0.918342424242424","11264","","LPC(22:5)+H","2","2","2","2","0","2","2","0.618342424242424","0.918342424242424","11264","","LPC(22:5)+H","8.261784e+05","   8548.2450","  21272.5300","1.068915e+06","      0.0000","9.860948e+05","  51854.040","0.618342424242424","0.918342424242424","11264","","LPC(22:5)+H","570.3565","387.2899","258.1104","184.0736","  0.0000","104.1071","86.09657","0.618342424242424","0.918342424242424","11264","","LPC(22:5)+H","570.355455","387.289455","258.11015","184.07332","124.9994","104.1069","86.0963","0.618342424242424","0.918342424242424","11264"
"","LPC(22:6)+H","1","1","1","1","1","1","1","0.510425","0.810425","223","","LPC(22:6)+H","0.6539289","0.6539289","0.6539289","0.6539289","0.6539289","0.6539289"," 0.6539289","0.510425","0.810425","223","","LPC(22:6)+H","2","2","2","2","1","2","2","0.510425","0.810425","223","","LPC(22:6)+H","1.965868e+06","  18085.0800","  44355.3500","3.348690e+06","  25674.1000","2.867590e+06"," 141123.800","0.510425","0.810425","223","","LPC(22:6)+H","568.3406","385.2739","258.1105","184.0736","125.0000","104.1072","86.09656","0.510425","0.810425","223","","LPC(22:6)+H","568.339805","385.273805","258.11015","184.07332","124.9994","104.1069","86.0963","0.510425","0.810425","223"
"","LPC(24:0)+H","1","0","1","1","0","1","1","4.053675","4.353675","1986","","LPC(24:0)+H","4.1999570","4.1999570","4.1999570","4.1999570","0.0000000","4.1999570"," 4.1999570","4.053675","4.353675","1986","","LPC(24:0)+H","1","1","1","1","0","1","1","4.053675","4.353675","1986","","LPC(24:0)+H","1.246987e+05","    656.1175","   3091.8240","9.855186e+04","      0.0000","9.506266e+04","   2923.931","4.053675","4.353675","1986","","LPC(24:0)+H","608.4661","425.3999","258.1105","184.0737","  0.0000","104.1072","86.09657","4.053675","4.353675","1986","","LPC(24:0)+H","608.465005","425.399005","258.11015","184.07332","124.9994","104.1069","86.0963","4.053675","4.353675","1986"
