"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","MH-tail1&TrimethylAmine","MH-tail2&TrimethylAmine","MH-Tail1","MH-Tail2","LPC_T1_H","LPC_T2_H","RCOO+58_T1","RCOO+58_T2","PC Head","RT_min","RT_max","Comment"
"","PC(14:0_20:4)+H","1","1","0","0","1","1","1","1","1","0","1","4.9153","5.2153","93","","PC(14:0_20:4)+H"," 5.089102"," 5.089102"," 0.000000"," 0.000000"," 5.089102"," 5.089102"," 5.089102"," 5.089102"," 5.089102"," 0.000000"," 5.089102","4.9153","5.2153","93","","PC(14:0_20:4)+H","2","2","0","0","2","2","2","2","1","0","2","4.9153","5.2153","93","","PC(14:0_20:4)+H"," 3221773.000","   9190.4570","    0.0000","    0.0000"," 31938.2200"," 24382.4200","  75311.2600"," 10514.9100"," 12402.8100","     0.0000","3.439898e+07","4.9153","5.2153","93","","PC(14:0_20:4)+H","754.5395","571.4732","  0.0000","  0.0000","526.3305","450.2986","468.3093","544.3406","285.2427","  0.0000","184.0736","4.9153","5.2153","93","","PC(14:0_20:4)+H","754.53814","571.4721","467.255711","391.224411","526.32921","450.29791","468.30849","544.33979","285.24243","361.27373","184.07332","4.9153","5.2153","93"
"","PC(14:0_20:4)+H","1","0","0","0","0","1","1","0","0","0","1","5.17276666666667","5.47276666666667","17809","","PC(14:0_20:4)+H"," 5.226175"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 5.226175"," 5.226175"," 0.000000"," 0.000000"," 0.000000"," 5.226175","5.17276666666667","5.47276666666667","17809","","PC(14:0_20:4)+H","1","0","0","0","0","1","1","0","0","0","1","5.17276666666667","5.47276666666667","17809","","PC(14:0_20:4)+H","  209502.900","      0.0000","    0.0000","    0.0000","     0.0000","  1055.2190","   3027.0400","     0.0000","     0.0000","     0.0000","1.662743e+06","5.17276666666667","5.47276666666667","17809","","PC(14:0_20:4)+H","754.5404","  0.0000","  0.0000","  0.0000","  0.0000","450.2997","468.3105","  0.0000","  0.0000","  0.0000","184.0739","5.17276666666667","5.47276666666667","17809","","PC(14:0_20:4)+H","754.53814","571.4721","467.255711","391.224411","526.32921","450.29791","468.30849","544.33979","285.24243","361.27373","184.07332","5.17276666666667","5.47276666666667","17809"
"","PC(14:0_20:5)+H","1","1","1","0","1","1","0","0","0","0","1","5.11699166666667","5.41699166666667","861","","PC(14:0_20:5)+H"," 5.317206"," 5.317206"," 5.317206"," 0.000000"," 5.317206"," 5.317206"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 5.317206","5.11699166666667","5.41699166666667","861","","PC(14:0_20:5)+H","1","1","1","0","1","1","0","0","0","0","1","5.11699166666667","5.41699166666667","861","","PC(14:0_20:5)+H","  293391.500"," 171707.4000"," 5109.2920","    0.0000","  1175.7650","  1099.9170","      0.0000","     0.0000","     0.0000","     0.0000","3.842891e+04","5.11699166666667","5.41699166666667","861","","PC(14:0_20:5)+H","752.5223","569.4558","465.2389","  0.0000","524.3121","450.2994","  0.0000","  0.0000","  0.0000","  0.0000","184.0739","5.11699166666667","5.41699166666667","861","","PC(14:0_20:5)+H","752.52254","569.4565","465.240111","391.224411","524.31361","450.29791","468.30849","542.32419","285.24243","359.25813","184.07332","5.11699166666667","5.41699166666667","861"
"","PC(14:0_22:5)+H","1","1","0","0","0","1","1","0","0","0","1","5.00485151515152","5.30485151515152","125","","PC(14:0_22:5)+H"," 5.199954"," 5.199954"," 0.000000"," 0.000000"," 0.000000"," 5.063463"," 5.063463"," 0.000000"," 0.000000"," 0.000000"," 5.199954","5.00485151515152","5.30485151515152","125","","PC(14:0_22:5)+H","2","2","0","0","0","1","1","0","0","0","2","5.00485151515152","5.30485151515152","125","","PC(14:0_22:5)+H"," 2002326.000","  11692.0200","    0.0000","    0.0000","     0.0000","  1466.9140","   4272.6050","     0.0000","     0.0000","     0.0000","2.242220e+07","5.00485151515152","5.30485151515152","125","","PC(14:0_22:5)+H","780.5555","597.4897","  0.0000","  0.0000","  0.0000","450.2991","468.3099","  0.0000","  0.0000","  0.0000","184.0737","5.00485151515152","5.30485151515152","125","","PC(14:0_22:5)+H","780.55384","597.4878","493.271411","391.224411","552.34491","450.29791","468.30849","570.35549","285.24243","387.28943","184.07332","5.00485151515152","5.30485151515152","125"
"","PC(14:0_22:5)+H","1","1","0","0","0","1","1","0","0","0","1","5.02155","5.32155","12641","","PC(14:0_22:5)+H"," 5.199954"," 5.199954"," 0.000000"," 0.000000"," 0.000000"," 5.063463"," 5.063463"," 0.000000"," 0.000000"," 0.000000"," 5.199954","5.02155","5.32155","12641","","PC(14:0_22:5)+H","2","2","0","0","0","1","1","0","0","0","2","5.02155","5.32155","12641","","PC(14:0_22:5)+H"," 2002326.000","  11692.0200","    0.0000","    0.0000","     0.0000","  1466.9140","   4272.6050","     0.0000","     0.0000","     0.0000","2.242220e+07","5.02155","5.32155","12641","","PC(14:0_22:5)+H","780.5555","597.4897","  0.0000","  0.0000","  0.0000","450.2991","468.3099","  0.0000","  0.0000","  0.0000","184.0737","5.02155","5.32155","12641","","PC(14:0_22:5)+H","780.55384","597.4878","493.271411","391.224411","552.34491","450.29791","468.30849","570.35549","285.24243","387.28943","184.07332","5.02155","5.32155","12641"
"","PC(14:1_16:0)+H","1","1","0","0","1","1","1","1","0","0","1","4.889025","5.189025","340","","PC(14:1_16:0)+H"," 5.068664"," 5.068664"," 0.000000"," 0.000000"," 5.068664"," 5.068664"," 5.068664"," 5.068664"," 0.000000"," 0.000000"," 5.068664","4.889025","5.189025","340","","PC(14:1_16:0)+H","2","2","0","0","1","1","1","1","0","0","2","4.889025","5.189025","340","","PC(14:1_16:0)+H","  570787.000","   4017.5010","    0.0000","    0.0000","  1625.3150","  1107.3880","   1117.2860","  6617.9070","     0.0000","     0.0000","5.020189e+06","4.889025","5.189025","340","","PC(14:1_16:0)+H","704.5241","521.4573","  0.0000","  0.0000","478.3311","448.2839","466.2949","496.3406","  0.0000","  0.0000","184.0738","4.889025","5.189025","340","","PC(14:1_16:0)+H","704.52254","521.4565","419.255711","389.208811","478.32921","448.28231","466.29289","496.33979","283.22683","313.27373","184.07332","4.889025","5.189025","340"
"","PC(15:0_16:0)+H","1","1","0","0","1","0","1","1","0","1","1","6.63066666666667","6.93066666666667","518","","PC(15:0_16:0)+H"," 6.821414"," 6.821414"," 0.000000"," 0.000000"," 6.821414"," 6.821414"," 6.821414"," 6.821414"," 0.000000"," 6.821414"," 6.821414","6.63066666666667","6.93066666666667","518","","PC(15:0_16:0)+H","1","1","0","0","1","1","1","1","0","1","1","6.63066666666667","6.93066666666667","518","","PC(15:0_16:0)+H","  360136.400","   2813.2720","    0.0000","    0.0000","  3064.2790","   913.4017","   5540.0630","  4073.3570","     0.0000","  3197.7400","2.626446e+06","6.63066666666667","6.93066666666667","518","","PC(15:0_16:0)+H","720.5547","537.4888","  0.0000","  0.0000","478.3305","464.3145","482.3241","496.3407","  0.0000","313.2742","184.0736","6.63066666666667","6.93066666666667","518","","PC(15:0_16:0)+H","720.55384","537.4878","419.255711","405.240111","478.32921","464.31361","482.32419","496.33979","299.25813","313.27373","184.07332","6.63066666666667","6.93066666666667","518"
"","PC(15:0_18:1)+H","1","1","0","0","1","1","1","1","0","1","1","6.74571388888889","7.04571388888889","181","","PC(15:0_18:1)+H"," 6.918066"," 6.918066"," 0.000000"," 0.000000"," 6.918066"," 6.918066"," 6.918066"," 6.918066"," 0.000000"," 6.918066"," 6.918066","6.74571388888889","7.04571388888889","181","","PC(15:0_18:1)+H","1","1","0","0","1","1","1","1","0","1","1","6.74571388888889","7.04571388888889","181","","PC(15:0_18:1)+H"," 1807902.000","   9929.6550","    0.0000","    0.0000","  7667.5520","  5532.3740","  14787.8600","  2168.1910","     0.0000","  1625.3550","1.522369e+07","6.74571388888889","7.04571388888889","181","","PC(15:0_18:1)+H","746.5698","563.5044","  0.0000","  0.0000","504.3449","464.3138","482.3243","522.3557","  0.0000","339.2896","184.0734","6.74571388888889","7.04571388888889","181","","PC(15:0_18:1)+H","746.56954","563.5035","445.271411","405.240111","504.34491","464.31361","482.32419","522.35549","299.25813","339.28943","184.07332","6.74571388888889","7.04571388888889","181"
"","PC(15:0_18:1)+H","1","0","0","0","0","0","1","0","0","1","1","8.71344583333333","9.01344583333333","707","","PC(15:0_18:1)+H"," 8.923824"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 8.923824"," 8.923824"," 0.000000"," 0.000000"," 8.923824"," 8.923824","8.71344583333333","9.01344583333333","707","","PC(15:0_18:1)+H","1","0","0","0","0","1","1","0","0","1","1","8.71344583333333","9.01344583333333","707","","PC(15:0_18:1)+H","    3548.037","      0.0000","    0.0000","    0.0000","     0.0000","   947.6708","   2078.5190","     0.0000","     0.0000","  4647.3030","3.344468e+04","8.71344583333333","9.01344583333333","707","","PC(15:0_18:1)+H","746.5717","  0.0000","  0.0000","  0.0000","  0.0000","464.3156","482.3245","  0.0000","  0.0000","339.2905","184.0739","8.71344583333333","9.01344583333333","707","","PC(15:0_18:1)+H","746.56954","563.5035","445.271411","405.240111","504.34491","464.31361","482.32419","522.35549","299.25813","339.28943","184.07332","8.71344583333333","9.01344583333333","707"
"","PC(15:0_18:2)+H","1","1","0","0","1","1","1","1","0","1","1","5.77137638888889","6.07137638888889","145","","PC(15:0_18:2)+H"," 5.927817"," 5.927817"," 0.000000"," 0.000000"," 5.927817"," 5.927817"," 5.927817"," 5.927817"," 5.927817"," 6.061256"," 5.927817","5.77137638888889","6.07137638888889","145","","PC(15:0_18:2)+H","2","2","0","0","2","1","2","1","1","1","2","5.77137638888889","6.07137638888889","145","","PC(15:0_18:2)+H"," 1879190.000","  14047.4400","    0.0000","    0.0000"," 20641.9800"," 12532.7100","  42213.7700","  7240.1970","   998.4704","  6307.3450","1.810394e+07","5.77137638888889","6.07137638888889","145","","PC(15:0_18:2)+H","744.5545","561.4886","  0.0000","  0.0000","502.3289","464.3138","482.3244","520.3405","299.2580","337.2744","184.0735","5.77137638888889","6.07137638888889","145","","PC(15:0_18:2)+H","744.55384","561.4878","443.255711","405.240111","502.32921","464.31361","482.32419","520.33979","299.25813","337.27373","184.07332","5.77137638888889","6.07137638888889","145"
