"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","OxLPC(15:0(CHO))+Na","0","0","0","1","0","1","0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na"," 0.000000","0","0","0.8117199","0","0.6175924","0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","0","0","0","2","0","2","0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","    0.00","0","0","27597.05","0","1579002","0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","  0.0000","0","0","313.2377","0","184.0736","0.572014814814815","0.872014814814815","6673","","OxLPC(15:0(CHO))+Na","518.28481","335.21881","459.21131","313.23681","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
"","OxLPC(15:1(OH))+Na","0","0","0","1","0","1","0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na"," 0.000000","0","0","0.8117199","0","0.6175924","0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","0","0","0","2","0","2","0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","    0.00","0","0","27597.05","0","1579002","0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","  0.0000","0","0","313.2377","0","184.0736","0.572014814814815","0.872014814814815","6673","","OxLPC(15:1(OH))+Na","518.2848","335.2188","459.2113","313.2368","76.866585","184.07332","0.572014814814815","0.872014814814815","6673"
