"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","NL_T1RCO","NL_T2RCO","T1_RCO+","T2_RCO+","head","RT_min","RT_max","Comment"
"","PE(18:0_18:2)+H","1","1","1","1","1","1","1","7.85418888888889","8.15418888888889","206","","PE(18:0_18:2)+H"," 8.027212","8.027212"," 8.027212"," 8.027212"," 8.027212"," 8.027212","8.027212","7.85418888888889","8.15418888888889","206","","PE(18:0_18:2)+H","2","4","3","3","4","4","2","7.85418888888889","8.15418888888889","206","","PE(18:0_18:2)+H","   38583.230"," 5534278.00"," 69653.8200"," 59721.9000","  88387.6300"," 124665.4000","4066.147","7.85418888888889","8.15418888888889","206","","PE(18:0_18:2)+H","744.5554","603.5352","337.2741","341.3052","267.2685","263.2371","142.0265","7.85418888888889","8.15418888888889","206","","PE(18:0_18:2)+H","744.55378","603.53467","337.27372","341.30502","267.26825","263.23695","142.02639","7.85418888888889","8.15418888888889","206"
"","PE(18:0_18:2)+H","0","1","0","1","1","1","0","7.68141111111111","7.98141111111111","12683","","PE(18:0_18:2)+H"," 0.000000","7.892835"," 7.892835"," 7.903214"," 7.903214"," 7.903214","0.000000","7.68141111111111","7.98141111111111","12683","","PE(18:0_18:2)+H","0","2","1","1","2","2","0","7.68141111111111","7.98141111111111","12683","","PE(18:0_18:2)+H","       0.000","  737444.40","   740.6768","  1170.5350","   2210.1270","   3333.4420","   0.000","7.68141111111111","7.98141111111111","12683","","PE(18:0_18:2)+H","  0.0000","603.5353","337.2748","341.3052","267.2686","263.2371","  0.0000","7.68141111111111","7.98141111111111","12683","","PE(18:0_18:2)+H","744.55378","603.53467","337.27372","341.30502","267.26825","263.23695","142.02639","7.68141111111111","7.98141111111111","12683"
"","PE(18:0_20:3)+H","0","1","1","1","1","1","0","8.126675","8.426675","963","","PE(18:0_20:3)+H"," 0.000000","8.274826"," 8.274826"," 8.274826"," 8.274826"," 8.274826","0.000000","8.126675","8.426675","963","","PE(18:0_20:3)+H","0","1","1","1","1","1","0","8.126675","8.426675","963","","PE(18:0_20:3)+H","       0.000","  789116.00","  7467.8350","  8487.1900","  12683.2700","   8506.7730","   0.000","8.126675","8.426675","963","","PE(18:0_20:3)+H","  0.0000","629.5508","363.2896","341.3052","267.2684","289.2527","  0.0000","8.126675","8.426675","963","","PE(18:0_20:3)+H","770.56948","629.55037","363.28942","341.30502","267.26825","289.25265","142.02639","8.126675","8.426675","963"
"","PE(18:0_20:4)+H","1","1","1","1","1","1","1","7.66248611111111","7.96248611111111","9089","","PE(18:0_20:4)+H"," 7.779676","7.779676"," 7.779676"," 7.779676"," 7.779676"," 7.779676","7.779676","7.66248611111111","7.96248611111111","9089","","PE(18:0_20:4)+H","1","1","1","1","1","1","1","7.66248611111111","7.96248611111111","9089","","PE(18:0_20:4)+H","   29444.280"," 2772933.00"," 41531.4200","986167.1000","  48851.2000","  14913.2600","1263.628","7.66248611111111","7.96248611111111","9089","","PE(18:0_20:4)+H","768.5544","627.5354","361.2740","341.3053","267.2685","287.2371","142.0265","7.66248611111111","7.96248611111111","9089","","PE(18:0_20:4)+H","768.55378","627.53467","361.27372","341.30502","267.26825","287.23695","142.02639","7.66248611111111","7.96248611111111","9089"
"","PE(18:0_20:5)+H","0","1","1","1","1","0","0","6.90980694444444","7.20980694444444","1245","","PE(18:0_20:5)+H"," 0.000000","7.014940"," 7.014940"," 7.014940"," 7.014940"," 0.000000","0.000000","6.90980694444444","7.20980694444444","1245","","PE(18:0_20:5)+H","0","1","1","1","1","0","0","6.90980694444444","7.20980694444444","1245","","PE(18:0_20:5)+H","       0.000","  353710.80","  4008.2630"," 94050.1900","   4736.3420","      0.0000","   0.000","6.90980694444444","7.20980694444444","1245","","PE(18:0_20:5)+H","  0.0000","625.5199","359.2584","341.3054","267.2684","  0.0000","  0.0000","6.90980694444444","7.20980694444444","1245","","PE(18:0_20:5)+H","766.53818","625.51907","359.25812","341.30502","267.26825","285.22135","142.02639","6.90980694444444","7.20980694444444","1245"
"","PE(18:0_22:4)+H","0","1","1","1","1","0","0","8.43268888888889","8.73268888888889","2577","","PE(18:0_22:4)+H"," 0.000000","8.559902"," 8.559902"," 8.559902"," 8.559902"," 0.000000","0.000000","8.43268888888889","8.73268888888889","2577","","PE(18:0_22:4)+H","0","2","1","1","1","0","0","8.43268888888889","8.73268888888889","2577","","PE(18:0_22:4)+H","       0.000","  136770.80","  1210.2600","  1244.6140","   2232.1140","      0.0000","   0.000","8.43268888888889","8.73268888888889","2577","","PE(18:0_22:4)+H","  0.0000","655.5676","389.3058","341.3058","267.2686","  0.0000","  0.0000","8.43268888888889","8.73268888888889","2577","","PE(18:0_22:4)+H","796.58508","655.56597","389.30502","341.30502","267.26825","315.26825","142.02639","8.43268888888889","8.73268888888889","2577"
"","PE(18:0_22:5)+H","0","1","0","1","0","0","0","7.68438194444444","7.98438194444444","1682","","PE(18:0_22:5)+H"," 0.000000","7.934477"," 0.000000"," 7.934477"," 7.934477"," 0.000000","0.000000","7.68438194444444","7.98438194444444","1682","","PE(18:0_22:5)+H","0","1","0","1","1","0","0","7.68438194444444","7.98438194444444","1682","","PE(18:0_22:5)+H","       0.000","   61257.74","     0.0000","  1057.1840","    983.4355","      0.0000","   0.000","7.68438194444444","7.98438194444444","1682","","PE(18:0_22:5)+H","  0.0000","653.5511","  0.0000","341.3056","267.2689","  0.0000","  0.0000","7.68438194444444","7.98438194444444","1682","","PE(18:0_22:5)+H","794.56948","653.55037","387.28942","341.30502","267.26825","313.25265","142.02639","7.68438194444444","7.98438194444444","1682"
"","PE(18:0_22:6)+H","1","1","1","1","1","1","0","7.3207875","7.6207875","706","","PE(18:0_22:6)+H"," 7.511254","7.511254"," 7.511254"," 7.511254"," 7.511254"," 7.511254","0.000000","7.3207875","7.6207875","706","","PE(18:0_22:6)+H","1","1","1","1","1","1","0","7.3207875","7.6207875","706","","PE(18:0_22:6)+H","   11397.440"," 1160655.00"," 19182.5200"," 36018.4600","  15267.6300","   3340.1300","   0.000","7.3207875","7.6207875","706","","PE(18:0_22:6)+H","792.5559","651.5358","385.2743","341.3055","267.2686","311.2373","  0.0000","7.3207875","7.6207875","706","","PE(18:0_22:6)+H","792.55378","651.53467","385.27372","341.30502","267.26825","311.23695","142.02639","7.3207875","7.6207875","706"
"","PE(18:1_18:1)+H","1","1","1","1","1","1","1","7.85418888888889","8.15418888888889","206","","PE(18:1_18:1)+H"," 8.027212","8.027212"," 7.892835"," 7.892835"," 7.892835"," 7.892835","8.027212","7.85418888888889","8.15418888888889","206","","PE(18:1_18:1)+H","2","4","3","3","4","4","2","7.85418888888889","8.15418888888889","206","","PE(18:1_18:1)+H","   38583.230"," 5534278.00"," 12084.6400"," 12084.6400","  29838.7500","  29838.7500","4066.147","7.85418888888889","8.15418888888889","206","","PE(18:1_18:1)+H","744.5554","603.5352","339.2898","339.2898","265.2529","265.2529","142.0265","7.85418888888889","8.15418888888889","206","","PE(18:1_18:1)+H","744.55388","603.53477","339.28942","339.28942","265.25265","265.25265","142.02639","7.85418888888889","8.15418888888889","206"
"","PE(18:1_18:1)+H","0","1","1","1","1","1","0","7.68141111111111","7.98141111111111","12683","","PE(18:1_18:1)+H"," 0.000000","7.892835"," 7.892835"," 7.892835"," 7.892835"," 7.892835","0.000000","7.68141111111111","7.98141111111111","12683","","PE(18:1_18:1)+H","0","2","2","2","2","2","0","7.68141111111111","7.98141111111111","12683","","PE(18:1_18:1)+H","       0.000","  737444.40"," 12084.6400"," 12084.6400","  29838.7500","  29838.7500","   0.000","7.68141111111111","7.98141111111111","12683","","PE(18:1_18:1)+H","  0.0000","603.5353","339.2896","339.2896","265.2528","265.2528","  0.0000","7.68141111111111","7.98141111111111","12683","","PE(18:1_18:1)+H","744.55388","603.53477","339.28942","339.28942","265.25265","265.25265","142.02639","7.68141111111111","7.98141111111111","12683"
"","PE(18:1_18:2)+H","1","1","1","1","1","1","1","6.76129722222222","7.06129722222222","513","","PE(18:1_18:2)+H"," 6.923258","6.923258"," 6.923258"," 6.923258"," 6.923258"," 6.923258","6.923258","6.76129722222222","7.06129722222222","513","","PE(18:1_18:2)+H","1","2","2","2","2","2","1","6.76129722222222","7.06129722222222","513","","PE(18:1_18:2)+H","   17079.830"," 2181175.00"," 24659.5600"," 25241.1800","  63112.9700","  43219.7700","1105.821","6.76129722222222","7.06129722222222","513","","PE(18:1_18:2)+H","742.5391","601.5195","337.2737","339.2895","265.2527","263.2370","142.0266","6.76129722222222","7.06129722222222","513","","PE(18:1_18:2)+H","742.53818","601.51907","337.27372","339.28942","265.25265","263.23695","142.02639","6.76129722222222","7.06129722222222","513"
"","PE(18:1_18:2)+H","1","1","1","0","0","0","0","8.64927361111111","8.94927361111111","1069","","PE(18:1_18:2)+H"," 8.820799","8.820799"," 8.820799"," 0.000000"," 0.000000"," 0.000000","0.000000","8.64927361111111","8.94927361111111","1069","","PE(18:1_18:2)+H","1","1","1","0","0","0","0","8.64927361111111","8.94927361111111","1069","","PE(18:1_18:2)+H","  232992.800","  112151.90","  3675.3400","     0.0000","      0.0000","      0.0000","   0.000","8.64927361111111","8.94927361111111","1069","","PE(18:1_18:2)+H","742.5367","601.5176","337.2740","  0.0000","  0.0000","  0.0000","  0.0000","8.64927361111111","8.94927361111111","1069","","PE(18:1_18:2)+H","742.53818","601.51907","337.27372","339.28942","265.25265","263.23695","142.02639","8.64927361111111","8.94927361111111","1069"
"","PE(18:1_18:2)+H","0","1","1","1","1","1","0","6.94883888888889","7.24883888888889","9128","","PE(18:1_18:2)+H"," 0.000000","6.985158"," 6.985158"," 6.985158"," 6.985158"," 6.985158","0.000000","6.94883888888889","7.24883888888889","9128","","PE(18:1_18:2)+H","0","2","2","2","2","2","0","6.94883888888889","7.24883888888889","9128","","PE(18:1_18:2)+H","       0.000","  492118.90","  4284.3180","  5373.5610","  14125.0200","  11500.0500","   0.000","6.94883888888889","7.24883888888889","9128","","PE(18:1_18:2)+H","  0.0000","601.5194","337.2736","339.2895","265.2528","263.2371","  0.0000","6.94883888888889","7.24883888888889","9128","","PE(18:1_18:2)+H","742.53818","601.51907","337.27372","339.28942","265.25265","263.23695","142.02639","6.94883888888889","7.24883888888889","9128"
"","PE(18:1_20:3)+H","1","1","0","1","0","0","1","7.66248611111111","7.96248611111111","9089","","PE(18:1_20:3)+H"," 7.779676","7.779676"," 0.000000"," 7.779676"," 0.000000"," 0.000000","7.779676","7.66248611111111","7.96248611111111","9089","","PE(18:1_20:3)+H","1","1","0","1","0","0","1","7.66248611111111","7.96248611111111","9089","","PE(18:1_20:3)+H","   29444.280"," 2772933.00","     0.0000"," 12090.5800","      0.0000","      0.0000","1263.628","7.66248611111111","7.96248611111111","9089","","PE(18:1_20:3)+H","768.5544","627.5354","  0.0000","339.2898","  0.0000","  0.0000","142.0265","7.66248611111111","7.96248611111111","9089","","PE(18:1_20:3)+H","768.55388","627.53477","363.28942","339.28942","265.25265","289.25265","142.02639","7.66248611111111","7.96248611111111","9089"
"","PE(18:1_20:4)+H","0","1","1","1","1","1","0","6.54070694444444","6.84070694444444","730","","PE(18:1_20:4)+H"," 0.000000","6.730028"," 6.730028"," 6.730028"," 6.730028"," 6.730028","0.000000","6.54070694444444","6.84070694444444","730","","PE(18:1_20:4)+H","0","2","2","2","2","2","0","6.54070694444444","6.84070694444444","730","","PE(18:1_20:4)+H","       0.000","  893936.30","  9774.2190","225363.3000","  16965.9100","   4002.4330","   0.000","6.54070694444444","6.84070694444444","730","","PE(18:1_20:4)+H","  0.0000","625.5199","361.2742","339.2898","265.2528","287.2372","  0.0000","6.54070694444444","6.84070694444444","730","","PE(18:1_20:4)+H","766.53818","625.51907","361.27372","339.28942","265.25265","287.23695","142.02639","6.54070694444444","6.84070694444444","730"
"","PE(18:1_20:4)+H","0","1","0","1","1","0","0","6.90980694444444","7.20980694444444","1245","","PE(18:1_20:4)+H"," 0.000000","7.014940"," 0.000000"," 7.014940"," 7.014940"," 0.000000","0.000000","6.90980694444444","7.20980694444444","1245","","PE(18:1_20:4)+H","0","1","0","1","1","0","0","6.90980694444444","7.20980694444444","1245","","PE(18:1_20:4)+H","       0.000","  353710.80","     0.0000"," 16488.8100","   1016.6880","      0.0000","   0.000","6.90980694444444","7.20980694444444","1245","","PE(18:1_20:4)+H","  0.0000","625.5199","  0.0000","339.2896","265.2527","  0.0000","  0.0000","6.90980694444444","7.20980694444444","1245","","PE(18:1_20:4)+H","766.53818","625.51907","361.27372","339.28942","265.25265","287.23695","142.02639","6.90980694444444","7.20980694444444","1245"
"","PE(18:1_22:6)+H","0","1","1","1","1","0","0","6.23224444444445","6.53224444444445","12777","","PE(18:1_22:6)+H"," 0.000000","6.418835"," 6.418835"," 6.418835"," 6.418835"," 0.000000","0.000000","6.23224444444445","6.53224444444445","12777","","PE(18:1_22:6)+H","0","1","1","1","1","0","0","6.23224444444445","6.53224444444445","12777","","PE(18:1_22:6)+H","       0.000","  184575.50","  3127.6560","  6442.8580","   6472.9600","      0.0000","   0.000","6.23224444444445","6.53224444444445","12777","","PE(18:1_22:6)+H","  0.0000","649.5202","385.2746","339.2900","265.2529","  0.0000","  0.0000","6.23224444444445","6.53224444444445","12777","","PE(18:1_22:6)+H","790.53818","649.51907","385.27372","339.28942","265.25265","311.23695","142.02639","6.23224444444445","6.53224444444445","12777"
"","PE(18:2_20:3)+H","0","1","0","1","0","0","0","6.54070694444444","6.84070694444444","730","","PE(18:2_20:3)+H"," 0.000000","6.730028"," 0.000000"," 6.730028"," 0.000000"," 0.000000","0.000000","6.54070694444444","6.84070694444444","730","","PE(18:2_20:3)+H","0","2","0","2","0","0","0","6.54070694444444","6.84070694444444","730","","PE(18:2_20:3)+H","       0.000","  893936.30","     0.0000","  3061.0610","      0.0000","      0.0000","   0.000","6.54070694444444","6.84070694444444","730","","PE(18:2_20:3)+H","  0.0000","625.5199","  0.0000","337.2740","  0.0000","  0.0000","  0.0000","6.54070694444444","6.84070694444444","730","","PE(18:2_20:3)+H","766.53818","625.51907","363.28942","337.27372","263.23695","289.25265","142.02639","6.54070694444444","6.84070694444444","730"
"","PE(20:1_20:4)+H","0","1","0","1","0","0","0","7.68438194444444","7.98438194444444","1682","","PE(20:1_20:4)+H"," 0.000000","7.934477"," 0.000000"," 7.934477"," 0.000000"," 0.000000","0.000000","7.68438194444444","7.98438194444444","1682","","PE(20:1_20:4)+H","0","1","0","1","0","0","0","7.68438194444444","7.98438194444444","1682","","PE(20:1_20:4)+H","       0.000","   61257.74","     0.0000","  1001.9500","      0.0000","      0.0000","   0.000","7.68438194444444","7.98438194444444","1682","","PE(20:1_20:4)+H","  0.0000","653.5511","  0.0000","367.3212","  0.0000","  0.0000","  0.0000","7.68438194444444","7.98438194444444","1682","","PE(20:1_20:4)+H","794.56948","653.55037","361.27372","367.32072","293.28395","287.23695","142.02639","7.68438194444444","7.98438194444444","1682"
