"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","RT at Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Number of Scans","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Max Intensity","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Average m/z","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer","[M+H]+","M+H-H2O","M+H-2H2O","M+H-T2-H2O","M+H-T2-2H2O","RT_min","RT_max","Comment"
"","Cer(d17:1/25:0)+H","1","1","1","1","1","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","11.4440600","11.4440600","11.444060","11.444060","11.444060","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","3","3","3","1","3","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","  15923.2200","2796524.0000","620834.20","   4589.4490","2.686793e+04","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","650.6451","632.6350","614.6246","268.2634","250.2532","11.3082560606061","11.6082560606061","148","","Cer(d17:1/25:0)+H","650.64458","632.634","614.62342","268.263295","250.252715","11.3082560606061","11.6082560606061","148"
"","Cer(d17:1/25:0)+H","0","1","1","0","1","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","11.3153200","11.3153200","11.315320"," 0.000000","11.315320","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","1","1","1","0","1","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","    734.6305"," 227217.7000"," 49396.18","      0.0000","5.203684e+03","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","650.6444","632.6354","614.6249","  0.0000","250.2534","11.140325","11.440325","1404","","Cer(d17:1/25:0)+H","650.64458","632.634","614.62342","268.263295","250.252715","11.140325","11.440325","1404"
"","Cer(d17:1/26:0)+H","1","1","1","0","1","11.5449138888889","11.8449138888889","712","","Cer(d17:1/26:0)+H","11.8291800","11.6843800","11.684380"," 0.000000","11.829180","11.5449138888889","11.8449138888889","712","","Cer(d17:1/26:0)+H","1","2","2","0","1","11.5449138888889","11.8449138888889","712","","Cer(d17:1/26:0)+H","   1941.9030"," 424839.7000"," 88524.15","      0.0000","8.717308e+03","11.5449138888889","11.8449138888889","712","","Cer(d17:1/26:0)+H","664.6602","646.6509","628.6404","  0.0000","250.2534","11.5449138888889","11.8449138888889","712","","Cer(d17:1/26:0)+H","664.66018","646.6496","628.63902","268.263295","250.252715","11.5449138888889","11.8449138888889","712"
"","Cer(d17:1/26:0)+H","1","1","1","0","1","11.7034333333333","12.0034333333333","16549","","Cer(d17:1/26:0)+H","11.8291800","11.8291800","11.829180"," 0.000000","11.829180","11.7034333333333","12.0034333333333","16549","","Cer(d17:1/26:0)+H","1","1","1","0","1","11.7034333333333","12.0034333333333","16549","","Cer(d17:1/26:0)+H","   1941.9030"," 215676.7000"," 49119.42","      0.0000","8.717308e+03","11.7034333333333","12.0034333333333","16549","","Cer(d17:1/26:0)+H","664.6602","646.6512","628.6406","  0.0000","250.2534","11.7034333333333","12.0034333333333","16549","","Cer(d17:1/26:0)+H","664.66018","646.6496","628.63902","268.263295","250.252715","11.7034333333333","12.0034333333333","16549"
"","Cer(d17:2/23:0)+H","0","1","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer(d17:2/23:0)+H"," 0.0000000"," 9.7237320"," 9.723732"," 0.000000"," 9.723732","9.54950555555556","9.84950555555556","1092","","Cer(d17:2/23:0)+H","0","1","1","0","1","9.54950555555556","9.84950555555556","1092","","Cer(d17:2/23:0)+H","      0.0000"," 145523.6000"," 35235.78","      0.0000","2.361721e+03","9.54950555555556","9.84950555555556","1092","","Cer(d17:2/23:0)+H","  0.0000","602.5880","584.5775","  0.0000","248.2376","9.54950555555556","9.84950555555556","1092","","Cer(d17:2/23:0)+H","620.59768","602.5871","584.57652","266.247695","248.237115","9.54950555555556","9.84950555555556","1092"
"","Cer(d17:2/24:0)+H","0","1","1","0","1","10.0310402777778","10.3310402777778","1142","","Cer(d17:2/24:0)+H"," 0.0000000","10.2002700","10.200270","10.200270","10.200270","10.0310402777778","10.3310402777778","1142","","Cer(d17:2/24:0)+H","0","1","1","1","1","10.0310402777778","10.3310402777778","1142","","Cer(d17:2/24:0)+H","      0.0000"," 170842.6000"," 38676.83","    749.6202","5.366795e+03","10.0310402777778","10.3310402777778","1142","","Cer(d17:2/24:0)+H","  0.0000","616.6035","598.5928","266.2480","248.2377","10.0310402777778","10.3310402777778","1142","","Cer(d17:2/24:0)+H","634.61328","616.6027","598.59212","266.247695","248.237115","10.0310402777778","10.3310402777778","1142"
"","Cer(d18:0/23:0)+H","1","1","1","1","1","11.1802430555556","11.4802430555556","1490","","Cer(d18:0/23:0)+H","11.3574600","11.3574600","11.357460","11.357460","11.357460","11.1802430555556","11.4802430555556","1490","","Cer(d18:0/23:0)+H","1","1","1","1","1","11.1802430555556","11.4802430555556","1490","","Cer(d18:0/23:0)+H","  78843.5700"," 292982.3000"," 11349.74","  52180.3900","2.067265e+04","11.1802430555556","11.4802430555556","1490","","Cer(d18:0/23:0)+H","638.6458","620.6351","602.6250","284.2952","266.2846","11.1802430555556","11.4802430555556","1490","","Cer(d18:0/23:0)+H","638.64458","620.634","602.62342","284.294595","266.284015","11.1802430555556","11.4802430555556","1490"
"","Cer(d18:0/24:0)+H","1","1","1","1","1","11.5915416666667","11.8915416666667","784","","Cer(d18:0/24:0)+H","11.7342500","11.7342500","11.734250","11.734250","11.734250","11.5915416666667","11.8915416666667","784","","Cer(d18:0/24:0)+H","1","1","1","1","1","11.5915416666667","11.8915416666667","784","","Cer(d18:0/24:0)+H"," 199490.4000"," 788380.4000"," 30546.16"," 167359.9000","5.976340e+04","11.5915416666667","11.8915416666667","784","","Cer(d18:0/24:0)+H","652.6614","634.6508","616.6405","284.2952","266.2846","11.5915416666667","11.8915416666667","784","","Cer(d18:0/24:0)+H","652.66018","634.6496","616.63902","284.294595","266.284015","11.5915416666667","11.8915416666667","784"
"","Cer(d18:0/24:1)+H","1","1","1","0","1","11.3082560606061","11.6082560606061","148","","Cer(d18:0/24:1)+H","11.4440600","11.4440600","11.444060"," 0.000000","11.315320","11.3082560606061","11.6082560606061","148","","Cer(d18:0/24:1)+H","3","3","3","0","2","11.3082560606061","11.6082560606061","148","","Cer(d18:0/24:1)+H","  15923.2200","2796524.0000","620834.20","      0.0000","1.139286e+04","11.3082560606061","11.6082560606061","148","","Cer(d18:0/24:1)+H","650.6451","632.6350","614.6246","  0.0000","266.2849","11.3082560606061","11.6082560606061","148","","Cer(d18:0/24:1)+H","650.64458","632.634","614.62342","284.294595","266.284015","11.3082560606061","11.6082560606061","148"
"","Cer(d18:0/24:1)+H","0","1","1","0","1","11.140325","11.440325","1404","","Cer(d18:0/24:1)+H","11.3153200","11.3153200","11.315320"," 0.000000","11.315320","11.140325","11.440325","1404","","Cer(d18:0/24:1)+H","1","1","1","0","1","11.140325","11.440325","1404","","Cer(d18:0/24:1)+H","    734.6305"," 227217.7000"," 49396.18","      0.0000","1.139286e+04","11.140325","11.440325","1404","","Cer(d18:0/24:1)+H","650.6444","632.6354","614.6249","  0.0000","266.2847","11.140325","11.440325","1404","","Cer(d18:0/24:1)+H","650.64458","632.634","614.62342","284.294595","266.284015","11.140325","11.440325","1404"
