"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","NL_sn1_ether","NL_sn1_59","NL_sn2_acyl","sn2_NL_H2O","LPC_T2_H","RCOO+58_T2","RCO_T2","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(O-16:0/20:5)+H","1","0","0","0","1","0","0","0","0","1","6.05374027777778","6.35374027777778","399","","Plasmanyl-PC(O-16:0/20:5)+H"," 6.158453"," 6.287297"," 0.000000","0.000000"," 6.158453"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.158453","6.05374027777778","6.35374027777778","399","","Plasmanyl-PC(O-16:0/20:5)+H","2","1","0","0","2","0","0","0","0","2","6.05374027777778","6.35374027777778","399","","Plasmanyl-PC(O-16:0/20:5)+H"," 285138.000","   883.1979","     0.0000","    0.0000"," 3630.9100","   0.000","  0.0000","     0.0000","     0.000","2.477990e+06","6.05374027777778","6.35374027777778","399","","Plasmanyl-PC(O-16:0/20:5)+H","766.5757","583.5096","  0.0000","  0.0000","482.3614","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","6.05374027777778","6.35374027777778","399","","Plasmanyl-PC(O-16:0/20:5)+H","766.5745576","583.5085176","526.3293926","467.2558926","482.3605776","464.3500176","542.32419","359.25813","285.2219","184.07332","6.05374027777778","6.35374027777778","399"
"","Plasmanyl-PC(O-16:0/22:4)+H","1","1","0","0","1","1","0","0","0","1","7.71667083333333","8.01667083333333","250","","Plasmanyl-PC(O-16:0/22:4)+H"," 7.836845"," 7.836845"," 0.000000","0.000000"," 7.836845"," 7.836845","0.000000"," 0.000000"," 0.000000"," 7.836845","7.71667083333333","8.01667083333333","250","","Plasmanyl-PC(O-16:0/22:4)+H","2","2","0","0","2","1","0","0","0","2","7.71667083333333","8.01667083333333","250","","Plasmanyl-PC(O-16:0/22:4)+H"," 875588.200","  5177.8820","     0.0000","    0.0000","22815.2800","1786.992","  0.0000","     0.0000","     0.000","7.936750e+06","7.71667083333333","8.01667083333333","250","","Plasmanyl-PC(O-16:0/22:4)+H","796.6209","613.5560","  0.0000","  0.0000","482.3612","464.3506","  0.0000","  0.0000","  0.0000","184.0735","7.71667083333333","8.01667083333333","250","","Plasmanyl-PC(O-16:0/22:4)+H","796.6214576","613.5554176","556.3762926","497.3027926","482.3605776","464.3500176","572.37109","389.30503","315.2688","184.07332","7.71667083333333","8.01667083333333","250"
"","Plasmanyl-PC(O-16:0/22:5)+H","1","1","0","0","1","0","0","0","0","1","6.92280138888889","7.22280138888889","66","","Plasmanyl-PC(O-16:0/22:5)+H"," 7.040406"," 7.040406"," 0.000000","0.000000"," 7.040406"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.040406","6.92280138888889","7.22280138888889","66","","Plasmanyl-PC(O-16:0/22:5)+H","2","2","0","0","2","0","0","0","0","2","6.92280138888889","7.22280138888889","66","","Plasmanyl-PC(O-16:0/22:5)+H","3015261.000"," 14806.5700","     0.0000","    0.0000"," 6895.4320","   0.000","  0.0000","     0.0000","     0.000","4.041359e+07","6.92280138888889","7.22280138888889","66","","Plasmanyl-PC(O-16:0/22:5)+H","794.6057","611.5385","  0.0000","  0.0000","482.3612","  0.0000","  0.0000","  0.0000","  0.0000","184.0733","6.92280138888889","7.22280138888889","66","","Plasmanyl-PC(O-16:0/22:5)+H","794.6058576","611.5398176","554.3606926","495.2871926","482.3605776","464.3500176","570.35549","387.28943","313.2532","184.07332","6.92280138888889","7.22280138888889","66"
"","Plasmanyl-PC(O-16:0/22:5)+H","1","1","1","1","0","0","0","0","0","1","7.49951805555555","7.79951805555555","430","","Plasmanyl-PC(O-16:0/22:5)+H"," 7.642763"," 7.642763"," 7.642763","7.642763"," 0.000000"," 0.000000","0.000000"," 0.000000"," 0.000000"," 7.642763","7.49951805555555","7.79951805555555","430","","Plasmanyl-PC(O-16:0/22:5)+H","1","1","1","1","0","0","0","0","0","1","7.49951805555555","7.79951805555555","430","","Plasmanyl-PC(O-16:0/22:5)+H"," 654394.400","  1200.6100"," 48291.9300"," 4925.6210","    0.0000","   0.000","  0.0000","     0.0000","     0.000","5.823134e+06","7.49951805555555","7.79951805555555","430","","Plasmanyl-PC(O-16:0/22:5)+H","794.6068","611.5414","554.3615","495.2876","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","184.0736","7.49951805555555","7.79951805555555","430","","Plasmanyl-PC(O-16:0/22:5)+H","794.6058576","611.5398176","554.3606926","495.2871926","482.3605776","464.3500176","570.35549","387.28943","313.2532","184.07332","7.49951805555555","7.79951805555555","430"
"","Plasmanyl-PC(O-16:0/22:6)+H","1","1","1","0","1","0","0","0","0","1","6.73797361111111","7.03797361111111","186","","Plasmanyl-PC(O-16:0/22:6)+H"," 6.912878"," 6.912878"," 6.912878","0.000000"," 6.785774"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.912878","6.73797361111111","7.03797361111111","186","","Plasmanyl-PC(O-16:0/22:6)+H","2","1","2","0","1","0","0","0","0","2","6.73797361111111","7.03797361111111","186","","Plasmanyl-PC(O-16:0/22:6)+H","1591671.000","  1253.5470"," 22776.2500","    0.0000"," 3394.0450","   0.000","  0.0000","     0.0000","     0.000","1.665723e+07","6.73797361111111","7.03797361111111","186","","Plasmanyl-PC(O-16:0/22:6)+H","792.5910","609.5239","552.3460","  0.0000","482.3617","  0.0000","  0.0000","  0.0000","  0.0000","184.0734","6.73797361111111","7.03797361111111","186","","Plasmanyl-PC(O-16:0/22:6)+H","792.5901576","609.5241176","552.3449926","493.2714926","482.3605776","464.3500176","568.33979","385.27373","311.2375","184.07332","6.73797361111111","7.03797361111111","186"
"","Plasmanyl-PC(O-16:0/22:6)+H","1","1","1","0","1","1","0","0","0","1","6.52925277777778","6.82925277777778","269","","Plasmanyl-PC(O-16:0/22:6)+H"," 6.658233"," 6.658233"," 6.785774","0.000000"," 6.658233"," 6.658233","0.000000"," 0.000000"," 0.000000"," 6.658233","6.52925277777778","6.82925277777778","269","","Plasmanyl-PC(O-16:0/22:6)+H","2","1","1","0","2","1","0","0","0","2","6.52925277777778","6.82925277777778","269","","Plasmanyl-PC(O-16:0/22:6)+H"," 794700.200","  5690.4320","  7881.1050","    0.0000","21236.5200","1639.426","  0.0000","     0.0000","     0.000","7.229446e+06","6.52925277777778","6.82925277777778","269","","Plasmanyl-PC(O-16:0/22:6)+H","792.5914","609.5258","552.3467","  0.0000","482.3615","464.3507","  0.0000","  0.0000","  0.0000","184.0736","6.52925277777778","6.82925277777778","269","","Plasmanyl-PC(O-16:0/22:6)+H","792.5901576","609.5241176","552.3449926","493.2714926","482.3605776","464.3500176","568.33979","385.27373","311.2375","184.07332","6.52925277777778","6.82925277777778","269"
"","Plasmanyl-PC(O-16:1/16:0)+H","1","0","1","0","1","0","0","1","1","1","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:1/16:0)+H"," 7.872663"," 0.000000"," 7.872663","0.000000"," 7.872663"," 0.000000","0.000000"," 7.810819"," 7.810819"," 7.872663","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:1/16:0)+H","2","0","1","0","1","0","0","1","2","2","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:1/16:0)+H"," 740660.800","     0.0000"," 25278.1800","    0.0000","25278.1800","   0.000","  0.0000","  7101.4840"," 20423.390","6.397098e+06","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:1/16:0)+H","718.5752","  0.0000","480.3454","  0.0000","480.3454","  0.0000","  0.0000","313.2740","239.2371","184.0736","7.75862638888889","8.05862638888889","197","","Plasmanyl-PC(O-16:1/16:0)+H","718.5745576","535.5085176","480.3449926","421.2714926","480.3449776","462.3344176","496.33979","313.27373","239.2375","184.07332","7.75862638888889","8.05862638888889","197"
"","Plasmanyl-PC(O-16:1/16:1)+H","1","0","0","0","1","0","0","0","0","1","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(O-16:1/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(O-16:1/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(O-16:1/16:1)+H","  73595.970","     0.0000","   677.9634","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","     0.000","6.126628e+05","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(O-16:1/16:1)+H","716.5604","  0.0000","478.3309","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.66181805555556","6.96181805555556","1083","","Plasmanyl-PC(O-16:1/16:1)+H","716.5589576","533.4929176","478.3293926","419.2558926","480.3449776","462.3344176","494.32419","311.25813","237.2219","184.07332","6.66181805555556","6.96181805555556","1083"
"","Plasmanyl-PC(O-16:1/16:1)+H","1","0","0","0","1","0","0","0","0","1","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(O-16:1/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(O-16:1/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(O-16:1/16:1)+H","  73595.970","     0.0000","   677.9634","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","     0.000","6.126628e+05","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(O-16:1/16:1)+H","716.5604","  0.0000","478.3309","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(O-16:1/16:1)+H","716.5589576","533.4929176","478.3293926","419.2558926","480.3449776","462.3344176","494.32419","311.25813","237.2219","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmanyl-PC(O-16:1/16:1)+H","1","0","0","0","1","0","0","0","0","1","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(O-16:1/16:1)+H"," 6.856732"," 0.000000"," 6.856732","0.000000"," 6.856732"," 0.000000","0.000000"," 0.000000"," 0.000000"," 6.856732","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(O-16:1/16:1)+H","1","0","1","0","1","0","0","0","0","1","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(O-16:1/16:1)+H","  73595.970","     0.0000","   677.9634","    0.0000"," 1187.5250","   0.000","  0.0000","     0.0000","     0.000","6.126628e+05","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(O-16:1/16:1)+H","716.5604","  0.0000","478.3309","  0.0000","480.3455","  0.0000","  0.0000","  0.0000","  0.0000","184.0737","6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(O-16:1/16:1)+H","716.5589576","533.4929176","478.3293926","419.2558926","480.3449776","462.3344176","494.32419","311.25813","237.2219","184.07332","6.77170138888889","7.07170138888889","18325"
