"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Average m/z","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+H]+","M+H-PC","M+H-R1COOH","M+H-R2COOH","M+H-R1CO","M+H-R2CO","PC_head","RT_min","RT_max","Comment"
"","OxPC(18:2_17:2(OO))","1","0","0","1","0","1","1","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:2(OO))"," 8.161917","0.000000","0.000000","8.306120","0.000000","8.306120"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:2(OO))","1","0","0","1","0","1","2","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:2(OO))"," 48811.200","   0.000","    0.0000","4572.3100","    0.0000"," 1177.9020","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:2(OO))","800.5413","  0.0000","  0.0000","502.3297","  0.0000","520.3409","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:2(OO))","800.5437","617.47764","520.30345","502.32923","538.31403","520.33981","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(18:2_18:2(OOO))","0","0","0","1","0","1","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:2_18:2(OOO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","5.001680"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(18:2_18:2(OOO))","0","0","0","1","0","1","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:2_18:2(OOO))","     0.000","   0.000","    0.0000","5535.1640","    0.0000"," 2385.1670","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(18:2_18:2(OOO))","  0.0000","  0.0000","  0.0000","502.3313","  0.0000","520.3417","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(18:2_18:2(OOO))","830.55422","647.48816","550.31397","502.32923","568.32455","520.33981","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(18:2_18:2(OOO))","0","0","0","1","0","1","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:2_18:2(OOO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","5.001680"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(18:2_18:2(OOO))","0","0","0","1","0","1","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:2_18:2(OOO))","     0.000","   0.000","    0.0000","5535.1640","    0.0000"," 2385.1670","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(18:2_18:2(OOO))","  0.0000","  0.0000","  0.0000","502.3313","  0.0000","520.3417","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(18:2_18:2(OOO))","830.55422","647.48816","550.31397","502.32923","568.32455","520.33981","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(18:2_22:2(Ke))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:2(Ke))"," 0.000000","0.000000","0.000000","5.109774","0.000000","0.000000"," 5.109774","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:2(Ke))","0","0","0","1","0","0","1","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:2(Ke))","     0.000","   0.000","    0.0000","1158.0880","    0.0000","    0.0000","  59865.3000","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:2(Ke))","  0.0000","  0.0000","  0.0000","502.3306","  0.0000","  0.0000","184.0739","4.85873611111111","5.15873611111111","14708","","OxPC(18:2_22:2(Ke))","852.61132","669.54526","572.37107","502.32923","590.38165","520.33981","184.07332","4.85873611111111","5.15873611111111","14708"
"","OxPC(18:2_17:1(Ke,OH))","1","0","0","1","0","1","1","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:1(Ke,OH))"," 8.161917","0.000000","0.000000","8.306120","0.000000","8.306120"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:1(Ke,OH))","1","0","0","1","0","1","2","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:1(Ke,OH))"," 48811.200","   0.000","    0.0000","4572.3100","    0.0000"," 1177.9020","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:1(Ke,OH))","800.5413","  0.0000","  0.0000","502.3297","  0.0000","520.3409","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(18:2_17:1(Ke,OH))","800.54364","617.47758","520.30339","502.32923","538.31397","520.33981","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(18:1(OH)_18:3(OO))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:3(OO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:3(OO))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:3(OO))","     0.000","   0.000","    0.0000","2385.1670","    0.0000","    0.0000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:3(OO))","  0.0000","  0.0000","  0.0000","520.3417","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:3(OO))","830.5543","647.48824","532.30345","520.33983","550.31403","538.35041","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(18:1(OH)_18:3(OO))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:3(OO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:3(OO))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:3(OO))","     0.000","   0.000","    0.0000","2385.1670","    0.0000","    0.0000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:3(OO))","  0.0000","  0.0000","  0.0000","520.3417","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:3(OO))","830.5543","647.48824","532.30345","520.33983","550.31403","538.35041","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(18:1(OH)_17:2(Ke))","1","0","0","1","0","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(18:1(OH)_17:2(Ke))"," 8.161917","0.000000","0.000000","8.306120","0.000000","0.000000"," 8.306120","8.01050416666666","8.31050416666666","2253","","OxPC(18:1(OH)_17:2(Ke))","1","0","0","1","0","0","2","8.01050416666666","8.31050416666666","2253","","OxPC(18:1(OH)_17:2(Ke))"," 48811.200","   0.000","    0.0000","1177.9020","    0.0000","    0.0000","6288579.0000","8.01050416666666","8.31050416666666","2253","","OxPC(18:1(OH)_17:2(Ke))","800.5413","  0.0000","  0.0000","520.3409","  0.0000","  0.0000","184.0735","8.01050416666666","8.31050416666666","2253","","OxPC(18:1(OH)_17:2(Ke))","800.54372","617.47766","502.29287","520.33983","520.30345","538.35041","184.07332","8.01050416666666","8.31050416666666","2253"
"","OxPC(18:1(OH)_18:2(Ke,OH))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:2(Ke,OH))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:2(Ke,OH))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:2(Ke,OH))","     0.000","   0.000","    0.0000","2385.1670","    0.0000","    0.0000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:2(Ke,OH))","  0.0000","  0.0000","  0.0000","520.3417","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(18:1(OH)_18:2(Ke,OH))","830.55424","647.48818","532.30339","520.33983","550.31397","538.35041","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(18:1(OH)_18:2(Ke,OH))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:2(Ke,OH))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:2(Ke,OH))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:2(Ke,OH))","     0.000","   0.000","    0.0000","2385.1670","    0.0000","    0.0000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:2(Ke,OH))","  0.0000","  0.0000","  0.0000","520.3417","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(18:1(OH)_18:2(Ke,OH))","830.55424","647.48818","532.30339","520.33983","550.31397","538.35041","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(20:3(OH)_16:1(OO))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(20:3(OH)_16:1(OO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(20:3(OH)_16:1(OO))","0","0","0","1","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(20:3(OH)_16:1(OO))","     0.000","   0.000","    0.0000","1065.0660","    0.0000","    0.0000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(20:3(OH)_16:1(OO))","  0.0000","  0.0000","  0.0000","544.3386","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(20:3(OH)_16:1(OO))","830.5543","647.48824","508.30345","544.33983","526.31403","562.35041","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(20:3(OH)_16:1(OO))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(20:3(OH)_16:1(OO))"," 0.000000","0.000000","0.000000","5.001680","0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(20:3(OH)_16:1(OO))","0","0","0","1","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(20:3(OH)_16:1(OO))","     0.000","   0.000","    0.0000","1065.0660","    0.0000","    0.0000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(20:3(OH)_16:1(OO))","  0.0000","  0.0000","  0.0000","544.3386","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(20:3(OH)_16:1(OO))","830.5543","647.48824","508.30345","544.33983","526.31403","562.35041","184.07332","4.71971666666667","5.01971666666667","18729"
"","OxPC(16:1(OO)_20:2(Ke))","0","0","1","0","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(16:1(OO)_20:2(Ke))"," 0.000000","0.000000","5.001680","0.000000","0.000000","0.000000"," 5.001680","4.71126388888889","5.01126388888889","12741","","OxPC(16:1(OO)_20:2(Ke))","0","0","1","0","0","0","1","4.71126388888889","5.01126388888889","12741","","OxPC(16:1(OO)_20:2(Ke))","     0.000","   0.000"," 1065.0660","   0.0000","    0.0000","    0.0000","5186046.0000","4.71126388888889","5.01126388888889","12741","","OxPC(16:1(OO)_20:2(Ke))","  0.0000","  0.0000","544.3386","  0.0000","  0.0000","  0.0000","184.0735","4.71126388888889","5.01126388888889","12741","","OxPC(16:1(OO)_20:2(Ke))","830.55424","647.48818","544.33977","508.30345","562.35035","526.31403","184.07332","4.71126388888889","5.01126388888889","12741"
"","OxPC(16:1(OO)_20:2(Ke))","0","0","1","0","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(16:1(OO)_20:2(Ke))"," 0.000000","0.000000","5.001680","0.000000","0.000000","0.000000"," 5.001680","4.71971666666667","5.01971666666667","18729","","OxPC(16:1(OO)_20:2(Ke))","0","0","1","0","0","0","1","4.71971666666667","5.01971666666667","18729","","OxPC(16:1(OO)_20:2(Ke))","     0.000","   0.000"," 1065.0660","   0.0000","    0.0000","    0.0000","5186046.0000","4.71971666666667","5.01971666666667","18729","","OxPC(16:1(OO)_20:2(Ke))","  0.0000","  0.0000","544.3386","  0.0000","  0.0000","  0.0000","184.0735","4.71971666666667","5.01971666666667","18729","","OxPC(16:1(OO)_20:2(Ke))","830.55424","647.48818","544.33977","508.30345","562.35035","526.31403","184.07332","4.71971666666667","5.01971666666667","18729"
