"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","RT at Max Intensity","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Number of Scans","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Max Intensity","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Average m/z","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-R1COOH&TrimethylAmine","Mna-R2COOH&TrimethylAmine","Mna-R1COOH","Mna-R2COOH","Mna-R2COONa","RT_min","RT_max","Comment"
"","OxPC(19:0_14:0(COOH))+Na","1","0","0","0","0","0","0","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:0(COOH))+Na","8.161917","0.000000","0.000000","0","0","0.000000","0","0.000000","8.30612","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:0(COOH))+Na","1","0","0","0","0","0","0","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:0(COOH))+Na"," 48811.2","   0.000","   0.000","0","0","   0.000","0","   0.000","4543.414","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:0(COOH))+Na","800.5413","  0.0000","  0.0000","0","0","  0.000","0","  0.0000","520.3767","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:0(COOH))+Na","800.54121","617.47517","741.467711","595.49323","443.180531","483.284601","502.25403","542.3581","520.37614","8.01050416666666","8.31050416666666","2253"
"","OxPC(19:0_14:1(OO))+Na","1","0","0","0","0","0","0","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:1(OO))+Na","8.161917","0.000000","0.000000","0","0","0.000000","0","0.000000","8.30612","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:1(OO))+Na","1","0","0","0","0","0","0","0","1","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:1(OO))+Na"," 48811.2","   0.000","   0.000","0","0","   0.000","0","   0.000","4543.414","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:1(OO))+Na","800.5413","  0.0000","  0.0000","0","0","  0.000","0","  0.0000","520.3767","8.01050416666666","8.31050416666666","2253","","OxPC(19:0_14:1(OO))+Na","800.54125","617.47521","741.467751","595.49327","443.180571","483.284601","502.25407","542.3581","520.37614","8.01050416666666","8.31050416666666","2253"
