"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","RT at Max Intensity","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Number of Scans","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Max Intensity","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Average m/z","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","TG","[M+NH4]+","NL R1COOH","NL R2COOH","NL R3COOH","RT_min","RT_max","Comment"
"","TG(12:0_18:0_8:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(12:0_18:0_8:0)+NH4"," 0.00000","11.154660","11.278290","11.278290","11.0467375","11.3467375","676","","TG(12:0_18:0_8:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(12:0_18:0_8:0)+NH4","      0.000","5.385991e+05","2.393697e+04","6.484991e+04","11.0467375","11.3467375","676","","TG(12:0_18:0_8:0)+NH4","   0.0000","467.4106","383.3165","523.4734","11.0467375","11.3467375","676","","TG(12:0_18:0_8:0)+NH4","684.6136504","467.4094764","383.3155764","523.4720764","11.0467375","11.3467375","676"
"","TG(14:0_16:0_8:0)+NH4","0","1","1","1","11.0467375","11.3467375","676","","TG(14:0_16:0_8:0)+NH4"," 0.00000","11.154660","11.278290","11.278290","11.0467375","11.3467375","676","","TG(14:0_16:0_8:0)+NH4","0","2","2","2","11.0467375","11.3467375","676","","TG(14:0_16:0_8:0)+NH4","      0.000","3.055606e+05","1.479184e+05","6.484991e+04","11.0467375","11.3467375","676","","TG(14:0_16:0_8:0)+NH4","   0.0000","439.3791","411.3478","523.4734","11.0467375","11.3467375","676","","TG(14:0_16:0_8:0)+NH4","684.6136504","439.3781764","411.3468764","523.4720764","11.0467375","11.3467375","676"
"","TG(12:0_12:0_16:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(12:0_12:0_16:1)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(12:0_12:0_16:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(12:0_12:0_16:1)+NH4","   3023.908","1.083694e+05","1.083694e+05","8.235559e+04","11.1081569444444","11.4081569444444","931","","TG(12:0_12:0_16:1)+NH4"," 710.6310","493.4263","493.4263","439.3792","11.1081569444444","11.4081569444444","931","","TG(12:0_12:0_16:1)+NH4","710.6293504","493.4251764","493.4251764","439.3781764","11.1081569444444","11.4081569444444","931"
"","TG(12:0_14:0_14:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(12:0_14:0_14:1)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(12:0_14:0_14:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(12:0_14:0_14:1)+NH4","   3023.908","1.083694e+05","1.018957e+05","4.409455e+04","11.1081569444444","11.4081569444444","931","","TG(12:0_14:0_14:1)+NH4"," 710.6310","493.4263","465.3950","467.4106","11.1081569444444","11.4081569444444","931","","TG(12:0_14:0_14:1)+NH4","710.6293504","493.4251764","465.3938764","467.4094764","11.1081569444444","11.4081569444444","931"
"","TG(10:0_12:0_18:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_12:0_18:1)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(10:0_12:0_18:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_12:0_18:1)+NH4","   3023.908","1.049274e+05","1.083694e+05","1.714078e+05","11.1081569444444","11.4081569444444","931","","TG(10:0_12:0_18:1)+NH4"," 710.6310","521.4578","493.4263","411.3478","11.1081569444444","11.4081569444444","931","","TG(10:0_12:0_18:1)+NH4","710.6293504","521.4564764","493.4251764","411.3468764","11.1081569444444","11.4081569444444","931"
"","TG(10:0_14:1_16:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_14:1_16:0)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(10:0_14:1_16:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_14:1_16:0)+NH4","   3023.908","1.049274e+05","4.409455e+04","1.068260e+05","11.1081569444444","11.4081569444444","931","","TG(10:0_14:1_16:0)+NH4"," 710.6310","521.4578","467.4106","437.3636","11.1081569444444","11.4081569444444","931","","TG(10:0_14:1_16:0)+NH4","710.6293504","521.4564764","467.4094764","437.3625764","11.1081569444444","11.4081569444444","931"
"","TG(10:0_14:0_16:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_14:0_16:1)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(10:0_14:0_16:1)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(10:0_14:0_16:1)+NH4","   3023.908","1.049274e+05","1.018957e+05","8.235559e+04","11.1081569444444","11.4081569444444","931","","TG(10:0_14:0_16:1)+NH4"," 710.6310","521.4578","465.3950","439.3792","11.1081569444444","11.4081569444444","931","","TG(10:0_14:0_16:1)+NH4","710.6293504","521.4564764","465.3938764","439.3781764","11.1081569444444","11.4081569444444","931"
"","TG(14:0_18:1_8:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(14:0_18:1_8:0)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(14:0_18:1_8:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(14:0_18:1_8:0)+NH4","   3023.908","1.018957e+05","1.714078e+05","9.172172e+04","11.1081569444444","11.4081569444444","931","","TG(14:0_18:1_8:0)+NH4"," 710.6310","465.3950","411.3478","549.4891","11.1081569444444","11.4081569444444","931","","TG(14:0_18:1_8:0)+NH4","710.6293504","465.3938764","411.3468764","549.4877764","11.1081569444444","11.4081569444444","931"
"","TG(16:0_16:1_8:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(16:0_16:1_8:0)+NH4","11.28347","11.283470","11.283470","11.283470","11.1081569444444","11.4081569444444","931","","TG(16:0_16:1_8:0)+NH4","1","1","1","1","11.1081569444444","11.4081569444444","931","","TG(16:0_16:1_8:0)+NH4","   3023.908","1.068260e+05","8.235559e+04","9.172172e+04","11.1081569444444","11.4081569444444","931","","TG(16:0_16:1_8:0)+NH4"," 710.6310","437.3636","439.3792","549.4891","11.1081569444444","11.4081569444444","931","","TG(16:0_16:1_8:0)+NH4","710.6293504","437.3625764","439.3781764","549.4877764","11.1081569444444","11.4081569444444","931"
"","TG(12:0_12:0_16:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(12:0_12:0_16:0)+NH4","11.96233","11.962330","11.962330","12.108800","11.8552833333333","12.1552833333333","314","","TG(12:0_12:0_16:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(12:0_12:0_16:0)+NH4","   5881.979","9.465881e+05","9.465881e+05","5.567967e+05","11.8552833333333","12.1552833333333","314","","TG(12:0_12:0_16:0)+NH4"," 712.6456","495.4418","495.4418","439.3791","11.8552833333333","12.1552833333333","314","","TG(12:0_12:0_16:0)+NH4","712.6449504","495.4407764","495.4407764","439.3781764","11.8552833333333","12.1552833333333","314"
"","TG(12:0_14:0_14:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(12:0_14:0_14:0)+NH4","11.96233","11.962330","11.962330","11.962330","11.8552833333333","12.1552833333333","314","","TG(12:0_14:0_14:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(12:0_14:0_14:0)+NH4","   5881.979","9.465881e+05","5.929724e+05","5.929724e+05","11.8552833333333","12.1552833333333","314","","TG(12:0_14:0_14:0)+NH4"," 712.6456","495.4418","467.4106","467.4106","11.8552833333333","12.1552833333333","314","","TG(12:0_14:0_14:0)+NH4","712.6449504","495.4407764","467.4094764","467.4094764","11.8552833333333","12.1552833333333","314"
"","TG(10:0_12:0_18:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(10:0_12:0_18:0)+NH4","11.96233","11.962330","11.962330","12.108800","11.8552833333333","12.1552833333333","314","","TG(10:0_12:0_18:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(10:0_12:0_18:0)+NH4","   5881.979","1.138034e+05","9.465881e+05","4.710633e+04","11.8552833333333","12.1552833333333","314","","TG(10:0_12:0_18:0)+NH4"," 712.6456","523.4733","495.4418","411.3478","11.8552833333333","12.1552833333333","314","","TG(10:0_12:0_18:0)+NH4","712.6449504","523.4720764","495.4407764","411.3468764","11.8552833333333","12.1552833333333","314"
"","TG(10:0_14:0_16:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(10:0_14:0_16:0)+NH4","11.96233","11.962330","11.962330","12.108800","11.8552833333333","12.1552833333333","314","","TG(10:0_14:0_16:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(10:0_14:0_16:0)+NH4","   5881.979","1.138034e+05","5.929724e+05","5.567967e+05","11.8552833333333","12.1552833333333","314","","TG(10:0_14:0_16:0)+NH4"," 712.6456","523.4733","467.4106","439.3791","11.8552833333333","12.1552833333333","314","","TG(10:0_14:0_16:0)+NH4","712.6449504","523.4720764","467.4094764","439.3781764","11.8552833333333","12.1552833333333","314"
"","TG(14:0_18:0_8:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(14:0_18:0_8:0)+NH4","11.96233","11.962330","12.108800","12.108800","11.8552833333333","12.1552833333333","314","","TG(14:0_18:0_8:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(14:0_18:0_8:0)+NH4","   5881.979","5.929724e+05","4.710633e+04","1.295563e+05","11.8552833333333","12.1552833333333","314","","TG(14:0_18:0_8:0)+NH4"," 712.6456","467.4106","411.3478","551.5045","11.8552833333333","12.1552833333333","314","","TG(14:0_18:0_8:0)+NH4","712.6449504","467.4094764","411.3468764","551.5033764","11.8552833333333","12.1552833333333","314"
"","TG(16:0_16:0_8:0)+NH4","1","1","1","1","11.8552833333333","12.1552833333333","314","","TG(16:0_16:0_8:0)+NH4","11.96233","12.108800","12.108800","12.108800","11.8552833333333","12.1552833333333","314","","TG(16:0_16:0_8:0)+NH4","2","2","2","2","11.8552833333333","12.1552833333333","314","","TG(16:0_16:0_8:0)+NH4","   5881.979","5.567967e+05","5.567967e+05","1.295563e+05","11.8552833333333","12.1552833333333","314","","TG(16:0_16:0_8:0)+NH4"," 712.6456","439.3791","439.3791","551.5045","11.8552833333333","12.1552833333333","314","","TG(16:0_16:0_8:0)+NH4","712.6449504","439.3781764","439.3781764","551.5033764","11.8552833333333","12.1552833333333","314"
"","TG(12:0_12:0_18:2)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(12:0_12:0_18:2)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(12:0_12:0_18:2)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(12:0_12:0_18:2)+NH4","  13383.140","4.685276e+05","4.685276e+05","6.930233e+05","11.2135375","11.5135375","505","","TG(12:0_12:0_18:2)+NH4"," 736.6469","519.4421","519.4421","439.3792","11.2135375","11.5135375","505","","TG(12:0_12:0_18:2)+NH4","736.6449504","519.4407764","519.4407764","439.3781764","11.2135375","11.5135375","505"
"","TG(10:0_14:0_18:2)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_14:0_18:2)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(10:0_14:0_18:2)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_14:0_18:2)+NH4","  13383.140","1.497513e+05","1.912607e+05","6.930233e+05","11.2135375","11.5135375","505","","TG(10:0_14:0_18:2)+NH4"," 736.6469","547.4734","491.4106","439.3792","11.2135375","11.5135375","505","","TG(10:0_14:0_18:2)+NH4","736.6449504","547.4720764","491.4094764","439.3781764","11.2135375","11.5135375","505"
"","TG(16:0_18:2_8:0)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(16:0_18:2_8:0)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(16:0_18:2_8:0)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(16:0_18:2_8:0)+NH4","  13383.140","2.441944e+05","6.930233e+05","1.775305e+05","11.2135375","11.5135375","505","","TG(16:0_18:2_8:0)+NH4"," 736.6469","463.3792","439.3792","575.5048","11.2135375","11.5135375","505","","TG(16:0_18:2_8:0)+NH4","736.6449504","463.3781764","439.3781764","575.5033764","11.2135375","11.5135375","505"
"","TG(14:0_14:1_14:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(14:0_14:1_14:1)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(14:0_14:1_14:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(14:0_14:1_14:1)+NH4","  13383.140","1.912607e+05","1.573575e+04","1.573575e+04","11.2135375","11.5135375","505","","TG(14:0_14:1_14:1)+NH4"," 736.6469","491.4106","493.4262","493.4262","11.2135375","11.5135375","505","","TG(14:0_14:1_14:1)+NH4","736.6450504","491.4095764","493.4251764","493.4251764","11.2135375","11.5135375","505"
"","TG(12:0_14:1_16:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(12:0_14:1_16:1)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(12:0_14:1_16:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(12:0_14:1_16:1)+NH4","  13383.140","4.685276e+05","1.573575e+04","5.741373e+04","11.2135375","11.5135375","505","","TG(12:0_14:1_16:1)+NH4"," 736.6469","519.4421","493.4262","465.3950","11.2135375","11.5135375","505","","TG(12:0_14:1_16:1)+NH4","736.6450504","519.4408764","493.4251764","465.3938764","11.2135375","11.5135375","505"
"","TG(10:0_14:1_18:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_14:1_18:1)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(10:0_14:1_18:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_14:1_18:1)+NH4","  13383.140","1.497513e+05","1.573575e+04","1.250065e+05","11.2135375","11.5135375","505","","TG(10:0_14:1_18:1)+NH4"," 736.6469","547.4734","493.4262","437.3636","11.2135375","11.5135375","505","","TG(10:0_14:1_18:1)+NH4","736.6450504","547.4721764","493.4251764","437.3625764","11.2135375","11.5135375","505"
"","TG(10:0_16:1_16:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_16:1_16:1)+NH4","11.38308","11.383080","11.383080","11.383080","11.2135375","11.5135375","505","","TG(10:0_16:1_16:1)+NH4","1","1","1","1","11.2135375","11.5135375","505","","TG(10:0_16:1_16:1)+NH4","  13383.140","1.497513e+05","5.741373e+04","5.741373e+04","11.2135375","11.5135375","505","","TG(10:0_16:1_16:1)+NH4"," 736.6469","547.4734","465.3950","465.3950","11.2135375","11.5135375","505","","TG(10:0_16:1_16:1)+NH4","736.6450504","547.4721764","465.3938764","465.3938764","11.2135375","11.5135375","505"
