"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Cer_NDS","[M+H]+","[M-H2O+H]+","[M-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","Cer_NDS(d18:0/23:0)+H","1","1","1","1","1","1","0","11.1802430555556","11.4802430555556","1490","","Cer_NDS(d18:0/23:0)+H","11.35746","11.357460","11.357460","11.357460","11.357460","11.357460","11.35746","11.1802430555556","11.4802430555556","1490","","Cer_NDS(d18:0/23:0)+H","1","1","1","1","1","1","1","11.1802430555556","11.4802430555556","1490","","Cer_NDS(d18:0/23:0)+H","  78843.5700"," 292982.3000"," 11349.74"," 52180.3900"," 20672.6500"," 19323.6800"," 608.2300","11.1802430555556","11.4802430555556","1490","","Cer_NDS(d18:0/23:0)+H","638.6458","620.6351","602.6250","284.2952","266.2846","354.3735","254.2847","11.1802430555556","11.4802430555556","1490","","Cer_NDS(d18:0/23:0)+H","638.64405","620.63345","602.62285","284.29425","266.28365","354.37245","254.28365","11.1802430555556","11.4802430555556","1490"
"","Cer_NDS(d18:0/24:0)+H","1","1","1","1","1","1","1","11.5915416666667","11.8915416666667","784","","Cer_NDS(d18:0/24:0)+H","11.73425","11.734250","11.734250","11.734250","11.734250","11.734250","11.73425","11.5915416666667","11.8915416666667","784","","Cer_NDS(d18:0/24:0)+H","1","1","1","1","1","1","1","11.5915416666667","11.8915416666667","784","","Cer_NDS(d18:0/24:0)+H"," 199490.4000"," 788380.4000"," 30546.16","167359.9000"," 59763.4000"," 60728.7000","3079.2170","11.5915416666667","11.8915416666667","784","","Cer_NDS(d18:0/24:0)+H","652.6614","634.6508","616.6405","284.2952","266.2846","368.3893","254.2846","11.5915416666667","11.8915416666667","784","","Cer_NDS(d18:0/24:0)+H","652.65965","634.64915","616.63855","284.29425","266.28365","368.38815","254.28365","11.5915416666667","11.8915416666667","784"
