"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","MH-Tail","d(MH-Tail)","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(d16:1/24:1)+H","1","1","0","1","1","1","0","1","1","8.3025375","8.6025375","110","","SM(d16:1/24:1)+H"," 8.528730"," 8.528730"," 0.000000"," 8.528730"," 8.528730"," 8.528730"," 0.000000"," 8.528730"," 8.528730","8.3025375","8.6025375","110","","SM(d16:1/24:1)+H","3","1","0","1","3","2","0","3","3","8.3025375","8.6025375","110","","SM(d16:1/24:1)+H","  558385.60","   3618.9650","      0.0","   3618.9650"," 10484.4700"," 11062.9800","     0.0000","1.568560e+07"," 210819.400","8.3025375","8.6025375","110","","SM(d16:1/24:1)+H","785.6542","602.5882","  0.0000","602.5882","584.5773","236.2375","  0.0000","184.0735","86.09653","8.3025375","8.6025375","110","","SM(d16:1/24:1)+H","785.65317","602.58713","726.57963","602.58705","584.57647","236.237245","346.346785","184.07332","86.09648","8.3025375","8.6025375","110"
"","SM(d17:1/16:0)+H","1","1","0","1","1","1","0","1","1","5.27238055555555","5.57238055555555","136","","SM(d17:1/16:0)+H"," 5.399017"," 5.399017"," 0.000000"," 5.399017"," 5.399017"," 5.399017"," 0.000000"," 5.399017"," 5.399017","5.27238055555555","5.57238055555555","136","","SM(d17:1/16:0)+H","3","2","0","2","2","2","0","3","3","5.27238055555555","5.57238055555555","136","","SM(d17:1/16:0)+H","  725645.10","   4697.9710","      0.0","   4697.9710"," 10777.9600"," 16625.0900","     0.0000","1.994369e+07"," 166718.200","5.27238055555555","5.57238055555555","136","","SM(d17:1/16:0)+H","689.5608","506.4945","  0.0000","506.4945","488.4837","250.2532","  0.0000","184.0737","86.09663","5.27238055555555","5.57238055555555","136","","SM(d17:1/16:0)+H","689.55917","506.49313","630.48563","506.49305","488.48247","250.252845","236.237185","184.07332","86.09648","5.27238055555555","5.57238055555555","136"
"","SM(d17:1/18:0)+H","1","1","0","1","1","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(d17:1/18:0)+H"," 6.755314"," 6.755314"," 0.000000"," 6.755314"," 6.755314"," 6.755314"," 6.755314"," 6.755314"," 6.755314","6.58988888888889","6.88988888888889","182","","SM(d17:1/18:0)+H","1","1","0","1","1","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(d17:1/18:0)+H","  562927.70","   3303.3460","      0.0","   3303.3460","  7978.3400","  3833.9580","  7018.8640","1.625403e+07"," 142737.500","6.58988888888889","6.88988888888889","182","","SM(d17:1/18:0)+H","717.5910","534.5261","  0.0000","534.5261","516.5145","250.2529","264.2687","184.0733","86.09647","6.58988888888889","6.88988888888889","182","","SM(d17:1/18:0)+H","717.59047","534.52443","658.51693","534.52435","516.51377","250.252845","264.268485","184.07332","86.09648","6.58988888888889","6.88988888888889","182"
"","SM(d17:1/22:0)+H","1","1","0","1","1","1","0","1","1","8.92801111111111","9.22801111111111","156","","SM(d17:1/22:0)+H"," 9.108276"," 9.108276"," 0.000000"," 9.108276"," 9.108276"," 9.108276"," 0.000000"," 9.108276"," 9.108276","8.92801111111111","9.22801111111111","156","","SM(d17:1/22:0)+H","1","1","0","1","1","1","0","1","1","8.92801111111111","9.22801111111111","156","","SM(d17:1/22:0)+H","  724316.00","   1879.2030","      0.0","   1879.2030","  9117.2940","  6005.6620","     0.0000","2.086333e+07"," 185390.800","8.92801111111111","9.22801111111111","156","","SM(d17:1/22:0)+H","773.6526","590.5872","  0.0000","590.5872","572.5761","250.2528","  0.0000","184.0731","86.09634","8.92801111111111","9.22801111111111","156","","SM(d17:1/22:0)+H","773.65307","590.58703","714.57953","590.58695","572.57637","250.252845","320.331085","184.07332","86.09648","8.92801111111111","9.22801111111111","156"
"","SM(d17:1/24:0)+H","1","1","0","1","1","1","0","1","1","9.9505958333333","10.2505958333333","83","","SM(d17:1/24:0)+H","10.128260","10.128260"," 0.000000","10.128260","10.128260","10.128260"," 0.000000","10.128260","10.128260","9.9505958333333","10.2505958333333","83","","SM(d17:1/24:0)+H","2","1","0","1","2","1","0","2","2","9.9505958333333","10.2505958333333","83","","SM(d17:1/24:0)+H"," 1614663.00","   8167.6810","      0.0","   8167.6810"," 12014.2200","  4217.9290","     0.0000","5.120121e+07"," 523753.500","9.9505958333333","10.2505958333333","83","","SM(d17:1/24:0)+H","801.6850","618.6181","  0.0000","618.6181","600.6078","250.2525","  0.0000","184.0734","86.09648","9.9505958333333","10.2505958333333","83","","SM(d17:1/24:0)+H","801.68437","618.61833","742.61083","618.61825","600.60767","250.252845","348.362385","184.07332","86.09648","9.9505958333333","10.2505958333333","83"
"","SM(d17:1/24:1)+H","1","1","0","1","1","1","0","1","1","9.03790972222222","9.33790972222222","132","","SM(d17:1/24:1)+H"," 9.161263"," 9.161263"," 0.000000"," 9.161263"," 9.161263"," 9.044870"," 0.000000"," 9.161263"," 9.161263","9.03790972222222","9.33790972222222","132","","SM(d17:1/24:1)+H","3","2","0","2","3","1","0","3","3","9.03790972222222","9.33790972222222","132","","SM(d17:1/24:1)+H","  749775.30","   5686.1320","      0.0","   5686.1320"," 12294.7400","  9951.4410","     0.0000","2.495406e+07"," 245784.100","9.03790972222222","9.33790972222222","132","","SM(d17:1/24:1)+H","799.6701","616.6040","  0.0000","616.6040","598.5930","250.2533","  0.0000","184.0735","86.09655","9.03790972222222","9.33790972222222","132","","SM(d17:1/24:1)+H","799.66877","616.60273","740.59523","616.60265","598.59207","250.252845","346.346785","184.07332","86.09648","9.03790972222222","9.33790972222222","132"
"","SM(d17:1/24:1)+H","1","1","0","1","1","1","0","1","1","8.86752222222222","9.16752222222222","232","","SM(d17:1/24:1)+H"," 9.161263"," 9.161263"," 0.000000"," 9.161263"," 9.161263"," 9.044870"," 0.000000"," 9.161263"," 9.161263","8.86752222222222","9.16752222222222","232","","SM(d17:1/24:1)+H","2","1","0","1","2","1","0","2","2","8.86752222222222","9.16752222222222","232","","SM(d17:1/24:1)+H","  749775.30","   5686.1320","      0.0","   5686.1320"," 12294.7400","  9951.4410","     0.0000","2.495406e+07"," 245784.100","8.86752222222222","9.16752222222222","232","","SM(d17:1/24:1)+H","799.6705","616.6042","  0.0000","616.6042","598.5933","250.2533","  0.0000","184.0736","86.09659","8.86752222222222","9.16752222222222","232","","SM(d17:1/24:1)+H","799.66877","616.60273","740.59523","616.60265","598.59207","250.252845","346.346785","184.07332","86.09648","8.86752222222222","9.16752222222222","232"
"","SM(d18:1/14:0)+H","1","1","0","1","1","1","0","1","1","4.53772727272727","4.83772727272727","138","","SM(d18:1/14:0)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837","4.53772727272727","4.83772727272727","138","","SM(d18:1/14:0)+H","3","1","0","1","1","2","0","3","3","4.53772727272727","4.83772727272727","138","","SM(d18:1/14:0)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170","  5930.1440","     0.0000","2.037493e+07"," 170543.400","4.53772727272727","4.83772727272727","138","","SM(d18:1/14:0)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","264.2684","  0.0000","184.0736","86.09657","4.53772727272727","4.83772727272727","138","","SM(d18:1/14:0)+H","675.54357","492.47753","616.47003","492.47745","474.46687","264.268545","208.205885","184.07332","86.09648","4.53772727272727","4.83772727272727","138"
"","SM(d18:1/14:0)+H","1","1","0","1","1","1","0","1","1","4.53785138888889","4.83785138888889","12642","","SM(d18:1/14:0)+H"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837"," 4.682837"," 0.000000"," 4.682837"," 4.682837","4.53785138888889","4.83785138888889","12642","","SM(d18:1/14:0)+H","3","1","0","1","1","2","0","3","3","4.53785138888889","4.83785138888889","12642","","SM(d18:1/14:0)+H","  744968.10","   1271.8310","      0.0","   1271.8310","  9799.3170","  5930.1440","     0.0000","2.037493e+07"," 170543.400","4.53785138888889","4.83785138888889","12642","","SM(d18:1/14:0)+H","675.5447","492.4794","  0.0000","492.4794","474.4677","264.2684","  0.0000","184.0736","86.09657","4.53785138888889","4.83785138888889","12642","","SM(d18:1/14:0)+H","675.54357","492.47753","616.47003","492.47745","474.46687","264.268545","208.205885","184.07332","86.09648","4.53785138888889","4.83785138888889","12642"
"","SM(d18:1/16:0)+H","1","1","0","1","1","1","0","1","1","5.93972638888889","6.23972638888889","12","","SM(d18:1/16:0)+H"," 6.086508"," 6.086508"," 0.000000"," 6.086508"," 6.086508"," 6.086508"," 0.000000"," 6.086508"," 6.086508","5.93972638888889","6.23972638888889","12","","SM(d18:1/16:0)+H","3","2","0","2","3","3","0","3","3","5.93972638888889","6.23972638888889","12","","SM(d18:1/16:0)+H","10788060.00","  45559.7500","      0.0","  45559.7500","168524.1000","258747.5000","     0.0000","3.448585e+08","3328110.000","5.93972638888889","6.23972638888889","12","","SM(d18:1/16:0)+H","703.5752","520.5089","  0.0000","520.5089","502.4986","264.2686","  0.0000","184.0733","86.09645","5.93972638888889","6.23972638888889","12","","SM(d18:1/16:0)+H","703.57487","520.50883","644.50133","520.50875","502.49817","264.268545","236.237185","184.07332","86.09648","5.93972638888889","6.23972638888889","12"
"","SM(d18:1/16:0)+H","1","1","0","0","1","1","0","1","1","5.73618055555555","6.03618055555555","12648","","SM(d18:1/16:0)+H"," 5.959077"," 5.838773"," 0.000000"," 0.000000"," 5.838773"," 5.959077"," 0.000000"," 5.959077"," 5.959077","5.73618055555555","6.03618055555555","12648","","SM(d18:1/16:0)+H","2","1","0","0","2","2","0","2","2","5.73618055555555","6.03618055555555","12648","","SM(d18:1/16:0)+H","  232404.40","   4527.7450","      0.0","      0.0000","  1227.4090","  4534.0690","     0.0000","5.799747e+06","  40294.090","5.73618055555555","6.03618055555555","12648","","SM(d18:1/16:0)+H","703.5765","520.5114","  0.0000","  0.0000","502.4991","264.2691","  0.0000","184.0738","86.09662","5.73618055555555","6.03618055555555","12648","","SM(d18:1/16:0)+H","703.57487","520.50883","644.50133","520.50875","502.49817","264.268545","236.237185","184.07332","86.09648","5.73618055555555","6.03618055555555","12648"
"","SM(d18:1/17:0)+H","1","1","0","1","1","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(d18:1/17:0)+H"," 6.755314"," 6.755314"," 0.000000"," 6.755314"," 6.755314"," 6.755314"," 6.755314"," 6.755314"," 6.755314","6.58988888888889","6.88988888888889","182","","SM(d18:1/17:0)+H","1","1","0","1","1","1","1","1","1","6.58988888888889","6.88988888888889","182","","SM(d18:1/17:0)+H","  562927.70","   3303.3460","      0.0","   3303.3460","  7978.3400","  7018.8640","  3833.9580","1.625403e+07"," 142737.500","6.58988888888889","6.88988888888889","182","","SM(d18:1/17:0)+H","717.5910","534.5261","  0.0000","534.5261","516.5145","264.2687","250.2529","184.0733","86.09647","6.58988888888889","6.88988888888889","182","","SM(d18:1/17:0)+H","717.59057","534.52453","658.51703","534.52445","516.51387","264.268545","250.252885","184.07332","86.09648","6.58988888888889","6.88988888888889","182"
