"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","RT at Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Number of Scans","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Max Intensity","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Average m/z","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DG","[M+NH4]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","sn1_acylChain([RC=O]+)-H2O","sn2_acylChain([RC=O]+)-H2O","sn1_acylChain([RC=O]+74)-H2O","sn2_acylChain([RC=O]+74)-H2O","RT_min","RT_max","Comment"
"","DG(16:1_20:2)+NH4","0","1","1","0","1","1","1","1","0","8.31294583333333","8.61294583333333","172","","DG(16:1_20:2)+NH4","0.000000"," 8.501444"," 8.501444"," 0.000000"," 8.501444"," 8.501444"," 8.501444","8.501444","8.501444","8.31294583333333","8.61294583333333","172","","DG(16:1_20:2)+NH4","0","1","1","0","1","1","1","1","1","8.31294583333333","8.61294583333333","172","","DG(16:1_20:2)+NH4","      0.0","   5576.6960","   8753.4100","     0.0000","  1658.2200"," 1192.9220","  2548.0660"," 1128.6450","  838.8070","8.31294583333333","8.61294583333333","172","","DG(16:1_20:2)+NH4","  0.0000","365.3059","311.2580","  0.0000","291.2686","219.2109","273.2580","293.2473","347.2947","8.31294583333333","8.61294583333333","172","","DG(16:1_20:2)+NH4","636.5562","365.305","311.2581","237.2213","291.2682","219.2108","273.2577","293.2476","347.2945","8.31294583333333","8.61294583333333","172"
"","DG(16:1_20:3)+NH4","0","1","1","0","1","1","0","0","0","7.4342375","7.7342375","354","","DG(16:1_20:3)+NH4","0.000000"," 7.581902"," 7.581902"," 0.000000"," 7.581902"," 7.581902"," 7.581902","0.000000","7.581902","7.4342375","7.7342375","354","","DG(16:1_20:3)+NH4","0","2","2","0","2","1","1","0","1","7.4342375","7.7342375","354","","DG(16:1_20:3)+NH4","      0.0","   6908.6420","   7167.6390","     0.0000","  6164.7030"," 3353.3520","   853.9902","    0.0000","  745.7573","7.4342375","7.7342375","354","","DG(16:1_20:3)+NH4","  0.0000","363.2896","311.2582","  0.0000","289.2527","219.2110","271.2427","  0.0000","345.2793","7.4342375","7.7342375","354","","DG(16:1_20:3)+NH4","634.5406","363.2894","311.2581","237.2213","289.2526","219.2108","271.2421","293.2476","345.2789","7.4342375","7.7342375","354"
"","DG(18:0_18:1)+NH4","0","1","1","1","1","0","1","0","0","10.1082944444444","10.4082944444444","1044","","DG(18:0_18:1)+NH4","0.000000","10.261170","10.261170","10.261170","10.261170","10.261170","10.261170","0.000000","0.000000","10.1082944444444","10.4082944444444","1044","","DG(18:0_18:1)+NH4","0","1","1","1","1","1","1","0","0","10.1082944444444","10.4082944444444","1044","","DG(18:0_18:1)+NH4","      0.0"," 236333.3000"," 246268.6000","  7199.1760"," 13864.8000","  975.5057","  4252.3050","    0.0000","    0.0000","10.1082944444444","10.4082944444444","1044","","DG(18:0_18:1)+NH4","  0.0000","339.2898","341.3055","267.2684","265.2530","249.2579","247.2424","  0.0000","  0.0000","10.1082944444444","10.4082944444444","1044","","DG(18:0_18:1)+NH4","640.5875","339.2894","341.305","267.2682","265.2526","249.2577","247.2421","323.2945","321.2789","10.1082944444444","10.4082944444444","1044"
"","DG(18:0_18:2)+NH4","0","1","1","0","1","0","1","0","0","9.17200277777778","9.47200277777778","252","","DG(18:0_18:2)+NH4","0.000000"," 9.384407"," 9.384407"," 0.000000"," 9.272959"," 0.000000"," 9.384407","0.000000","0.000000","9.17200277777778","9.47200277777778","252","","DG(18:0_18:2)+NH4","0","2","2","0","2","0","1","0","0","9.17200277777778","9.47200277777778","252","","DG(18:0_18:2)+NH4","      0.0","   8633.6220","   8977.2070","     0.0000","  1075.8750","    0.0000","  1226.1290","    0.0000","    0.0000","9.17200277777778","9.47200277777778","252","","DG(18:0_18:2)+NH4","  0.0000","337.2744","341.3051","  0.0000","263.2373","  0.0000","245.2271","  0.0000","  0.0000","9.17200277777778","9.47200277777778","252","","DG(18:0_18:2)+NH4","638.5718","337.2737","341.305","267.2682","263.2369","249.2577","245.2264","323.2945","319.2632","9.17200277777778","9.47200277777778","252"
"","DG(18:0_18:3)+NH4","0","1","1","0","1","0","1","0","1","8.31294583333333","8.61294583333333","172","","DG(18:0_18:3)+NH4","0.000000"," 8.501444"," 8.501444"," 0.000000"," 8.501444"," 0.000000"," 8.501444","0.000000","8.501444","8.31294583333333","8.61294583333333","172","","DG(18:0_18:3)+NH4","0","1","1","0","1","0","1","0","1","8.31294583333333","8.61294583333333","172","","DG(18:0_18:3)+NH4","      0.0","   4401.9210","   2957.9900","     0.0000","  3249.9190","    0.0000","  1303.9120","    0.0000"," 1326.3880","8.31294583333333","8.61294583333333","172","","DG(18:0_18:3)+NH4","  0.0000","335.2581","341.3052","  0.0000","261.2213","  0.0000","243.2109","  0.0000","317.2477","8.31294583333333","8.61294583333333","172","","DG(18:0_18:3)+NH4","636.5562","335.2581","341.305","267.2682","261.2213","249.2577","243.2108","323.2945","317.2476","8.31294583333333","8.61294583333333","172"
"","DG(18:1_18:1)+NH4","0","1","1","1","1","1","1","1","1","9.17200277777778","9.47200277777778","252","","DG(18:1_18:1)+NH4","0.000000"," 9.384407"," 9.384407"," 9.384407"," 9.384407"," 9.384407"," 9.384407","9.384407","9.384407","9.17200277777778","9.47200277777778","252","","DG(18:1_18:1)+NH4","0","2","2","2","2","2","2","2","2","9.17200277777778","9.47200277777778","252","","DG(18:1_18:1)+NH4","      0.0","1821523.0000","1821523.0000"," 76121.6300"," 76121.6300","25752.4700"," 25752.4700"," 4174.0790"," 4174.0790","9.17200277777778","9.47200277777778","252","","DG(18:1_18:1)+NH4","  0.0000","339.2899","339.2899","265.2529","265.2529","247.2424","247.2424","321.2792","321.2792","9.17200277777778","9.47200277777778","252","","DG(18:1_18:1)+NH4","638.5719","339.2894","339.2894","265.2526","265.2526","247.2421","247.2421","321.2789","321.2789","9.17200277777778","9.47200277777778","252"
"","DG(18:1_18:2)+NH4","0","1","1","1","1","1","1","1","1","8.31294583333333","8.61294583333333","172","","DG(18:1_18:2)+NH4","0.000000"," 8.501444"," 8.501444"," 8.501444"," 8.501444"," 8.501444"," 8.501444","8.501444","8.501444","8.31294583333333","8.61294583333333","172","","DG(18:1_18:2)+NH4","0","1","1","1","1","1","1","1","1","8.31294583333333","8.61294583333333","172","","DG(18:1_18:2)+NH4","      0.0","2193429.0000","2399562.0000","109784.0000","172106.2000","41456.1500"," 94181.6000"," 4767.2750","27851.6200","8.31294583333333","8.61294583333333","172","","DG(18:1_18:2)+NH4","  0.0000","337.2739","339.2895","265.2527","263.2371","247.2421","245.2265","321.2789","319.2633","8.31294583333333","8.61294583333333","172","","DG(18:1_18:2)+NH4","636.5562","337.2737","339.2894","265.2526","263.2369","247.2421","245.2264","321.2789","319.2632","8.31294583333333","8.61294583333333","172"
"","DG(18:1_18:2)+NH4","0","1","1","0","0","0","0","0","0","15.6255166666667","15.9255166666667","18293","","DG(18:1_18:2)+NH4","0.000000","15.718830","15.839940"," 0.000000","15.718830"," 0.000000"," 0.000000","0.000000","0.000000","15.6255166666667","15.9255166666667","18293","","DG(18:1_18:2)+NH4","0","2","2","0","1","0","0","0","0","15.6255166666667","15.9255166666667","18293","","DG(18:1_18:2)+NH4","      0.0","   3030.5700","   2534.1380","     0.0000","   696.3595","    0.0000","     0.0000","    0.0000","    0.0000","15.6255166666667","15.9255166666667","18293","","DG(18:1_18:2)+NH4","  0.0000","337.2745","339.2904","  0.0000","263.2372","  0.0000","  0.0000","  0.0000","  0.0000","15.6255166666667","15.9255166666667","18293","","DG(18:1_18:2)+NH4","636.5562","337.2737","339.2894","265.2526","263.2369","247.2421","245.2264","321.2789","319.2632","15.6255166666667","15.9255166666667","18293"
"","DG(18:1_18:3)+NH4","0","1","1","1","1","1","1","0","1","7.4342375","7.7342375","354","","DG(18:1_18:3)+NH4","0.000000"," 7.581902"," 7.581902"," 7.581902"," 7.581902"," 7.581902"," 7.581902","7.581902","7.581902","7.4342375","7.7342375","354","","DG(18:1_18:3)+NH4","0","2","2","2","2","2","2","1","2","7.4342375","7.7342375","354","","DG(18:1_18:3)+NH4","      0.0","  60030.3900","  82566.8200","  3987.0440"," 47674.7600"," 2849.3470"," 22674.8700","  995.7509"," 8989.3300","7.4342375","7.7342375","354","","DG(18:1_18:3)+NH4","  0.0000","335.2586","339.2899","265.2529","261.2217","247.2423","243.2111","321.2792","317.2482","7.4342375","7.7342375","354","","DG(18:1_18:3)+NH4","634.5406","335.2581","339.2894","265.2526","261.2213","247.2421","243.2108","321.2789","317.2476","7.4342375","7.7342375","354"
"","DG(18:1_18:3)+NH4","0","1","1","1","1","1","1","0","1","7.66508888888889","7.96508888888889","1175","","DG(18:1_18:3)+NH4","0.000000"," 7.713667"," 7.713667"," 7.713667"," 7.713667"," 7.713667"," 7.713667","0.000000","7.713667","7.66508888888889","7.96508888888889","1175","","DG(18:1_18:3)+NH4","0","1","1","1","1","1","1","0","1","7.66508888888889","7.96508888888889","1175","","DG(18:1_18:3)+NH4","      0.0","  49385.5600","  58476.3000","  3027.5440"," 20609.6200"," 2371.7590","  5265.5850","    0.0000"," 4260.0720","7.66508888888889","7.96508888888889","1175","","DG(18:1_18:3)+NH4","  0.0000","335.2586","339.2900","265.2532","261.2217","247.2425","243.2112","  0.0000","317.2481","7.66508888888889","7.96508888888889","1175","","DG(18:1_18:3)+NH4","634.5406","335.2581","339.2894","265.2526","261.2213","247.2421","243.2108","321.2789","317.2476","7.66508888888889","7.96508888888889","1175"
"","DG(18:1_20:4)+NH4","0","1","1","1","1","1","1","0","1","8.0459625","8.3459625","609","","DG(18:1_20:4)+NH4","0.000000"," 8.182799"," 8.182799"," 8.182799"," 8.182799"," 8.182799"," 8.182799","0.000000","8.182799","8.0459625","8.3459625","609","","DG(18:1_20:4)+NH4","0","1","1","1","1","1","1","0","1","8.0459625","8.3459625","609","","DG(18:1_20:4)+NH4","      0.0","  81491.5800"," 607902.4000"," 20070.5800","115353.2000"," 8215.2830"," 76825.9000","    0.0000"," 1095.8900","8.0459625","8.3459625","609","","DG(18:1_20:4)+NH4","  0.0000","361.2741","339.2898","265.2528","287.2372","247.2424","269.2266","  0.0000","343.2632","8.0459625","8.3459625","609","","DG(18:1_20:4)+NH4","660.5562","361.2737","339.2894","265.2526","287.2369","247.2421","269.2264","321.2789","343.2632","8.0459625","8.3459625","609"
"","DG(18:2_18:2)+NH4","0","1","1","1","1","1","1","1","1","7.4342375","7.7342375","354","","DG(18:2_18:2)+NH4","0.000000"," 7.581902"," 7.581902"," 7.581902"," 7.581902"," 7.581902"," 7.581902","7.581902","7.581902","7.4342375","7.7342375","354","","DG(18:2_18:2)+NH4","0","2","2","2","2","2","2","2","2","7.4342375","7.7342375","354","","DG(18:2_18:2)+NH4","      0.0","1474534.0000","1474534.0000"," 87116.1300"," 87116.1300","51622.0700"," 51622.0700","14922.6400","14922.6400","7.4342375","7.7342375","354","","DG(18:2_18:2)+NH4","  0.0000","337.2741","337.2741","263.2373","263.2373","245.2267","245.2267","319.2636","319.2636","7.4342375","7.7342375","354","","DG(18:2_18:2)+NH4","634.5405","337.2737","337.2737","263.2369","263.2369","245.2264","245.2264","319.2632","319.2632","7.4342375","7.7342375","354"
"","DG(18:2_18:2)+NH4","0","1","1","1","1","1","1","0","0","7.66508888888889","7.96508888888889","1175","","DG(18:2_18:2)+NH4","0.000000"," 7.713667"," 7.713667"," 7.713667"," 7.713667"," 7.713667"," 7.713667","7.713667","7.713667","7.66508888888889","7.96508888888889","1175","","DG(18:2_18:2)+NH4","0","1","1","1","1","1","1","1","1","7.66508888888889","7.96508888888889","1175","","DG(18:2_18:2)+NH4","      0.0"," 101828.2000"," 101828.2000","  6219.2450","  6219.2450"," 3782.7170","  3782.7170","  798.6943","  798.6943","7.66508888888889","7.96508888888889","1175","","DG(18:2_18:2)+NH4","  0.0000","337.2742","337.2742","263.2373","263.2373","245.2267","245.2267","319.2636","319.2636","7.66508888888889","7.96508888888889","1175","","DG(18:2_18:2)+NH4","634.5405","337.2737","337.2737","263.2369","263.2369","245.2264","245.2264","319.2632","319.2632","7.66508888888889","7.96508888888889","1175"
"","DG(18:2_20:3)+NH4","0","1","1","0","1","1","1","0","0","8.0459625","8.3459625","609","","DG(18:2_20:3)+NH4","0.000000"," 8.182799"," 8.182799"," 8.182799"," 8.182799"," 8.182799"," 8.182799","0.000000","0.000000","8.0459625","8.3459625","609","","DG(18:2_20:3)+NH4","0","1","1","1","1","1","1","0","0","8.0459625","8.3459625","609","","DG(18:2_20:3)+NH4","      0.0","   8153.6630","  41141.4100","   879.4361","  4798.1010"," 8903.0440","  7164.5560","    0.0000","    0.0000","8.0459625","8.3459625","609","","DG(18:2_20:3)+NH4","  0.0000","363.2896","337.2740","263.2365","289.2526","245.2267","271.2421","  0.0000","  0.0000","8.0459625","8.3459625","609","","DG(18:2_20:3)+NH4","660.5562","363.2894","337.2737","263.2369","289.2526","245.2264","271.2421","319.2632","345.2789","8.0459625","8.3459625","609"
