"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","RT at Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Number of Scans","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Max Intensity","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Average m/z","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","M+Na","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","Mna-tail2&TrimethylAmine","Mna-Tail1","Mna-Tail2","C2H5O4NaP","RT_min","RT_max","Comment"
"","PC(16:1_18:2)+Na","1","1","1","1","1","0","0","0","1","5.54003333333333","5.84003333333333","1161","","PC(16:1_18:2)+Na"," 5.613944"," 5.613944"," 5.613944"," 5.613944"," 5.613944"," 0.000000"," 5.613944"," 0.000000"," 5.613944","5.54003333333333","5.84003333333333","1161","","PC(16:1_18:2)+Na","1","1","1","1","1","0","1","0","1","5.54003333333333","5.84003333333333","1161","","PC(16:1_18:2)+Na","  246907.00"," 160374.0000","132707.800"," 29071.570"," 2941.9320","    0.0000","   621.9402","    0.0000"," 120335.1000","5.54003333333333","5.84003333333333","1161","","PC(16:1_18:2)+Na","778.5369","595.4708","719.4634","573.4888","465.2388","  0.0000","524.3087","  0.0000","146.9820","5.54003333333333","5.84003333333333","1161","","PC(16:1_18:2)+Na","778.53578","595.46974","719.462281","573.4878","465.237651","439.222051","524.31115","498.29555","146.98179","5.54003333333333","5.84003333333333","1161"
"","PC(16:1_18:2)+Na","1","1","1","1","1","1","1","0","1","5.25342916666667","5.55342916666667","9112","","PC(16:1_18:2)+Na"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547","5.25342916666667","5.55342916666667","9112","","PC(16:1_18:2)+Na","1","1","1","1","1","1","1","1","1","5.25342916666667","5.55342916666667","9112","","PC(16:1_18:2)+Na","  421282.00"," 303083.3000","232081.700"," 57996.110"," 8469.7510"," 3825.8540","  2950.0510","  845.3781"," 222242.7000","5.25342916666667","5.55342916666667","9112","","PC(16:1_18:2)+Na","778.5378","595.4715","719.4642","573.4896","465.2389","439.2240","524.3130","498.2967","146.9822","5.25342916666667","5.55342916666667","9112","","PC(16:1_18:2)+Na","778.53578","595.46974","719.462281","573.4878","465.237651","439.222051","524.31115","498.29555","146.98179","5.25342916666667","5.55342916666667","9112"
"","PC(16:1_18:2)+Na","1","1","1","1","1","1","1","0","1","5.25342916666667","5.55342916666667","12669","","PC(16:1_18:2)+Na"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547"," 5.414547","5.25342916666667","5.55342916666667","12669","","PC(16:1_18:2)+Na","1","1","1","1","1","1","1","1","1","5.25342916666667","5.55342916666667","12669","","PC(16:1_18:2)+Na","  421282.00"," 303083.3000","232081.700"," 57996.110"," 8469.7510"," 3825.8540","  2950.0510","  845.3781"," 222242.7000","5.25342916666667","5.55342916666667","12669","","PC(16:1_18:2)+Na","778.5378","595.4715","719.4642","573.4896","465.2389","439.2240","524.3130","498.2967","146.9822","5.25342916666667","5.55342916666667","12669","","PC(16:1_18:2)+Na","778.53578","595.46974","719.462281","573.4878","465.237651","439.222051","524.31115","498.29555","146.98179","5.25342916666667","5.55342916666667","12669"
"","PC(16:1_20:3)+Na","1","1","1","1","0","1","0","0","1","5.52472916666667","5.82472916666667","371","","PC(16:1_20:3)+Na"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 0.000000"," 0.000000"," 5.738069","5.52472916666667","5.82472916666667","371","","PC(16:1_20:3)+Na","1","1","1","1","1","1","0","0","1","5.52472916666667","5.82472916666667","371","","PC(16:1_20:3)+Na","  790879.10"," 623163.9000","475042.600","110127.500","  911.3275"," 1512.9530","     0.0000","    0.0000"," 430598.8000","5.52472916666667","5.82472916666667","371","","PC(16:1_20:3)+Na","804.5522","621.4863","745.4788","599.5043","491.2546","439.2224","  0.0000","  0.0000","146.9820","5.52472916666667","5.82472916666667","371","","PC(16:1_20:3)+Na","804.55148","621.48544","745.477981","599.5035","491.253351","439.222051","550.32685","498.29555","146.98179","5.52472916666667","5.82472916666667","371"
"","PC(18:0_18:2)+Na","1","1","1","1","1","1","1","1","1","7.69213611111111","7.99213611111111","436","","PC(18:0_18:2)+Na"," 7.790097"," 7.790097"," 7.790097"," 7.790097"," 7.790097"," 7.790097"," 7.790097"," 7.790097"," 7.790097","7.69213611111111","7.99213611111111","436","","PC(18:0_18:2)+Na","2","2","2","2","2","2","2","2","2","7.69213611111111","7.99213611111111","436","","PC(18:0_18:2)+Na","  983796.30"," 633796.8000","529020.600","142031.200","19487.8500"," 7456.3830","  8653.1730"," 1370.1830"," 553032.4000","7.69213611111111","7.99213611111111","436","","PC(18:0_18:2)+Na","808.5834","625.5175","749.5100","603.5356","465.2383","469.2698","524.3123","528.3437","146.9819","7.69213611111111","7.99213611111111","436","","PC(18:0_18:2)+Na","808.58268","625.51664","749.509181","603.5347","465.237651","469.268951","524.31115","528.34245","146.98179","7.69213611111111","7.99213611111111","436"
"","PC(18:0_20:2)+Na","1","1","1","1","1","0","1","0","1","8.57287916666667","8.87287916666667","15127","","PC(18:0_20:2)+Na"," 8.758866"," 8.758866"," 8.758866"," 8.758866"," 8.758866"," 8.758866"," 8.758866"," 0.000000"," 8.758866","8.57287916666667","8.87287916666667","15127","","PC(18:0_20:2)+Na","1","1","1","1","1","1","1","0","1","8.57287916666667","8.87287916666667","15127","","PC(18:0_20:2)+Na","  273584.70"," 161013.5000","135506.400"," 30929.510"," 3919.6440","  682.8205","  2516.4460","    0.0000"," 140418.8000","8.57287916666667","8.87287916666667","15127","","PC(18:0_20:2)+Na","836.6151","653.5488","777.5416","631.5668","493.2700","469.2708","552.3443","  0.0000","146.9819","8.57287916666667","8.87287916666667","15127","","PC(18:0_20:2)+Na","836.61398","653.54794","777.540481","631.566","493.268951","469.268951","552.34245","528.34245","146.98179","8.57287916666667","8.87287916666667","15127"
"","PC(18:0_20:4)+Na","1","1","1","1","1","1","1","1","1","7.42922638888889","7.72922638888889","569","","PC(18:0_20:4)+Na"," 7.521630"," 7.521630"," 7.521630"," 7.521630"," 7.521630"," 7.521630"," 7.521630"," 7.521630"," 7.521630","7.42922638888889","7.72922638888889","569","","PC(18:0_20:4)+Na","1","1","1","1","1","1","1","1","1","7.42922638888889","7.72922638888889","569","","PC(18:0_20:4)+Na","  316768.70"," 324351.5000","203902.600"," 27022.000"," 9427.8990"," 2352.5430","  3643.4550"," 1005.0340"," 107397.9000","7.42922638888889","7.72922638888889","569","","PC(18:0_20:4)+Na","832.5840","649.5179","773.5105","627.5362","489.2386","469.2702","548.3120","528.3438","146.9820","7.42922638888889","7.72922638888889","569","","PC(18:0_20:4)+Na","832.58268","649.51664","773.509181","627.5347","489.237651","469.268951","548.31115","528.34245","146.98179","7.42922638888889","7.72922638888889","569"
"","PC(18:0_22:4)+Na","1","1","1","1","1","0","1","0","1","8.1803375","8.4803375","835","","PC(18:0_22:4)+Na"," 8.382135"," 8.382135"," 8.382135"," 8.382135"," 8.382135"," 0.000000"," 8.382135"," 0.000000"," 8.382135","8.1803375","8.4803375","835","","PC(18:0_22:4)+Na","1","1","1","1","1","0","1","0","1","8.1803375","8.4803375","835","","PC(18:0_22:4)+Na","  226918.90"," 185098.5000","130368.900"," 21768.520"," 2984.0960","    0.0000","  1064.4520","    0.0000","  89322.4700","8.1803375","8.4803375","835","","PC(18:0_22:4)+Na","860.6149","677.5490","801.5414","655.5671","517.2693","  0.0000","576.3426","  0.0000","146.9820","8.1803375","8.4803375","835","","PC(18:0_22:4)+Na","860.61398","677.54794","801.540481","655.566","517.268951","469.268951","576.34245","528.34245","146.98179","8.1803375","8.4803375","835"
"","PC(18:1_18:2)+Na","1","1","1","1","1","0","0","0","1","6.72995555555556","7.02995555555556","450","","PC(18:1_18:2)+Na"," 6.826602"," 6.826602"," 6.826602"," 6.826602"," 6.959142"," 0.000000"," 6.826602"," 0.000000"," 6.826602","6.72995555555556","7.02995555555556","450","","PC(18:1_18:2)+Na","2","2","2","2","2","0","1","0","2","6.72995555555556","7.02995555555556","450","","PC(18:1_18:2)+Na","  706500.70"," 535256.6000","378352.600"," 93154.370"," 3562.7350","    0.0000","   895.2466","    0.0000"," 341202.8000","6.72995555555556","7.02995555555556","450","","PC(18:1_18:2)+Na","806.5678","623.5018","747.4943","601.5199","465.2384","  0.0000","524.3126","  0.0000","146.9819","6.72995555555556","7.02995555555556","450","","PC(18:1_18:2)+Na","806.56708","623.50104","747.493581","601.5191","465.237651","467.253351","524.31115","526.32685","146.98179","6.72995555555556","7.02995555555556","450"
"","PC(18:1_20:4)+Na","1","1","1","1","1","1","1","0","1","6.27630277777778","6.57630277777778","11279","","PC(18:1_20:4)+Na"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 6.424025"," 0.000000"," 6.424025","6.27630277777778","6.57630277777778","11279","","PC(18:1_20:4)+Na","1","1","1","1","1","1","1","0","1","6.27630277777778","6.57630277777778","11279","","PC(18:1_20:4)+Na","  276350.10"," 283839.9000","176985.500"," 29316.830"," 3951.0750"," 1269.8390","  1002.7610","    0.0000"," 114183.5000","6.27630277777778","6.57630277777778","11279","","PC(18:1_20:4)+Na","830.5683","647.5023","771.4949","625.5203","489.2386","467.2548","548.3125","  0.0000","146.9820","6.27630277777778","6.57630277777778","11279","","PC(18:1_20:4)+Na","830.56708","647.50104","771.493581","625.5191","489.237651","467.253351","548.31115","526.32685","146.98179","6.27630277777778","6.57630277777778","11279"
"","PC(18:1_20:5)+Na","1","1","1","1","1","0","0","0","1","5.30076527777778","5.60076527777778","600","","PC(18:1_20:5)+Na"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.576565"," 0.000000"," 5.576565"," 0.000000"," 5.419735","5.30076527777778","5.60076527777778","600","","PC(18:1_20:5)+Na","2","2","2","2","1","0","1","0","2","5.30076527777778","5.60076527777778","600","","PC(18:1_20:5)+Na","  359589.80"," 459916.8000","240805.700"," 36769.000"," 2435.0460","    0.0000","   645.2617","    0.0000"," 170854.4000","5.30076527777778","5.60076527777778","600","","PC(18:1_20:5)+Na","828.5532","645.4869","769.4796","623.5050","487.2226","  0.0000","546.2966","  0.0000","146.9821","5.30076527777778","5.60076527777778","600","","PC(18:1_20:5)+Na","828.55148","645.48544","769.477981","623.5035","487.222051","467.253351","546.29555","526.32685","146.98179","5.30076527777778","5.60076527777778","600"
"","PC(18:2_18:2)+Na","1","1","1","1","1","1","1","1","1","5.52472916666667","5.82472916666667","371","","PC(18:2_18:2)+Na"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069"," 5.738069","5.52472916666667","5.82472916666667","371","","PC(18:2_18:2)+Na","1","1","1","1","1","1","1","1","1","5.52472916666667","5.82472916666667","371","","PC(18:2_18:2)+Na","  790879.10"," 623163.9000","475042.600","110127.500","18318.0600","18318.0600","  6682.5420"," 6682.5420"," 430598.8000","5.52472916666667","5.82472916666667","371","","PC(18:2_18:2)+Na","804.5522","621.4863","745.4788","599.5043","465.2383","465.2383","524.3121","524.3121","146.9820","5.52472916666667","5.82472916666667","371","","PC(18:2_18:2)+Na","804.55138","621.48534","745.477881","599.5034","465.237651","465.237651","524.31115","524.31115","146.98179","5.52472916666667","5.82472916666667","371"
"","PC(18:2_20:4)+Na","1","1","1","1","1","1","1","1","1","5.30076527777778","5.60076527777778","600","","PC(18:2_20:4)+Na"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.419735"," 5.419735","5.30076527777778","5.60076527777778","600","","PC(18:2_20:4)+Na","2","2","2","2","2","2","1","1","2","5.30076527777778","5.60076527777778","600","","PC(18:2_20:4)+Na","  359589.80"," 459916.8000","240805.700"," 36769.000"," 6814.2970"," 5001.3480","  3513.7510"," 2397.0820"," 170854.4000","5.30076527777778","5.60076527777778","600","","PC(18:2_20:4)+Na","828.5532","645.4869","769.4796","623.5050","489.2383","465.2383","548.3132","524.3130","146.9821","5.30076527777778","5.60076527777778","600","","PC(18:2_20:4)+Na","828.55138","645.48534","769.477881","623.5034","489.237651","465.237651","548.31115","524.31115","146.98179","5.30076527777778","5.60076527777778","600"
"","PC(18:2_22:6)+Na","1","1","1","1","1","1","1","1","1","4.94340138888889","5.24340138888889","1001","","PC(18:2_22:6)+Na"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774","4.94340138888889","5.24340138888889","1001","","PC(18:2_22:6)+Na","1","1","1","1","1","1","1","1","1","4.94340138888889","5.24340138888889","1001","","PC(18:2_22:6)+Na","  245040.40"," 327217.8000","164390.100"," 24337.640"," 3898.7960"," 3609.8950","  1148.1880"," 1052.6830","  98677.1600","4.94340138888889","5.24340138888889","1001","","PC(18:2_22:6)+Na","852.5535","669.4872","793.4800","647.5056","513.2389","465.2389","572.3124","524.3126","146.9822","4.94340138888889","5.24340138888889","1001","","PC(18:2_22:6)+Na","852.55138","669.48534","793.477881","647.5034","513.237651","465.237651","572.31115","524.31115","146.98179","4.94340138888889","5.24340138888889","1001"
"","PC(19:0_19:0)+Na","1","1","1","1","1","1","1","1","1","10.3373555555556","10.6373555555556","320","","PC(19:0_19:0)+Na","10.491420","10.491420","10.491420","10.491420","10.491420","10.491420","10.491420","10.491420","10.491420","10.3373555555556","10.6373555555556","320","","PC(19:0_19:0)+Na","2","2","2","2","2","2","2","2","2","10.3373555555556","10.6373555555556","320","","PC(19:0_19:0)+Na"," 1581338.00"," 710181.1000","823987.600","268648.500","39516.7700","39516.7700"," 19332.0400","19332.0400","1125473.0000","10.3373555555556","10.6373555555556","320","","PC(19:0_19:0)+Na","840.6462","657.5801","781.5726","635.5983","483.2850","483.2850","542.3591","542.3591","146.9819","10.3373555555556","10.6373555555556","320","","PC(19:0_19:0)+Na","840.64538","657.57934","781.571881","635.5974","483.284651","483.284651","542.35815","542.35815","146.98179","10.3373555555556","10.6373555555556","320"
"","PC(20:4_20:4)+Na","1","1","1","1","1","1","0","0","1","4.94340138888889","5.24340138888889","1001","","PC(20:4_20:4)+Na"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 5.109774"," 0.000000"," 0.000000"," 5.109774","4.94340138888889","5.24340138888889","1001","","PC(20:4_20:4)+Na","1","1","1","1","1","1","0","0","1","4.94340138888889","5.24340138888889","1001","","PC(20:4_20:4)+Na","  245040.40"," 327217.8000","164390.100"," 24337.640"," 2375.8890"," 2375.8890","     0.0000","    0.0000","  98677.1600","4.94340138888889","5.24340138888889","1001","","PC(20:4_20:4)+Na","852.5535","669.4872","793.4800","647.5056","489.2389","489.2389","  0.0000","  0.0000","146.9822","4.94340138888889","5.24340138888889","1001","","PC(20:4_20:4)+Na","852.55138","669.48534","793.477881","647.5034","489.237651","489.237651","548.31115","548.31115","146.98179","4.94340138888889","5.24340138888889","1001"
