"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Average m/z","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M-H]-","NL_T1Ketene&serene","NL_T1RCOOH","T1_RCOO-","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","EthanolaminePhosphate","EthanolaminePhosphate_NLH2O","RT_min","RT_max","Comment"
"","OxLPE(20:3(OO))-H",1,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:3(OO))-H",0.7473137,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:3(OO))-H",1,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:3(OO))-H",27888.15,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:3(OO))-H",534.2839,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:3(OO))-H","534.28381","214.048615","196.038055","337.23849","152.99586","96.96964","78.95852","140.01128","122.0007","0.570583333333333","0.870583333333333","575"
"","OxLPE(22:1(OO))-H",1,0,0,0,1,0,0,0,0,"0.849518181818182","1.14951818181818","50","","OxLPE(22:1(OO))-H",0.9532399,0,0,0,0.9532399,0,0,0,0,"0.849518181818182","1.14951818181818","50","","OxLPE(22:1(OO))-H",2,0,0,0,2,0,0,0,0,"0.849518181818182","1.14951818181818","50","","OxLPE(22:1(OO))-H",49273.48,0,0,0,4036.935,0,0,0,0,"0.849518181818182","1.14951818181818","50","","OxLPE(22:1(OO))-H",566.34655,0,0,0,152.99575,0,0,0,0,"0.849518181818182","1.14951818181818","50","","OxLPE(22:1(OO))-H","566.34641","214.048615","196.038055","369.30109","152.99586","96.96964","78.95852","140.01128","122.0007","0.849518181818182","1.14951818181818","50"
"","OxLPE(22:2(OO))-H",1,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:2(OO))-H",0.778071,0,0,0,0.778071,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:2(OO))-H",1,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:2(OO))-H",64452.28,0,0,0,5329.42,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:2(OO))-H",564.3311,0,0,0,152.996,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:2(OO))-H","564.33071","214.048615","196.038055","367.28539","152.99586","96.96964","78.95852","140.01128","122.0007","0.590513636363636","0.890513636363636","28"
"","OxLPE(22:2(OO))-H",1,0,0,0,1,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:2(OO))-H",0.778071,0,0,0,0.778071,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:2(OO))-H",2,0,0,0,2,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:2(OO))-H",64452.28,0,0,0,5329.42,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:2(OO))-H",564.3311,0,0,0,152.9957,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:2(OO))-H","564.33071","214.048615","196.038055","367.28539","152.99586","96.96964","78.95852","140.01128","122.0007","0.765088888888889","1.06508888888889","276"
"","OxLPE(22:3(OO))-H",1,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:3(OO))-H",0.6191943,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:3(OO))-H",1,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:3(OO))-H",1367.118,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:3(OO))-H",562.3171,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:3(OO))-H","562.31511","214.048615","196.038055","365.26979","152.99586","96.96964","78.95852","140.01128","122.0007","0.452106060606061","0.752106060606061","352"
"","OxLPE(22:5(OO))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:5(OO))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:5(OO))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:5(OO))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:5(OO))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:5(OO))-H","558.28381","214.048615","196.038055","361.23849","152.99586","96.96964","78.95852","140.01128","122.0007","0.533388333333333","0.833388333333333","2084"
"","OxLPE(24:1(OO))-H",0,0,0,0,0,0,0,0,0,"1.29530303030303","1.59530303030303","534","","OxLPE(24:1(OO))-H",0,0,0,0,0,0,0,0,0,"1.29530303030303","1.59530303030303","534","","OxLPE(24:1(OO))-H",0,0,0,0,0,0,0,0,0,"1.29530303030303","1.59530303030303","534","","OxLPE(24:1(OO))-H",0,0,0,0,0,0,0,0,0,"1.29530303030303","1.59530303030303","534","","OxLPE(24:1(OO))-H",0,0,0,0,0,0,0,0,0,"1.29530303030303","1.59530303030303","534","","OxLPE(24:1(OO))-H","594.37771","214.048615","196.038055","397.33239","152.99586","96.96964","78.95852","140.01128","122.0007","1.29530303030303","1.59530303030303","534"
"","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.243756060606061","0.543756060606061","112","","OxLPE(18:3(Ke))-H","488.24193","214.048615","196.038055","291.19661","152.99586","96.96964","78.95852","140.01128","122.0007","0.243756060606061","0.543756060606061","112"
"","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.774281818181818","1.07428181818182","666","","OxLPE(18:3(Ke))-H","488.24193","214.048615","196.038055","291.19661","152.99586","96.96964","78.95852","140.01128","122.0007","0.774281818181818","1.07428181818182","666"
"","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"0.568266666666667","0.868266666666667","3418","","OxLPE(18:3(Ke))-H","488.24193","214.048615","196.038055","291.19661","152.99586","96.96964","78.95852","140.01128","122.0007","0.568266666666667","0.868266666666667","3418"
"","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:3(Ke))-H",0,0,0,0,0,0,0,0,0,"1.25231818181818","1.55231818181818","3677","","OxLPE(18:3(Ke))-H","488.24193","214.048615","196.038055","291.19661","152.99586","96.96964","78.95852","140.01128","122.0007","1.25231818181818","1.55231818181818","3677"
"","OxLPE(20:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.817175757575758","1.11717575757576","898","","OxLPE(20:1(Ke,OH))-H","536.29945","214.048615","196.038055","339.25413","152.99586","96.96964","78.95852","140.01128","122.0007","0.817175757575758","1.11717575757576","898"
"","OxLPE(20:2(Ke,OH))-H",1,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:2(Ke,OH))-H",0.7473137,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:2(Ke,OH))-H",1,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:2(Ke,OH))-H",27888.15,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:2(Ke,OH))-H",534.2839,0,0,0,0,0,0,0,0,"0.570583333333333","0.870583333333333","575","","OxLPE(20:2(Ke,OH))-H","534.28375","214.048615","196.038055","337.23843","152.99586","96.96964","78.95852","140.01128","122.0007","0.570583333333333","0.870583333333333","575"
"","OxLPE(22:1(Ke,OH))-H",1,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:1(Ke,OH))-H",0.778071,0,0,0,0.778071,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:1(Ke,OH))-H",1,0,0,0,1,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:1(Ke,OH))-H",64452.28,0,0,0,5329.42,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:1(Ke,OH))-H",564.3311,0,0,0,152.996,0,0,0,0,"0.590513636363636","0.890513636363636","28","","OxLPE(22:1(Ke,OH))-H","564.33075","214.048615","196.038055","367.28543","152.99586","96.96964","78.95852","140.01128","122.0007","0.590513636363636","0.890513636363636","28"
"","OxLPE(22:1(Ke,OH))-H",1,0,0,0,1,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:1(Ke,OH))-H",0.778071,0,0,0,0.778071,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:1(Ke,OH))-H",2,0,0,0,2,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:1(Ke,OH))-H",64452.28,0,0,0,5329.42,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:1(Ke,OH))-H",564.3311,0,0,0,152.9957,0,0,0,0,"0.765088888888889","1.06508888888889","276","","OxLPE(22:1(Ke,OH))-H","564.33075","214.048615","196.038055","367.28543","152.99586","96.96964","78.95852","140.01128","122.0007","0.765088888888889","1.06508888888889","276"
"","OxLPE(22:2(Ke,OH))-H",1,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:2(Ke,OH))-H",0.6191943,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:2(Ke,OH))-H",1,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:2(Ke,OH))-H",1367.118,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:2(Ke,OH))-H",562.3171,0,0,0,0,0,0,0,0,"0.452106060606061","0.752106060606061","352","","OxLPE(22:2(Ke,OH))-H","562.31505","214.048615","196.038055","365.26973","152.99586","96.96964","78.95852","140.01128","122.0007","0.452106060606061","0.752106060606061","352"
"","OxLPE(22:4(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:4(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:4(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:4(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:4(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.533388333333333","0.833388333333333","2084","","OxLPE(22:4(Ke,OH))-H","558.28375","214.048615","196.038055","361.23843","152.99586","96.96964","78.95852","140.01128","122.0007","0.533388333333333","0.833388333333333","2084"
"","OxLPE(24:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxLPE(24:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxLPE(24:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxLPE(24:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxLPE(24:1(Ke,OH))-H",0,0,0,0,0,0,0,0,0,"0.92862878787879","1.22862878787879","483","","OxLPE(24:1(Ke,OH))-H","592.36205","214.048615","196.038055","395.31673","152.99586","96.96964","78.95852","140.01128","122.0007","0.92862878787879","1.22862878787879","483"
