"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Number of Scans","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Max Intensity","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Average m/z","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NS","[M+HCO2]-","[M-H]-","[M-C6H10O5-H]-","[FAA+C2H3-H]-","[FAA-OH-H]-","[Sph-C2H7NO-H]-","[C6H11O6]-","RT_min","RT_max","Comment"
"","GlcCer_NS(d18:1/22:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d18:1/22:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d18:1/22:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d18:1/22:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d18:1/22:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d18:1/22:0)+HCO2","828.65713","782.65163","620.59883","364.35863","321.34053","237.22294","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d18:1/23:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d18:1/23:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d18:1/23:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d18:1/23:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d18:1/23:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d18:1/23:0)+HCO2","842.67279","796.66729","634.61449","378.37429","335.35619","237.22294","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d18:1/24:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d18:1/24:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d18:1/24:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d18:1/24:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d18:1/24:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d18:1/24:0)+HCO2","856.68845","810.68295","648.63015","392.38995","349.37185","237.22294","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d18:1/24:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d18:1/24:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d18:1/24:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d18:1/24:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d18:1/24:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d18:1/24:1)+HCO2","854.67279","808.66729","646.61449","390.37429","347.35619","237.22294","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d18:1/24:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d18:1/24:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d18:1/24:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d18:1/24:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d18:1/24:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d18:1/24:1)+HCO2","854.67279","808.66729","646.61449","390.37429","347.35619","237.22294","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NS(d19:1/21:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d19:1/21:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d19:1/21:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d19:1/21:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d19:1/21:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d19:1/21:0)+HCO2","828.65713","782.65163","620.59883","350.34297","307.32487","251.2386","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d19:1/22:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d19:1/22:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d19:1/22:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d19:1/22:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d19:1/22:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d19:1/22:0)+HCO2","842.67279","796.66729","634.61449","364.35863","321.34053","251.2386","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d19:1/23:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d19:1/23:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d19:1/23:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d19:1/23:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d19:1/23:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d19:1/23:0)+HCO2","856.68845","810.68295","648.63015","378.37429","335.35619","251.2386","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d19:1/23:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d19:1/23:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d19:1/23:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d19:1/23:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d19:1/23:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d19:1/23:1)+HCO2","854.67279","808.66729","646.61449","376.35863","333.34053","251.2386","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d19:1/23:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d19:1/23:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d19:1/23:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d19:1/23:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d19:1/23:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d19:1/23:1)+HCO2","854.67279","808.66729","646.61449","376.35863","333.34053","251.2386","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NS(d20:1/20:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d20:1/20:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d20:1/20:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d20:1/20:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d20:1/20:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d20:1/20:0)+HCO2","828.65713","782.65163","620.59883","336.32731","293.30921","265.25426","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d20:1/21:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d20:1/21:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d20:1/21:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d20:1/21:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d20:1/21:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d20:1/21:0)+HCO2","842.67279","796.66729","634.61449","350.34297","307.32487","265.25426","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d20:1/22:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d20:1/22:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d20:1/22:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d20:1/22:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d20:1/22:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d20:1/22:0)+HCO2","856.68845","810.68295","648.63015","364.35863","321.34053","265.25426","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d20:1/22:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d20:1/22:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d20:1/22:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d20:1/22:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d20:1/22:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d20:1/22:1)+HCO2","854.67279","808.66729","646.61449","362.34297","319.32487","265.25426","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d20:1/22:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d20:1/22:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d20:1/22:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d20:1/22:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d20:1/22:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d20:1/22:1)+HCO2","854.67279","808.66729","646.61449","362.34297","319.32487","265.25426","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NS(d21:1/19:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d21:1/19:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d21:1/19:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d21:1/19:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d21:1/19:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d21:1/19:0)+HCO2","828.65713","782.65163","620.59883","322.31165","279.29355","279.26992","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d21:1/20:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d21:1/20:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d21:1/20:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d21:1/20:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d21:1/20:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d21:1/20:0)+HCO2","842.67279","796.66729","634.61449","336.32731","293.30921","279.26992","179.05615","10.0420727272727","10.3420727272727","692"
"","GlcCer_NS(d21:1/21:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d21:1/21:0)+HCO2",0,10.65975,10.65975,0,0,0,10.65975,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d21:1/21:0)+HCO2",0,1,1,0,0,0,1,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d21:1/21:0)+HCO2",0,88811.39,34414.57,0,0,0,11269.56,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d21:1/21:0)+HCO2",0,810.684,648.6307,0,0,0,179.0562,"10.4955393939394","10.7955393939394","349","","GlcCer_NS(d21:1/21:0)+HCO2","856.68845","810.68295","648.63015","350.34297","307.32487","279.26992","179.05615","10.4955393939394","10.7955393939394","349"
"","GlcCer_NS(d21:1/21:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d21:1/21:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d21:1/21:1)+HCO2",0,1,1,0,0,0,1,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d21:1/21:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d21:1/21:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.50652121212121","9.80652121212121","730","","GlcCer_NS(d21:1/21:1)+HCO2","854.67279","808.66729","646.61449","348.32731","305.30921","279.26992","179.05615","9.50652121212121","9.80652121212121","730"
"","GlcCer_NS(d21:1/21:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d21:1/21:1)+HCO2",0,9.674962,9.674962,0,0,0,9.674962,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d21:1/21:1)+HCO2",0,1,1,0,0,0,1,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d21:1/21:1)+HCO2",0,34922.98,13336.11,0,0,0,3696.735,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d21:1/21:1)+HCO2",0,808.6688,646.6154,0,0,0,179.0563,"9.66252727272727","9.96252727272727","2994","","GlcCer_NS(d21:1/21:1)+HCO2","854.67279","808.66729","646.61449","348.32731","305.30921","279.26992","179.05615","9.66252727272727","9.96252727272727","2994"
"","GlcCer_NS(d22:1/18:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d22:1/18:0)+HCO2",0,9.738637,9.738637,0,0,0,9.738637,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d22:1/18:0)+HCO2",0,1,1,0,0,0,1,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d22:1/18:0)+HCO2",0,49492.82,19551.88,0,0,0,4363.335,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d22:1/18:0)+HCO2",0,782.6525,620.5996,0,0,0,179.0563,"9.57360303030303","9.87360303030303","520","","GlcCer_NS(d22:1/18:0)+HCO2","828.65713","782.65163","620.59883","308.29599","265.27789","293.28558","179.05615","9.57360303030303","9.87360303030303","520"
"","GlcCer_NS(d22:1/19:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d22:1/19:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d22:1/19:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d22:1/19:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d22:1/19:0)+HCO2",0,0,0,0,0,0,0,"10.0420727272727","10.3420727272727","692","","GlcCer_NS(d22:1/19:0)+HCO2","842.67279","796.66729","634.61449","322.31165","279.29355","293.28558","179.05615","10.0420727272727","10.3420727272727","692"
